symbol,date,open,high,low,close,volume
AUDUSD,2006-07-28,0.7627,0.7674,0.7594,0.767,10684
AUDUSD,2006-07-31,0.767,0.7675,0.7643,0.7663,10428
AUDUSD,2006-08-01,0.7663,0.7665,0.7596,0.7659,10547
AUDUSD,2006-08-02,0.7659,0.7681,0.763,0.7637,10597
AUDUSD,2006-08-03,0.7637,0.7649,0.7588,0.7608,10453
AUDUSD,2006-08-04,0.7608,0.7672,0.7584,0.7654,9387
AUDUSD,2006-08-07,0.7654,0.7668,0.7616,0.7633,10116
AUDUSD,2006-08-08,0.7633,0.7641,0.7589,0.7601,10599
AUDUSD,2006-08-09,0.7601,0.7666,0.7565,0.7654,9281
AUDUSD,2006-08-10,0.7654,0.7713,0.7644,0.7672,9595
AUDUSD,2006-08-11,0.7672,0.7702,0.765,0.7658,9438
AUDUSD,2006-08-14,0.7658,0.7677,0.7589,0.7592,8522
AUDUSD,2006-08-15,0.7592,0.7654,0.7584,0.7653,11651
AUDUSD,2006-08-16,0.7653,0.77,0.7625,0.7676,10875
AUDUSD,2006-08-17,0.7676,0.769,0.76,0.7616,11192
AUDUSD,2006-08-18,0.7616,0.7622,0.7552,0.7588,8271
AUDUSD,2006-08-21,0.7588,0.7644,0.758,0.7632,9590
AUDUSD,2006-08-22,0.7632,0.7636,0.7608,0.7624,9901
AUDUSD,2006-08-23,0.7624,0.7671,0.7618,0.7628,7973
AUDUSD,2006-08-24,0.7628,0.7643,0.7598,0.7615,7649
AUDUSD,2006-08-25,0.7615,0.7616,0.7551,0.7561,6808
AUDUSD,2006-08-28,0.7561,0.7599,0.756,0.759,8897
AUDUSD,2006-08-29,0.759,0.7641,0.7583,0.7639,9816
AUDUSD,2006-08-30,0.7639,0.7655,0.7612,0.7628,9924
AUDUSD,2006-08-31,0.7628,0.7647,0.761,0.7638,11037
AUDUSD,2006-09-01,0.7638,0.7669,0.7626,0.7665,9992
AUDUSD,2006-09-04,0.7665,0.7719,0.7665,0.7705,9872
AUDUSD,2006-09-05,0.7705,0.772,0.7684,0.7712,10134
AUDUSD,2006-09-06,0.7712,0.7714,0.7649,0.7662,8338
AUDUSD,2006-09-07,0.7662,0.7681,0.7578,0.7582,7693
AUDUSD,2006-09-08,0.7582,0.7595,0.753,0.7541,6448
AUDUSD,2006-09-11,0.7541,0.7546,0.75,0.751,7352
AUDUSD,2006-09-12,0.751,0.754,0.75,0.7505,7981
AUDUSD,2006-09-13,0.7505,0.7539,0.7483,0.7526,8208
AUDUSD,2006-09-14,0.7526,0.7569,0.7511,0.7548,7690
AUDUSD,2006-09-15,0.7548,0.7562,0.7505,0.7523,6303
AUDUSD,2006-09-18,0.7523,0.7559,0.751,0.7556,8202
AUDUSD,2006-09-19,0.7556,0.7575,0.7507,0.7519,8582
AUDUSD,2006-09-20,0.7519,0.7546,0.7506,0.7521,8345
AUDUSD,2006-09-21,0.7521,0.7579,0.7521,0.7572,7865
AUDUSD,2006-09-22,0.7572,0.7575,0.7494,0.7504,8587
AUDUSD,2006-09-25,0.7504,0.7537,0.749,0.7533,8036
AUDUSD,2006-09-26,0.7533,0.7555,0.7502,0.752,10273
AUDUSD,2006-09-27,0.752,0.7528,0.7474,0.7508,8508
AUDUSD,2006-09-28,0.7508,0.7515,0.7464,0.7483,7346
AUDUSD,2006-09-29,0.7483,0.749,0.7435,0.7452,6762
AUDUSD,2006-10-02,0.7452,0.7492,0.7434,0.7487,3010
AUDUSD,2006-10-03,0.7487,0.749,0.7425,0.7433,4219
AUDUSD,2006-10-04,0.7433,0.7463,0.7418,0.7459,4927
AUDUSD,2006-10-05,0.7459,0.7476,0.744,0.7462,5263
AUDUSD,2006-10-06,0.7462,0.7483,0.7414,0.7426,7545
AUDUSD,2006-10-09,0.7426,0.7451,0.7415,0.7442,7364
AUDUSD,2006-10-10,0.7442,0.746,0.7427,0.7441,7882
AUDUSD,2006-10-11,0.7441,0.746,0.7418,0.742,7745
AUDUSD,2006-10-12,0.742,0.7515,0.7416,0.7509,7874
AUDUSD,2006-10-13,0.7509,0.7529,0.7489,0.751,7457
AUDUSD,2006-10-16,0.751,0.7547,0.7493,0.7536,6805
AUDUSD,2006-10-17,0.7536,0.7554,0.7525,0.7535,6955
AUDUSD,2006-10-18,0.7535,0.7552,0.7522,0.7549,6778
AUDUSD,2006-10-19,0.7549,0.76,0.7544,0.7592,6676
AUDUSD,2006-10-20,0.7592,0.7604,0.7573,0.759,6054
AUDUSD,2006-10-23,0.759,0.7614,0.7565,0.7569,6543
AUDUSD,2006-10-24,0.7569,0.7589,0.756,0.7582,7003
AUDUSD,2006-10-25,0.7582,0.7622,0.7573,0.7613,10605
AUDUSD,2006-10-26,0.7613,0.7644,0.7604,0.7642,7513
AUDUSD,2006-10-27,0.7642,0.7696,0.7623,0.7684,6290
AUDUSD,2006-10-30,0.7684,0.7702,0.7674,0.7693,9325
AUDUSD,2006-10-31,0.7693,0.7753,0.7672,0.7737,9513
AUDUSD,2006-11-01,0.7737,0.7767,0.7729,0.7748,9153
AUDUSD,2006-11-02,0.7748,0.7753,0.7705,0.7743,9135
AUDUSD,2006-11-03,0.7743,0.7748,0.7685,0.7697,8936
AUDUSD,2006-11-06,0.7697,0.7717,0.767,0.7715,10299
AUDUSD,2006-11-07,0.7715,0.776,0.7703,0.7737,7926
AUDUSD,2006-11-08,0.7737,0.775,0.7679,0.7706,5638
AUDUSD,2006-11-09,0.7706,0.7708,0.7645,0.7677,5700
AUDUSD,2006-11-10,0.7677,0.7698,0.7661,0.7676,4640
AUDUSD,2006-11-13,0.7676,0.7677,0.7615,0.762,5867
AUDUSD,2006-11-14,0.762,0.7674,0.7618,0.7654,9049
AUDUSD,2006-11-15,0.7654,0.7663,0.763,0.7652,8224
AUDUSD,2006-11-16,0.7652,0.7697,0.7643,0.7664,7789
AUDUSD,2006-11-17,0.7664,0.7693,0.7643,0.7688,6326
AUDUSD,2006-11-20,0.7688,0.7706,0.7676,0.7703,7300
AUDUSD,2006-11-21,0.7703,0.7714,0.7682,0.7714,4733
AUDUSD,2006-11-22,0.7714,0.7764,0.7705,0.7754,4521
AUDUSD,2006-11-23,0.7754,0.7754,0.7731,0.7732,3474
AUDUSD,2006-11-24,0.7732,0.779,0.7732,0.7789,4620
AUDUSD,2006-11-27,0.7789,0.7816,0.7763,0.7781,6537
AUDUSD,2006-11-28,0.7781,0.7842,0.7776,0.7835,5894
AUDUSD,2006-11-29,0.7835,0.7854,0.7819,0.7831,5400
AUDUSD,2006-11-30,0.7831,0.7903,0.7824,0.7888,6166
AUDUSD,2006-12-01,0.7888,0.7926,0.7874,0.7881,5826
AUDUSD,2006-12-04,0.7881,0.7906,0.7848,0.7895,5840
AUDUSD,2006-12-05,0.7895,0.79,0.7843,0.7864,5641
