symbol,date,open,high,low,close,volume
DBC,2006-07-31,25.7,25.87,25.44,25.86,241400
DBC,2006-08-01,25.9,26.05,25.76,25.98,200300
DBC,2006-08-02,26.15,26.4,26.12,26.33,642000
DBC,2006-08-03,26.0,26.11,25.82,26.08,181000
DBC,2006-08-04,26.15,26.17,25.81,26.05,136900
DBC,2006-08-07,26.14,26.46,26.14,26.46,293200
DBC,2006-08-08,26.18,26.3,25.95,26.09,243800
DBC,2006-08-09,26.13,26.34,26.0,26.13,217000
DBC,2006-08-10,25.97,25.98,25.57,25.79,347100
DBC,2006-08-11,25.89,25.92,25.35,25.54,179500
DBC,2006-08-14,25.25,25.34,25.08,25.3,123400
DBC,2006-08-15,25.31,25.39,25.17,25.34,247200
DBC,2006-08-16,25.3,25.33,25.01,25.07,228200
DBC,2006-08-17,24.84,24.95,24.5,24.68,617000
DBC,2006-08-18,24.83,24.85,24.558,24.81,180900
DBC,2006-08-21,24.83,25.01,24.76,25.01,259800
DBC,2006-08-22,24.98,25.02,24.85,24.97,281500
DBC,2006-08-23,24.92,24.92,24.63,24.71,322600
DBC,2006-08-24,24.83,25.07,24.77,25.07,241700
DBC,2006-08-25,25.22,25.3,25.02,25.06,145700
DBC,2006-08-28,24.94,25.03,24.57,24.67,354700
DBC,2006-08-29,24.62,24.7,24.5,24.63,230800
DBC,2006-08-30,24.64,25.0,24.46,25.0,122500
DBC,2006-08-31,24.98,25.1,24.75,25.0,158200
DBC,2006-09-01,25.03,25.06,24.77,24.95,240500
DBC,2006-09-05,24.87,25.1,24.74,24.91,261500
DBC,2006-09-06,24.8,24.98,24.6,24.8,147000
DBC,2006-09-07,24.7,24.79,24.55,24.7,97400
DBC,2006-09-08,24.63,24.66,24.4,24.5,197400
DBC,2006-09-11,24.02,24.13,23.8,23.93,541600
DBC,2006-09-12,23.8,23.9,23.34,23.55,318300
DBC,2006-09-13,23.51,23.7,23.37,23.49,384000
DBC,2006-09-14,23.67,23.67,23.18,23.35,288700
DBC,2006-09-15,23.3,23.5002,23.07,23.3,616300
DBC,2006-09-18,23.45,23.7,23.32,23.56,345600
DBC,2006-09-19,23.6,23.68,23.12,23.21,490700
DBC,2006-09-20,23.19,23.2,22.86,23.07,511000
DBC,2006-09-21,23.02,23.5,23.02,23.47,422000
DBC,2006-09-22,23.49,23.49,23.13,23.2,296500
