symbol,date,open,high,low,close,volume
EEM,2019-08-07,39.21,39.81,39.05,39.79,106772540
EEM,2019-08-08,40.04,40.3,39.94,40.28,81187740
EEM,2019-08-09,40.03,40.09,39.7,39.87,64703987
EEM,2019-08-12,39.37,39.52,39.28,39.39,64723300
EEM,2019-08-13,39.09,40.11,39.02,39.89,110812058
EEM,2019-08-14,39.09,39.19,38.72,38.74,102911485
EEM,2019-08-15,39.1,39.16,38.81,39.0,78403199
EEM,2019-08-16,39.36,39.635,39.36,39.54,53443372
EEM,2019-08-19,40.04,40.05,39.67,39.7,43331556
EEM,2019-08-20,39.83,39.97,39.73,39.78,44922944
EEM,2019-08-21,40.2,40.2,39.97,40.16,41678152
EEM,2019-08-22,39.86,39.92,39.53,39.64,41603816
EEM,2019-08-23,39.55,39.92,38.99,39.05,80562617
EEM,2019-08-26,39.33,39.38,39.16,39.26,58145024
EEM,2019-08-27,39.53,39.67,39.3,39.33,62905351
EEM,2019-08-28,39.26,39.51,39.16,39.44,49483863
EEM,2019-08-29,39.69,39.91,39.55,39.88,43360547
EEM,2019-08-30,40.21,40.22,39.96,40.19,57071304
EEM,2019-09-03,39.73,39.95,39.73,39.94,50339614
EEM,2019-09-04,40.49,40.66,40.4,40.61,65801110
EEM,2019-09-05,41.09,41.22,41.05,41.07,72702976
EEM,2019-09-06,41.3,41.39,41.2,41.25,48715698
EEM,2019-09-09,41.36,41.5,41.25,41.38,38434360
EEM,2019-09-10,41.34,41.49,41.17,41.41,48448774
EEM,2019-09-11,41.56,41.73,41.49,41.7,62552889
EEM,2019-09-12,41.97,42.25,41.82,42.0,74588778
EEM,2019-09-13,42.25,42.35,42.16,42.24,58403432
EEM,2019-09-16,41.91,42.11,41.81,41.91,62490847
EEM,2019-09-17,41.53,41.94,41.5,41.91,98987200
EEM,2019-09-18,41.84,41.9,41.41,41.74,70995381
EEM,2019-09-19,41.74,41.88,41.5,41.57,52529874
EEM,2019-09-20,41.88,41.93,41.44,41.61,85037210
EEM,2019-09-23,41.41,41.67,41.41,41.65,41995835
EEM,2019-09-24,41.63,41.64,41.17,41.21,57469626
EEM,2019-09-25,40.94,41.27,40.79,41.18,43466494
EEM,2019-09-26,41.25,41.3,41.05,41.17,37994411
EEM,2019-09-27,41.17,41.27,40.49,40.64,79885554
EEM,2019-09-30,40.98,41.1,40.82,40.87,44218320
EEM,2019-10-01,40.9,40.91,40.55,40.58,48906784
EEM,2019-10-02,40.28,40.34,40.07,40.27,41812951
EEM,2019-10-03,40.41,40.79,40.3,40.79,62372768
EEM,2019-10-04,40.67,41.05,40.63,40.97,54334699
EEM,2019-10-07,40.72,40.93,40.6,40.63,57115119
EEM,2019-10-08,40.55,40.6,40.31,40.34,58678369
EEM,2019-10-09,40.67,40.81,40.6,40.65,41480873
EEM,2019-10-10,40.8,41.24,40.79,41.07,48800158
EEM,2019-10-11,41.7,42.05,41.63,41.73,96063181
EEM,2019-10-14,41.68,41.74,41.54,41.55,29264071
EEM,2019-10-15,41.67,42.01,41.65,41.92,51166464
EEM,2019-10-16,41.88,42.08,41.79,42.04,40793924
EEM,2019-10-17,42.37,42.39,42.14,42.2,56583513
EEM,2019-10-18,42.11,42.22,41.87,41.98,78858945
EEM,2019-10-21,42.16,42.37,42.1,42.36,38546613
EEM,2019-10-22,42.39,42.54,42.33,42.39,59632948
EEM,2019-10-23,42.22,42.45,42.19,42.4,43370189
EEM,2019-10-24,42.58,42.59,42.37,42.4,61727401
EEM,2019-10-25,42.4,42.73,42.38,42.7,49443677
EEM,2019-10-28,42.9,43.06,42.88,42.95,56183595
EEM,2019-10-29,42.73,42.86,42.69,42.73,33948263
EEM,2019-10-30,42.63,42.92,42.45,42.92,60881019
EEM,2019-10-31,42.76,42.77,42.36,42.58,56051353
EEM,2019-11-01,43.03,43.25,43.01,43.22,72772359
EEM,2019-11-04,43.77,43.82,43.58,43.65,62164969
EEM,2019-11-05,43.91,43.94,43.7,43.9,62183348
EEM,2019-11-06,43.87,43.91,43.62,43.76,61669353
EEM,2019-11-07,44.09,44.25,44.03,44.08,97579771
EEM,2019-11-08,43.73,43.83,43.59,43.68,68665003
EEM,2019-11-11,43.14,43.42,43.1,43.37,47092848
EEM,2019-11-12,43.26,43.28,43.01,43.09,57453435
EEM,2019-11-13,42.66,42.84,42.6,42.76,63174311
EEM,2019-11-14,42.72,42.85,42.57,42.79,48737414
EEM,2019-11-15,43.07,43.22,43.03,43.13,68170686
EEM,2019-11-18,43.14,43.22,43.02,43.06,52544156
EEM,2019-11-19,43.38,43.38,43.09,43.15,40853589
EEM,2019-11-20,43.0,43.16,42.78,42.96,51991808
EEM,2019-11-21,42.79,42.89,42.68,42.87,43842015
EEM,2019-11-22,42.95,42.99,42.77,42.87,23519905
EEM,2019-11-25,43.14,43.34,43.1,43.3,57044781
EEM,2019-11-26,43.06,43.19,42.89,43.17,49571219
EEM,2019-11-27,43.09,43.24,43.01,43.22,30402116
EEM,2019-11-29,42.64,42.72,42.54,42.54,35476630
EEM,2019-12-02,42.67,42.68,42.37,42.53,59762043
EEM,2019-12-03,42.16,42.32,41.97,42.31,50646491
EEM,2019-12-04,42.63,42.7,42.57,42.63,47026121
EEM,2019-12-05,42.72,42.88,42.65,42.82,43346376
EEM,2019-12-06,43.07,43.13,42.98,43.07,56765242
EEM,2019-12-09,43.03,43.17,42.88,42.9,37621972
EEM,2019-12-10,42.99,43.14,42.91,43.05,34791261
EEM,2019-12-11,43.29,43.72,43.27,43.68,56623566
EEM,2019-12-12,43.81,44.5,43.77,44.44,132192819
EEM,2019-12-13,44.55,44.87,44.3,44.42,160526269
EEM,2019-12-16,43.89,44.01,43.82,43.86,81706202
EEM,2019-12-17,44.2,44.31,44.12,44.26,79026249
EEM,2019-12-18,44.46,44.51,44.36,44.5,69064895
EEM,2019-12-19,44.36,44.53,44.33,44.52,59364564
EEM,2019-12-20,44.57,44.67,44.5,44.61,69295577
EEM,2019-12-23,44.59,44.67,44.54,44.67,29479481
EEM,2019-12-24,44.58,44.62,44.48,44.57,18951476
EEM,2019-12-26,44.74,44.91,44.72,44.89,24947587
EEM,2019-12-27,45.18,45.2,44.95,45.07,48407917
EEM,2019-12-30,45.18,45.18,44.71,44.77,44499923
EEM,2019-12-31,44.8,44.92,44.68,44.87,47292782
EEM,2020-01-02,45.36,45.78,45.35,45.78,78570101
EEM,2020-01-03,45.03,45.26,44.91,44.93,78998107
EEM,2020-01-06,44.6,44.87,44.59,44.82,40085282
EEM,2020-01-07,44.79,44.9,44.69,44.79,65740599
EEM,2020-01-08,44.73,45.3,44.69,45.05,86913165
EEM,2020-01-09,45.48,45.48,45.26,45.35,53199553
EEM,2020-01-10,45.64,45.77,45.53,45.59,67569709
EEM,2020-01-13,45.91,46.32,45.81,46.3,79593739
EEM,2020-01-14,46.03,46.07,45.82,46.04,75743970
EEM,2020-01-15,45.87,45.92,45.61,45.68,60596952
EEM,2020-01-16,45.98,46.04,45.83,45.97,50712249
EEM,2020-01-17,46.12,46.26,46.01,46.23,72382094
EEM,2020-01-21,45.27,45.35,45.03,45.06,106660062
EEM,2020-01-22,45.56,45.58,45.3,45.43,57583701
EEM,2020-01-23,44.72,45.1,44.48,44.96,88708115
EEM,2020-01-24,45.02,45.03,44.39,44.6,88648669
EEM,2020-01-27,42.74,44.97,42.66,43.06,125329150
EEM,2020-01-28,43.22,43.5,43.03,43.42,82376442
EEM,2020-01-29,43.76,43.79,43.5,43.63,51814569
EEM,2020-01-30,42.66,43.03,42.43,42.98,105861938
EEM,2020-01-31,42.3,42.33,41.88,42.11,99515937
EEM,2020-02-03,42.27,42.68,42.26,42.58,71307415
EEM,2020-02-04,43.68,43.93,43.65,43.68,73936079
EEM,2020-02-05,44.46,44.47,43.9,43.93,74209241
EEM,2020-02-06,44.33,44.35,43.96,43.97,80113672
EEM,2020-02-07,43.53,43.55,43.25,43.36,58449067
EEM,2020-02-10,43.38,43.63,43.38,43.6,45324836
EEM,2020-02-11,44.14,44.41,44.08,44.17,58708409
EEM,2020-02-12,44.59,44.84,44.5,44.77,41596632
EEM,2020-02-13,44.29,44.45,44.16,44.18,64716754
EEM,2020-02-14,44.46,44.47,44.04,44.2,45095308
EEM,2020-02-18,43.89,44.05,43.81,43.91,40160949
EEM,2020-02-19,44.25,44.33,44.19,44.23,45647748
EEM,2020-02-20,43.88,44.34,43.4,43.54,109309589
EEM,2020-02-21,43.44,43.53,43.23,43.29,70553116
EEM,2020-02-24,41.46,41.91,41.43,41.67,101475434
EEM,2020-02-25,42.28,42.35,41.34,41.34,118601097
EEM,2020-02-26,41.83,42.24,41.64,41.67,109410204
EEM,2020-02-27,41.21,41.52,40.66,40.67,151034890
EEM,2020-02-28,39.55,40.62,39.28,40.52,201191079
EEM,2020-03-02,40.64,41.41,40.4,41.4,134702126
EEM,2020-03-03,41.41,42.08,40.83,41.12,141790669
EEM,2020-03-04,41.74,41.93,41.51,41.85,80037710
EEM,2020-03-05,41.52,41.68,40.8,40.97,107349466
EEM,2020-03-06,40.27,40.39,39.81,40.13,103990165
EEM,2020-03-09,37.23,38.1,36.6,37.39,143303545
EEM,2020-03-10,38.95,39.33,38.17,39.29,142772376
EEM,2020-03-11,38.2,38.33,37.22,37.46,137785859
EEM,2020-03-12,34.13,34.67,32.89,33.71,171326556
EEM,2020-03-13,36.61,36.7,34.38,36.14,128257703
EEM,2020-03-16,32.0,33.48,31.59,31.63,101493862
EEM,2020-03-17,32.56,33.81,32.03,33.81,92039461
EEM,2020-03-18,30.91,32.02,30.15,30.89,101093355
EEM,2020-03-19,30.81,31.55,30.25,31.13,68913957
EEM,2020-03-20,32.59,32.72,31.25,31.36,100289977
EEM,2020-03-23,31.06,31.16,30.1,30.61,97832277
EEM,2020-03-24,32.61,32.97,32.35,32.91,84439548
EEM,2020-03-25,33.51,34.53,33.19,34.07,79587530
EEM,2020-03-26,34.36,35.45,34.28,35.36,89979476
EEM,2020-03-27,33.45,33.96,33.19,33.35,74150804
EEM,2020-03-30,33.47,33.93,33.22,33.9,47538432
EEM,2020-03-31,33.98,34.55,33.92,34.13,64131172
EEM,2020-04-01,33.1,33.33,32.62,32.67,65580262
EEM,2020-04-02,33.29,33.94,33.2,33.77,55782920
EEM,2020-04-03,33.69,33.86,32.95,33.13,68667336
EEM,2020-04-06,34.44,34.95,34.3,34.94,82390944
EEM,2020-04-07,36.09,36.12,35.05,35.12,74320706
EEM,2020-04-08,35.21,35.57,34.94,35.48,47112943
EEM,2020-04-09,35.86,36.09,35.26,35.35,67238157
EEM,2020-04-13,35.34,35.45,35.0,35.4,38192715
EEM,2020-04-14,36.21,36.48,36.01,36.21,52814211
EEM,2020-04-15,35.35,35.46,35.12,35.28,60775236
EEM,2020-04-16,35.78,35.82,35.35,35.47,37168375
EEM,2020-04-17,36.43,36.48,36.0,36.26,40869028
EEM,2020-04-20,35.88,36.24,35.73,35.8,44380177
EEM,2020-04-21,34.98,35.18,34.74,34.81,46166589
EEM,2020-04-22,35.78,35.87,35.69,35.76,37455775
EEM,2020-04-23,36.04,36.29,35.61,35.63,40731507
EEM,2020-04-24,35.69,35.74,35.25,35.58,30553497
EEM,2020-04-27,36.05,36.37,35.99,36.3,30616302
EEM,2020-04-28,36.82,36.85,36.35,36.37,34463624
EEM,2020-04-29,36.99,37.5,36.92,37.43,45481648
EEM,2020-04-30,37.24,37.36,36.4,36.64,59177651
EEM,2020-05-01,35.75,35.88,35.2,35.32,56826677
EEM,2020-05-04,35.46,35.74,35.32,35.7,37035156
EEM,2020-05-05,36.06,36.24,35.86,35.9,41768978
EEM,2020-05-06,36.12,36.16,35.77,35.79,36583353
EEM,2020-05-07,36.13,36.24,35.91,36.08,36883339
EEM,2020-05-08,36.54,36.95,36.51,36.84,60612740
EEM,2020-05-11,36.62,36.84,36.56,36.6,31050272
EEM,2020-05-12,36.9,37.16,36.45,36.46,49636131
EEM,2020-05-13,36.87,36.95,36.15,36.39,54999154
EEM,2020-05-14,35.69,36.59,35.56,36.53,58631035
EEM,2020-05-15,35.96,36.2,35.84,36.03,40401977
EEM,2020-05-18,36.92,37.52,36.91,37.44,47487608
EEM,2020-05-19,37.38,37.56,37.12,37.14,36150518
EEM,2020-05-20,37.73,37.91,37.42,37.63,43140212
EEM,2020-05-21,37.4,37.53,37.02,37.2,42842879
EEM,2020-05-22,36.62,36.62,36.31,36.43,47352673
EEM,2020-05-26,37.58,37.73,37.19,37.23,54511247
EEM,2020-05-27,37.4,37.43,36.91,37.35,47182424
EEM,2020-05-28,37.47,37.65,37.07,37.09,53388559
EEM,2020-05-29,37.35,37.8,37.09,37.73,63615870
EEM,2020-06-01,38.08,38.63,38.01,38.6,49360205
EEM,2020-06-02,39.07,39.57,38.98,39.52,53993635
EEM,2020-06-03,40.05,40.52,39.99,40.44,60765578
EEM,2020-06-04,39.91,40.18,39.67,39.87,50969339
EEM,2020-06-05,40.9,41.16,40.82,40.92,52467519
EEM,2020-06-08,40.8,41.19,40.56,41.17,39773303
EEM,2020-06-09,40.58,40.98,40.43,40.89,42686187
EEM,2020-06-10,41.01,41.31,40.67,41.19,81168726
EEM,2020-06-11,39.86,40.08,38.99,39.04,91271121
EEM,2020-06-12,40.02,40.1,39.28,39.87,73771440
EEM,2020-06-15,38.62,39.51,38.5,39.28,76868648
EEM,2020-06-16,40.27,40.27,39.25,39.53,79614274
EEM,2020-06-17,39.87,40.11,39.79,39.91,61450544
EEM,2020-06-18,39.81,40.08,39.8,39.93,48129540
EEM,2020-06-19,40.47,40.48,39.78,39.92,72411345
EEM,2020-06-22,40.19,40.5,40.1,40.41,39024199
EEM,2020-06-23,40.89,41.07,40.76,40.8,32994590
EEM,2020-06-24,40.64,40.76,39.98,40.26,51148866
EEM,2020-06-25,40.12,40.44,39.98,40.43,48198962
EEM,2020-06-26,40.31,40.33,39.77,39.94,53901211
EEM,2020-06-29,39.95,40.14,39.715,40.12,34712671
EEM,2020-06-30,40.05,40.09,39.74,39.99,67644612
EEM,2020-07-01,40.21,40.59,40.18,40.44,51768621
EEM,2020-07-02,41.31,41.6,41.18,41.36,42236744
EEM,2020-07-06,42.78,43.15,42.78,43.14,69124262
EEM,2020-07-07,42.59,42.88,42.4,42.42,34004233
EEM,2020-07-08,43.0,43.52,42.95,43.52,42723700
EEM,2020-07-09,43.9,43.96,43.13,43.52,64950400
EEM,2020-07-10,43.23,43.3,42.95,43.24,45435374
EEM,2020-07-13,43.54,43.86,42.87,42.95,47035745
EEM,2020-07-14,42.45,43.13,42.35,43.01,56527349
EEM,2020-07-15,43.27,43.35,42.97,43.14,48309100
EEM,2020-07-16,42.31,42.57,42.25,42.53,36775101
EEM,2020-07-17,42.84,42.86,42.55,42.77,40910056
EEM,2020-07-20,43.01,43.37,42.89,43.32,23234270
EEM,2020-07-21,44.0,44.02,43.7,43.72,44422147
EEM,2020-07-22,43.71,43.71,43.285,43.53,31232170
EEM,2020-07-23,43.5,43.665,42.97,43.18,39243611
EEM,2020-07-24,42.72,43.14,42.63,43.14,30184756
EEM,2020-07-27,43.44,43.84,43.31,43.81,39112173
EEM,2020-07-28,43.73,43.78,43.4,43.45,31219090
EEM,2020-07-29,43.85,44.27,43.85,44.15,37830933
EEM,2020-07-30,43.63,43.76,43.19,43.59,47900312
EEM,2020-07-31,43.63,43.64,42.96,43.29,62457744
EEM,2020-08-03,43.45,43.69,43.41,43.59,30603767
EEM,2020-08-04,43.78,44.17,43.77,44.17,40597390
EEM,2020-08-05,44.56,44.85,44.53,44.65,36771098
EEM,2020-08-06,44.52,44.81,44.36,44.79,33523690
EEM,2020-08-07,43.99,44.145,43.64,43.87,35759274
EEM,2020-08-10,43.94,44.07,43.64,43.98,26964730
EEM,2020-08-11,44.27,44.355,43.81,43.86,34166428
EEM,2020-08-12,44.31,44.575,44.21,44.45,30741321
EEM,2020-08-13,44.4,44.47,44.13,44.32,26509218
