symbol,date,open,high,low,close,volume
EFA,2006-07-31,65.93,66.0,65.7468,65.92,3475500
EFA,2006-08-01,65.5,65.6488,64.98,65.46,3778900
EFA,2006-08-02,65.82,66.35,65.82,66.18,3247200
EFA,2006-08-03,65.48,66.25,65.4,66.07,3939100
EFA,2006-08-04,66.54,66.8,65.88,66.12,4047200
EFA,2006-08-07,65.64,65.88,65.5,65.71,2061800
EFA,2006-08-08,65.7,66.21,65.32,65.48,2627000
EFA,2006-08-09,66.37,66.67,65.78,65.8,3065500
EFA,2006-08-10,65.73,65.97,65.47,65.95,3848800
EFA,2006-08-11,65.43,65.65,65.22,65.38,1996200
EFA,2006-08-14,65.89,66.15,65.59,65.6,2221000
EFA,2006-08-15,66.8,67.15,66.68,67.02,2887400
EFA,2006-08-16,67.55,67.7,67.37,67.65,2618500
EFA,2006-08-17,67.55,67.8,67.25,67.38,2464400
EFA,2006-08-18,67.46,67.68,67.17,67.66,2019400
EFA,2006-08-21,67.53,67.8,67.44,67.45,3163500
EFA,2006-08-22,67.2,67.48,67.0,67.26,2552400
EFA,2006-08-23,67.45,67.6,66.9,67.02,2570600
EFA,2006-08-24,67.35,67.39,66.66,66.83,2849700
EFA,2006-08-25,66.82,66.97,66.63,66.78,3690800
EFA,2006-08-28,66.83,67.3,66.76,67.06,3573200
EFA,2006-08-29,67.46,67.68,66.98,67.6,3565000
EFA,2006-08-30,67.88,67.88,67.48,67.6,5866400
EFA,2006-08-31,67.96,67.96,67.5,67.6,5035800
EFA,2006-09-01,67.82,68.22,67.75,68.1,2611300
EFA,2006-09-05,68.38,68.52,68.12,68.36,3383200
EFA,2006-09-06,67.65,67.69,67.23,67.31,3474200
EFA,2006-09-07,66.62,66.9299,66.36,66.53,3539200
EFA,2006-09-08,66.48,66.66,66.36,66.52,2230400
EFA,2006-09-11,66.14,66.4,65.78,66.12,3626400
EFA,2006-09-12,66.38,66.97,66.25,66.88,3787600
EFA,2006-09-13,66.6,66.95,66.48,66.75,2231000
EFA,2006-09-14,66.88,66.96,66.72,66.84,2314600
EFA,2006-09-15,67.05,67.05,66.52,66.63,3204300
EFA,2006-09-18,66.6,67.1,66.5401,66.98,3239400
EFA,2006-09-19,66.9,66.95,66.0,66.36,2981300
