symbol,date,open,high,low,close,volume
EURUSD,2019-08-07,1.11982,1.12419,1.1179,1.11985,321312
EURUSD,2019-08-08,1.11985,1.1233,1.11769,1.11798,242855
EURUSD,2019-08-09,1.11798,1.1223,1.11779,1.11979,174967
EURUSD,2019-08-12,1.11994,1.12308,1.11619,1.12133,168887
EURUSD,2019-08-13,1.12133,1.12287,1.117,1.11708,285906
EURUSD,2019-08-14,1.11708,1.11908,1.11307,1.11382,231723
EURUSD,2019-08-15,1.11382,1.11585,1.10913,1.11066,286741
EURUSD,2019-08-16,1.11066,1.11123,1.10663,1.10894,214714
EURUSD,2019-08-19,1.10918,1.11137,1.10761,1.10779,143446
EURUSD,2019-08-20,1.10779,1.11067,1.10657,1.10992,155281
EURUSD,2019-08-21,1.10992,1.11071,1.10794,1.10841,123620
EURUSD,2019-08-22,1.10841,1.11133,1.10636,1.10791,189342
EURUSD,2019-08-23,1.10791,1.11533,1.10518,1.11373,271120
EURUSD,2019-08-26,1.115,1.11638,1.10942,1.10999,285892
EURUSD,2019-08-27,1.10999,1.11162,1.10858,1.109,208794
EURUSD,2019-08-28,1.109,1.10981,1.10734,1.10772,190961
EURUSD,2019-08-29,1.10772,1.10934,1.1042,1.10566,201973
EURUSD,2019-08-30,1.10566,1.10605,1.0963,1.09875,203768
EURUSD,2019-09-02,1.09899,1.09965,1.09579,1.0967,107391
EURUSD,2019-09-03,1.0967,1.09789,1.09259,1.09725,214875
EURUSD,2019-09-04,1.09725,1.10385,1.09684,1.10355,195358
EURUSD,2019-09-05,1.10355,1.10848,1.10166,1.10343,214465
EURUSD,2019-09-06,1.10343,1.10573,1.10202,1.10249,200597
EURUSD,2019-09-09,1.10251,1.10681,1.10154,1.10471,146858
EURUSD,2019-09-10,1.10471,1.10594,1.10306,1.10431,157219
EURUSD,2019-09-11,1.10431,1.10555,1.09853,1.10103,145215
EURUSD,2019-09-12,1.10103,1.10873,1.0927,1.10635,333632
EURUSD,2019-09-13,1.10635,1.11096,1.10554,1.1072,186156
EURUSD,2019-09-16,1.10729,1.10864,1.09933,1.09995,178039
EURUSD,2019-09-17,1.09995,1.10746,1.09903,1.10721,189299
EURUSD,2019-09-18,1.10721,1.10757,1.10136,1.10295,207790
EURUSD,2019-09-19,1.10295,1.10735,1.1023,1.10407,202009
EURUSD,2019-09-20,1.10407,1.10677,1.09964,1.10171,191681
EURUSD,2019-09-23,1.1016,1.10255,1.09662,1.09928,183791
EURUSD,2019-09-24,1.09928,1.10241,1.09838,1.10198,180853
EURUSD,2019-09-25,1.10198,1.1023,1.09375,1.09425,184407
EURUSD,2019-09-26,1.09425,1.09674,1.09086,1.09196,181852
EURUSD,2019-09-27,1.09196,1.09588,1.09047,1.09404,170208
EURUSD,2019-09-30,1.0942,1.09478,1.08848,1.08972,160846
EURUSD,2019-10-01,1.08972,1.09429,1.08791,1.09323,196739
EURUSD,2019-10-02,1.09323,1.09637,1.0904,1.0959,175070
EURUSD,2019-10-03,1.0959,1.09994,1.09408,1.0964,196936
EURUSD,2019-10-04,1.0964,1.09975,1.09571,1.09765,183589
EURUSD,2019-10-07,1.09804,1.10006,1.09619,1.09703,137812
