symbol,date,open,high,low,close,volume
GBPUSD,2006-07-31,1.8627,1.8689,1.8616,1.8675,15165
GBPUSD,2006-08-01,1.8675,1.8765,1.8625,1.8762,16664
GBPUSD,2006-08-02,1.8762,1.8796,1.873,1.8766,14003
GBPUSD,2006-08-03,1.8766,1.8915,1.8698,1.8875,13432
GBPUSD,2006-08-04,1.8875,1.9129,1.8851,1.9081,12531
GBPUSD,2006-08-07,1.9081,1.9116,1.9044,1.9067,15902
GBPUSD,2006-08-08,1.9067,1.9144,1.9033,1.9074,15536
GBPUSD,2006-08-09,1.9074,1.9111,1.8971,1.9044,18147
GBPUSD,2006-08-10,1.9044,1.9091,1.8867,1.8932,15948
GBPUSD,2006-08-11,1.8932,1.899,1.8885,1.8905,14944
GBPUSD,2006-08-14,1.8905,1.8949,1.8841,1.8872,11503
GBPUSD,2006-08-15,1.8872,1.8977,1.8854,1.8936,14182
GBPUSD,2006-08-16,1.8936,1.9023,1.888,1.8953,13580
GBPUSD,2006-08-17,1.8953,1.9007,1.8822,1.885,14640
GBPUSD,2006-08-18,1.885,1.8868,1.8776,1.8816,12083
GBPUSD,2006-08-21,1.8816,1.8997,1.8802,1.894,13068
GBPUSD,2006-08-22,1.894,1.895,1.8854,1.8879,11759
GBPUSD,2006-08-23,1.8879,1.8997,1.8864,1.8931,12562
GBPUSD,2006-08-24,1.8931,1.8972,1.8857,1.8869,12663
GBPUSD,2006-08-25,1.8869,1.8914,1.8829,1.8871,12257
GBPUSD,2006-08-28,1.8871,1.8992,1.8861,1.8926,14938
GBPUSD,2006-08-29,1.8926,1.9028,1.8897,1.8981,15848
GBPUSD,2006-08-30,1.8981,1.906,1.8971,1.9042,14452
GBPUSD,2006-08-31,1.9042,1.9092,1.8995,1.9045,14972
GBPUSD,2006-09-01,1.9045,1.9067,1.8956,1.906,12553
GBPUSD,2006-09-04,1.906,1.908,1.903,1.9069,9121
GBPUSD,2006-09-05,1.9069,1.9071,1.8914,1.8943,12782
GBPUSD,2006-09-06,1.8943,1.8957,1.8794,1.8842,16616
GBPUSD,2006-09-07,1.8842,1.887,1.8706,1.8758,19660
GBPUSD,2006-09-08,1.8758,1.8762,1.8628,1.8651,15801
GBPUSD,2006-09-11,1.8651,1.8707,1.8603,1.8656,18716
