symbol,date,open,high,low,close,volume
GLD,2019-08-07,141.28,142.47,140.88,141.02,26671092
GLD,2019-08-08,140.9,142.37,140.71,141.73,13108554
GLD,2019-08-09,141.28,142.03,140.96,141.26,9485912
GLD,2019-08-12,141.67,143.38,141.64,142.63,22574074
GLD,2019-08-13,143.17,143.29,139.35,141.78,29930394
GLD,2019-08-14,142.9,143.75,142.05,142.75,20672858
GLD,2019-08-15,142.96,144.02,142.61,143.7,13501099
GLD,2019-08-16,142.75,143.13,141.8,142.78,12184492
GLD,2019-08-19,141.33,141.79,140.85,141.11,10558366
GLD,2019-08-20,141.77,142.26,141.6,142.21,7479375
GLD,2019-08-21,141.62,142.17,141.46,141.76,8118733
GLD,2019-08-22,141.39,141.9,141.17,141.4,6847647
GLD,2019-08-23,141.84,144.33,141.64,144.17,20290539
GLD,2019-08-26,144.35,144.97,143.91,144.19,12200810
GLD,2019-08-27,144.3,145.68,144.27,145.57,12857588
GLD,2019-08-28,145.39,145.68,144.64,145.16,11452157
GLD,2019-08-29,145.4,145.49,143.28,144.12,14764572
GLD,2019-08-30,143.84,144.88,143.02,143.75,9641918
GLD,2019-09-03,144.96,146.13,144.74,145.75,15613445
GLD,2019-09-04,145.54,146.82,145.5,146.66,11284999
GLD,2019-09-05,144.98,145.01,142.0,143.14,20292448
GLD,2019-09-06,143.64,144.06,141.86,141.92,14174625
GLD,2019-09-09,142.37,142.46,141.18,141.39,11317417
GLD,2019-09-10,141.23,141.53,140.16,140.18,12606324
GLD,2019-09-11,140.34,141.26,140.28,141.03,7435539
GLD,2019-09-12,142.68,143.1,141.11,141.32,12661188
GLD,2019-09-13,141.73,141.99,140.06,140.15,13450924
GLD,2019-09-16,141.6,142.05,141.02,141.32,8078398
GLD,2019-09-17,141.82,142.11,141.22,141.6,7045262
GLD,2019-09-18,141.93,142.53,139.81,140.71,15066645
GLD,2019-09-19,141.57,141.74,141.09,141.28,8062414
GLD,2019-09-20,141.61,143.03,141.46,142.95,12143073
GLD,2019-09-23,143.22,143.94,143.07,143.75,9033969
GLD,2019-09-24,143.21,144.77,142.88,144.51,10619888
GLD,2019-09-25,144.08,144.29,141.44,141.83,11993328
GLD,2019-09-26,142.19,142.57,141.56,141.79,8781994
GLD,2019-09-27,140.35,141.68,140.16,141.06,9663779
GLD,2019-09-30,139.77,140.21,138.03,138.87,15501664
GLD,2019-10-01,138.07,140.19,137.8,139.63,12500459
