symbol,date,open,high,low,close,volume
IWM,2019-08-07,147.92,149.71,146.69,149.32,23952105
IWM,2019-08-08,150.15,152.63,149.99,152.54,19415553
IWM,2019-08-09,152.09,152.15,150.03,150.62,19313212
IWM,2019-08-12,149.81,150.12,148.33,148.67,17682793
IWM,2019-08-13,148.34,151.79,147.67,150.27,21952977
IWM,2019-08-14,147.95,147.98,145.72,146.07,28235762
IWM,2019-08-15,146.62,146.67,144.79,145.49,24281975
IWM,2019-08-16,146.14,148.91,146.11,148.63,23945306
IWM,2019-08-19,150.32,150.89,149.95,150.13,17031814
IWM,2019-08-20,149.92,150.01,148.99,149.15,13326668
IWM,2019-08-21,150.62,150.65,149.79,150.38,13794625
IWM,2019-08-22,150.67,151.08,149.14,150.03,12982210
IWM,2019-08-23,149.22,150.11,144.93,145.43,36977684
IWM,2019-08-26,146.8,147.05,145.71,147.03,19188188
IWM,2019-08-27,147.96,148.02,144.68,144.85,24565206
IWM,2019-08-28,144.56,147.39,144.25,146.54,20111973
IWM,2019-08-29,148.15,149.29,147.96,149.11,18795178
IWM,2019-08-30,149.89,149.97,148.04,148.84,18726568
IWM,2019-09-03,147.45,148.32,146.0,146.66,20677906
IWM,2019-09-04,148.01,148.36,147.18,147.84,13105383
IWM,2019-09-05,149.85,151.91,149.37,150.59,25656476
IWM,2019-09-06,150.7,151.23,149.83,149.9,14645652
IWM,2019-09-09,150.57,152.24,150.06,151.91,25757292
IWM,2019-09-10,151.68,153.95,150.89,153.85,29567058
IWM,2019-09-11,154.52,157.16,153.56,157.0,42913843
IWM,2019-09-12,157.18,157.9,155.57,157.04,38600846
IWM,2019-09-13,157.85,158.92,157.13,157.31,31028522
IWM,2019-09-16,156.97,158.75,156.7,157.9,23236582
IWM,2019-09-17,157.36,157.57,156.45,157.49,23004494
IWM,2019-09-18,157.48,157.5,155.07,156.52,19812719
IWM,2019-09-19,156.8,157.82,155.53,155.76,21914563
IWM,2019-09-20,155.64,156.65,154.45,155.43,23483892
IWM,2019-09-23,154.86,155.95,154.56,155.31,15445329
IWM,2019-09-24,155.15,155.29,151.84,152.43,28301374
IWM,2019-09-25,152.28,154.36,151.8,154.1,22089228
IWM,2019-09-26,153.92,153.92,151.95,152.38,21073362
IWM,2019-09-27,152.82,153.22,150.5,151.16,20181809
IWM,2019-09-30,151.37,152.26,150.79,151.34,17763906
IWM,2019-10-01,152.11,153.35,148.05,148.37,34212288
IWM,2019-10-02,147.63,147.63,145.86,147.25,24992756
IWM,2019-10-03,146.69,147.94,144.93,147.74,26240236
IWM,2019-10-04,147.99,149.25,147.12,149.14,18811799
IWM,2019-10-07,148.78,150.07,148.12,148.88,16048194
IWM,2019-10-08,147.42,147.93,146.11,146.46,18390496
IWM,2019-10-09,147.54,147.69,146.64,147.13,10956592
IWM,2019-10-10,147.34,148.5,147.1,147.72,16176801
IWM,2019-10-11,149.79,151.96,147.69,150.22,29560524
IWM,2019-10-14,149.91,150.15,149.1,149.67,10706922
IWM,2019-10-15,150.17,152.13,149.79,151.39,18002476
IWM,2019-10-16,151.21,152.27,151.14,151.55,13159208
IWM,2019-10-17,152.29,153.51,152.05,153.34,13447964
IWM,2019-10-18,152.93,153.5,151.45,152.61,14490190
IWM,2019-10-21,154.17,154.98,153.91,154.04,17462046
IWM,2019-10-22,154.2,155.05,153.74,154.21,12672072
IWM,2019-10-23,154.34,154.75,153.55,154.4,8763008
IWM,2019-10-24,154.95,155.06,153.47,154.18,8680414
IWM,2019-10-25,153.91,155.53,153.9,155.0,10516677
IWM,2019-10-28,155.66,156.98,155.01,156.34,15050325
IWM,2019-10-29,156.01,157.34,155.86,156.85,11969618
IWM,2019-10-30,156.79,156.81,155.28,156.33,14448485
IWM,2019-10-31,156.1,156.1,154.24,155.45,17325561
IWM,2019-11-01,156.4,158.19,156.05,158.1,18342638
IWM,2019-11-04,159.4,159.7,158.47,158.95,16107651
IWM,2019-11-05,159.4,160.46,158.97,159.15,13730685
IWM,2019-11-06,158.99,158.99,157.81,158.23,16006392
IWM,2019-11-07,159.74,160.17,158.17,158.65,13404197
IWM,2019-11-08,158.28,159.27,157.95,159.08,11966919
IWM,2019-11-11,158.03,158.9,157.88,158.78,10508711
IWM,2019-11-12,158.93,159.88,158.49,158.83,14283411
IWM,2019-11-13,157.74,158.5,157.19,158.15,14685926
IWM,2019-11-14,157.93,158.91,157.79,158.1,13053286
IWM,2019-11-15,159.23,159.29,158.35,158.92,13119074
IWM,2019-11-18,158.72,158.74,157.94,158.52,10745988
IWM,2019-11-19,159.11,159.7,158.31,159.11,15149282
IWM,2019-11-20,158.55,159.6,157.26,158.51,21304165
IWM,2019-11-21,158.82,158.89,157.23,157.73,15354315
IWM,2019-11-22,158.31,158.54,157.35,158.22,13481243
IWM,2019-11-25,159.03,161.83,158.89,161.58,24743431
IWM,2019-11-26,161.75,162.54,161.29,161.69,15493577
IWM,2019-11-27,162.38,162.93,162.08,162.83,13191494
IWM,2019-11-29,162.41,162.79,161.67,161.77,9988199
IWM,2019-12-02,162.15,162.21,159.91,160.19,17179320
IWM,2019-12-03,158.82,159.76,158.1,159.68,14959300
IWM,2019-12-04,160.5,161.22,160.3,160.78,10823872
IWM,2019-12-05,161.47,161.65,160.45,160.94,11455020
IWM,2019-12-06,162.59,163.41,162.5,162.82,16485980
IWM,2019-12-09,162.75,163.16,162.39,162.51,13475535
IWM,2019-12-10,162.41,162.96,161.94,162.61,13703289
IWM,2019-12-11,162.88,163.08,161.95,162.56,18541863
IWM,2019-12-12,162.75,165.1,162.25,163.96,24839561
IWM,2019-12-13,163.73,164.81,162.55,163.33,23279088
IWM,2019-12-16,164.06,164.85,163.74,163.88,20113041
IWM,2019-12-17,164.14,164.7,163.7,164.7,12979392
IWM,2019-12-18,165.06,165.28,164.32,165.02,15373562
IWM,2019-12-19,165.28,165.73,164.88,165.73,11918761
IWM,2019-12-20,166.15,166.41,165.72,165.97,25447792
IWM,2019-12-23,166.24,166.36,165.36,166.3,13371978
IWM,2019-12-24,166.45,166.7,166.04,166.68,4334517
IWM,2019-12-26,166.83,166.98,166.36,166.68,9371226
IWM,2019-12-27,167.12,167.12,165.43,165.86,12260570
IWM,2019-12-30,165.98,166.21,164.57,165.44,14908447
IWM,2019-12-31,165.08,166.35,164.71,165.67,17362311
IWM,2020-01-02,166.74,166.75,164.23,165.78,18294309
IWM,2020-01-03,163.74,165.41,163.7,165.13,19295569
IWM,2020-01-06,163.85,165.54,163.54,165.35,17145571
IWM,2020-01-07,164.85,165.34,164.21,164.8,11819067
IWM,2020-01-08,164.82,166.03,164.72,165.31,13811301
IWM,2020-01-09,166.12,166.45,165.26,165.51,11894215
IWM,2020-01-10,165.55,165.69,164.2,164.89,15352956
IWM,2020-01-13,164.94,166.04,164.07,165.96,17268065
IWM,2020-01-14,165.14,167.59,164.98,166.57,18317734
IWM,2020-01-15,166.15,167.95,166.14,167.37,15408284
IWM,2020-01-16,168.59,169.87,168.43,169.53,19940949
IWM,2020-01-17,170.28,170.56,168.67,169.07,18303438
IWM,2020-01-21,168.36,168.99,167.27,167.67,17480104
IWM,2020-01-22,168.19,168.62,167.18,167.56,14896883
IWM,2020-01-23,167.1,167.97,165.45,167.45,15931066
IWM,2020-01-24,168.01,168.01,164.23,165.39,20482103
IWM,2020-01-27,162.85,164.49,162.42,163.51,18476219
IWM,2020-01-28,164.5,165.4,163.49,164.87,16645063
IWM,2020-01-29,165.1,165.56,163.9,163.93,14938918
IWM,2020-01-30,162.84,164.14,161.93,163.93,21858837
IWM,2020-01-31,163.32,163.92,160.03,160.53,30414245
IWM,2020-02-03,161.6,162.93,161.49,162.32,17332810
IWM,2020-02-04,164.31,165.31,164.16,164.77,15973790
IWM,2020-02-05,166.48,167.53,165.69,167.31,17787235
IWM,2020-02-06,167.89,168.15,166.76,166.93,14743691
