symbol,date,open,high,low,close,volume
QQQ,2019-08-07,181.27,184.51,179.89,184.25,49990586
QQQ,2019-08-08,185.08,188.32,184.57,188.26,38418084
QQQ,2019-08-09,187.36,188.0,185.03,186.49,33608926
QQQ,2019-08-12,185.34,185.9,183.5,184.35,24642870
QQQ,2019-08-13,184.19,189.68,184.02,188.39,40473043
QQQ,2019-08-14,185.36,185.95,182.42,182.76,51000548
QQQ,2019-08-15,183.0,183.59,181.16,182.55,36848178
QQQ,2019-08-16,184.11,185.95,184.1,185.48,34785006
QQQ,2019-08-19,188.16,188.83,187.5,188.43,22568634
QQQ,2019-08-20,187.96,188.64,186.92,186.97,19939552
QQQ,2019-08-21,188.61,189.23,187.96,188.63,20745478
QQQ,2019-08-22,188.98,189.46,186.54,188.02,24270520
QQQ,2019-08-23,186.74,188.45,181.56,182.07,55442893
QQQ,2019-08-26,184.14,184.87,183.08,184.82,27689838
QQQ,2019-08-27,186.11,186.42,183.71,184.43,28080093
QQQ,2019-08-28,183.83,185.4,182.91,185.09,21775744
QQQ,2019-08-29,187.39,188.46,186.68,187.92,25427207
QQQ,2019-08-30,188.93,188.97,186.41,187.47,26332749
QQQ,2019-09-03,186.22,187.18,185.03,185.65,28026617
QQQ,2019-09-04,187.44,188.49,186.9,188.33,21676335
QQQ,2019-09-05,190.41,192.33,190.34,191.78,34060994
QQQ,2019-09-06,192.1,192.17,191.17,191.59,19487821
QQQ,2019-09-09,192.19,192.27,190.22,191.19,24407580
QQQ,2019-09-10,190.16,190.74,188.91,190.64,23744687
QQQ,2019-09-11,191.0,192.53,190.56,192.43,25063617
QQQ,2019-09-12,193.61,194.71,192.97,193.23,28689878
QQQ,2019-09-13,192.95,193.4,192.29,192.54,27669795
QQQ,2019-09-16,191.3,192.08,191.11,191.68,20318987
QQQ,2019-09-17,191.7,192.6,191.29,192.6,21113675
QQQ,2019-09-18,192.2,192.6,190.11,192.52,31173056
QQQ,2019-09-19,192.86,194.04,192.47,192.84,26214873
QQQ,2019-09-20,193.11,193.31,190.16,190.8,30131528
QQQ,2019-09-23,190.36,191.07,189.72,190.5,22917563
QQQ,2019-09-24,191.37,191.79,187.15,187.97,41096614
QQQ,2019-09-25,187.79,190.58,186.21,190.08,36499191
