symbol,date,open,high,low,close,volume
SGOV,2020-05-28,100.02,100.02,100.01,100.01,366
SGOV,2020-05-29,100.02,100.02,100.01,100.01,9758
SGOV,2020-06-01,100.02,100.02,100.01,100.01,1600
SGOV,2020-06-02,100.02,100.02,100.013,100.013,3957
SGOV,2020-06-03,100.015,100.015,100.015,100.015,57
SGOV,2020-06-04,100.0,100.021,100.0,100.015,2403
SGOV,2020-06-05,100.02,100.02,100.01,100.01,370
SGOV,2020-06-08,100.01,100.01,100.01,100.01,1
SGOV,2020-06-09,100.01,100.01,100.01,100.01,110
SGOV,2020-06-10,100.02,100.02,100.015,100.015,12306
SGOV,2020-06-11,100.02,100.03,100.015,100.015,7587104
SGOV,2020-06-12,100.01,100.02,100.01,100.015,4888
SGOV,2020-06-15,100.02,100.02,100.015,100.015,8504
SGOV,2020-06-16,100.015,100.015,100.015,100.015,36
SGOV,2020-06-17,100.03,100.03,100.015,100.02,4569
SGOV,2020-06-18,100.03,100.03,100.02,100.024,19588
SGOV,2020-06-19,100.025,100.029,100.02,100.025,5627
SGOV,2020-06-22,100.03,100.03,100.01,100.02,22478
SGOV,2020-06-23,100.03,100.03,100.02,100.02,1484
SGOV,2020-06-24,100.01,100.03,100.01,100.02,17125
SGOV,2020-06-25,100.02,100.02,100.01,100.02,10711
SGOV,2020-06-26,100.03,100.03,100.01,100.015,51198
SGOV,2020-06-29,100.025,100.025,100.0201,100.025,3741
SGOV,2020-06-30,100.025,100.025,100.025,100.025,702
SGOV,2020-07-01,100.02,100.02,100.015,100.015,15100
SGOV,2020-07-02,100.02,100.03,100.02,100.021,5266
SGOV,2020-07-06,100.015,100.02,100.015,100.015,2408
SGOV,2020-07-07,100.011,100.02,100.011,100.015,3946
SGOV,2020-07-08,100.02,100.03,100.015,100.015,18700
SGOV,2020-07-09,100.03,100.03,100.025,100.025,366
SGOV,2020-07-10,100.03,100.03,100.025,100.029,26446
SGOV,2020-07-13,100.03,100.03,100.025,100.025,1000
SGOV,2020-07-14,100.02,100.03,100.01,100.02,6477
SGOV,2020-07-15,100.03,100.03,100.016,100.02,9121
SGOV,2020-07-16,100.03,100.03,100.01,100.02,14736
SGOV,2020-07-17,100.03,100.03,100.02,100.02,18290
SGOV,2020-07-20,100.03,100.03,100.02,100.03,1198
SGOV,2020-07-21,100.03,100.03,100.01,100.02,157239
SGOV,2020-07-22,100.03,100.03,100.01,100.02,9021
SGOV,2020-07-23,100.02,100.03,100.01,100.02,10639
SGOV,2020-07-24,100.02,100.03,100.02,100.02,1411
SGOV,2020-07-27,100.03,100.03,100.02,100.02,23857
SGOV,2020-07-28,100.03,100.03,100.01,100.02,15995
SGOV,2020-07-29,100.03,100.03,100.02,100.025,1588
SGOV,2020-07-30,100.03,100.04,100.01,100.02,17033
SGOV,2020-07-31,100.03,100.03,100.025,100.025,1434
SGOV,2020-08-03,100.015,100.015,100.015,100.015,283
SGOV,2020-08-04,100.02,100.02,100.01,100.015,1434
SGOV,2020-08-05,100.01,100.02,100.01,100.015,12783
SGOV,2020-08-06,100.01,100.02,100.01,100.015,21503
SGOV,2020-08-07,100.02,100.03,100.02,100.02,10012
SGOV,2020-08-10,100.02,100.02,100.0,100.015,25564
SGOV,2020-08-11,100.02,100.02,100.015,100.015,20640
SGOV,2020-08-12,100.01,100.03,100.01,100.02,291280
SGOV,2020-08-13,100.018,100.02,100.018,100.02,639
SGOV,2020-08-14,100.03,100.03,100.025,100.025,28674
SGOV,2020-08-17,100.03,100.03,100.02,100.025,44700
SGOV,2020-08-18,100.03,100.03,100.01,100.02,8255
SGOV,2020-08-19,100.03,100.03,100.027,100.027,2917
SGOV,2020-08-20,100.03,100.03,100.02,100.02,2954
SGOV,2020-08-21,100.01,100.03,100.01,100.02,11476
SGOV,2020-08-24,100.03,100.03,100.02,100.02,11264
SGOV,2020-08-25,100.02,100.03,100.0125,100.0249,6696
SGOV,2020-08-26,100.0102,100.03,100.01,100.01,26027
SGOV,2020-08-27,100.01,100.03,100.01,100.03,61677
SGOV,2020-08-28,100.02,100.03,100.02,100.02,700
SGOV,2020-08-31,100.02,100.03,100.01,100.02,20517
SGOV,2020-09-01,100.02,100.02,100.0,100.0,43959
SGOV,2020-09-02,100.02,100.02,100.0,100.01,14233
SGOV,2020-09-03,100.018,100.02,100.01,100.015,3241
SGOV,2020-09-04,100.02,100.02,100.015,100.015,470
SGOV,2020-09-08,100.0101,100.02,100.01,100.015,2244
SGOV,2020-09-09,100.02,100.03,100.01,100.02,58575
SGOV,2020-09-10,100.02,100.02,100.01,100.015,1610
SGOV,2020-09-11,100.019,100.02,100.015,100.015,12484
SGOV,2020-09-14,100.011,100.02,100.01,100.015,4917
SGOV,2020-09-15,100.02,100.02,100.01,100.015,14773
SGOV,2020-09-16,100.015,100.02,100.015,100.015,2485
SGOV,2020-09-17,100.02,100.02,100.01,100.015,2986
SGOV,2020-09-18,100.03,100.03,100.01,100.015,761
SGOV,2020-09-21,100.02,100.02,100.015,100.015,58506
SGOV,2020-09-22,100.02,100.02,100.013,100.015,16417
SGOV,2020-09-23,100.02,100.02,100.015,100.015,11416
SGOV,2020-09-24,100.015,100.0199,100.01,100.015,11006
SGOV,2020-09-25,100.02,100.03,100.02,100.02,824
SGOV,2020-09-28,100.025,100.03,100.02,100.02,485225
SGOV,2020-09-29,100.03,100.03,100.02,100.02,3307
SGOV,2020-09-30,100.03,100.03,100.0101,100.02,922
SGOV,2020-10-01,100.02,100.02,100.013,100.015,31114
SGOV,2020-10-02,100.006,100.02,100.0,100.01,14992
SGOV,2020-10-05,100.02,100.02,100.019,100.019,40236
SGOV,2020-10-06,100.019,100.02,100.01,100.015,28073
SGOV,2020-10-07,100.01,100.03,100.01,100.015,59512
SGOV,2020-10-08,100.019,100.02,100.01,100.015,44308
SGOV,2020-10-09,100.0198,100.02,100.015,100.015,11133
SGOV,2020-10-12,100.019,100.02,100.01,100.015,23141
SGOV,2020-10-13,100.01,100.02,100.01,100.015,48377
SGOV,2020-10-14,100.015,100.02,100.015,100.015,17025
SGOV,2020-10-15,100.02,100.05,100.015,100.015,115644
SGOV,2020-10-16,100.01,100.02,100.01,100.015,8194
SGOV,2020-10-19,100.02,100.02,100.015,100.015,14641
SGOV,2020-10-20,100.01,100.02,100.01,100.015,11358
SGOV,2020-10-21,100.018,100.02,100.01,100.015,17063
SGOV,2020-10-22,100.019,100.02,100.0145,100.015,16092
SGOV,2020-10-23,100.0284,100.03,100.0198,100.02,15194
SGOV,2020-10-26,100.0191,100.03,100.0191,100.02,3447
SGOV,2020-10-27,100.015,100.03,100.01,100.02,7747
SGOV,2020-10-28,100.02,100.03,100.0171,100.02,6107
SGOV,2020-10-29,100.0156,100.03,100.012,100.02,2114
SGOV,2020-10-30,100.0219,100.03,100.01,100.02,4983
SGOV,2020-11-02,100.015,100.02,100.0139,100.0195,2120
SGOV,2020-11-03,100.02,100.02,100.015,100.015,4187
SGOV,2020-11-04,100.02,100.02,100.015,100.015,500
SGOV,2020-11-05,100.0136,100.02,100.0136,100.015,2272
SGOV,2020-11-06,100.019,100.02,100.015,100.015,2962
SGOV,2020-11-09,100.015,100.02,100.0101,100.0195,11195
SGOV,2020-11-10,100.015,100.02,100.015,100.015,1972
SGOV,2020-11-11,100.018,100.02,100.015,100.015,8740
SGOV,2020-11-12,100.015,100.02,100.015,100.015,3272
SGOV,2020-11-13,100.01,100.02,100.01,100.015,35524
SGOV,2020-11-16,100.019,100.02,100.01,100.015,5833
SGOV,2020-11-17,100.015,100.02,100.01,100.015,2074
SGOV,2020-11-18,100.016,100.0211,100.01,100.02,782660
SGOV,2020-11-19,100.01,100.03,100.01,100.015,190051
SGOV,2020-11-20,100.0173,100.03,100.01,100.015,7948
SGOV,2020-11-23,100.025,100.025,100.01,100.02,4289
SGOV,2020-11-24,100.029,100.03,100.01,100.02,11667
SGOV,2020-11-25,100.028,100.028,100.01,100.01,4599
SGOV,2020-11-27,100.03,100.03,100.02,100.02,7869
SGOV,2020-11-30,100.01,100.029,100.01,100.02,8586
SGOV,2020-12-01,100.0102,100.02,100.01,100.01,9851
SGOV,2020-12-02,100.01,100.02,100.01,100.01,9886
SGOV,2020-12-03,100.01,100.02,100.01,100.015,23137
SGOV,2020-12-04,100.01,100.02,100.01,100.015,15148
SGOV,2020-12-07,100.011,100.02,100.01,100.01,44526
SGOV,2020-12-08,100.02,100.02,100.01,100.01,65891
SGOV,2020-12-09,100.011,100.02,100.01,100.01,7912
SGOV,2020-12-10,100.02,100.03,100.01,100.015,35648
SGOV,2020-12-11,100.018,100.02,100.01,100.015,32609
SGOV,2020-12-14,100.02,100.03,100.01,100.015,46369
SGOV,2020-12-15,100.02,100.03,100.01,100.015,82626
SGOV,2020-12-16,100.02,100.03,100.02,100.025,6560
SGOV,2020-12-17,100.011,100.02,100.01,100.015,13079
SGOV,2020-12-18,100.02,100.02,100.01,100.015,73268
SGOV,2020-12-21,100.01,100.02,100.01,100.015,36189
SGOV,2020-12-22,100.01,100.02,100.01,100.015,80043
SGOV,2020-12-23,100.02,100.02,100.01,100.01,48164
SGOV,2020-12-24,100.015,100.02,100.01,100.01,22289
SGOV,2020-12-28,100.011,100.02,100.01,100.01,46428
SGOV,2020-12-29,100.0199,100.02,100.01,100.01,47333
SGOV,2020-12-30,100.0199,100.02,100.011,100.015,3730
SGOV,2020-12-31,100.01,100.0199,100.01,100.015,47174
SGOV,2021-01-04,100.02,100.02,100.01,100.015,74563
SGOV,2021-01-05,100.015,100.02,100.01,100.015,4443
SGOV,2021-01-06,100.02,100.02,100.01,100.01,15175
SGOV,2021-01-07,100.02,100.02,100.01,100.015,42159
SGOV,2021-01-08,100.011,100.019,100.01,100.015,38974
SGOV,2021-01-11,100.01,100.02,100.01,100.015,21868
SGOV,2021-01-12,100.0102,100.02,100.01,100.015,19018
SGOV,2021-01-13,100.02,100.02,100.01,100.01,9377
SGOV,2021-01-14,100.011,100.02,100.01,100.01,67385
SGOV,2021-01-15,100.015,100.02,100.01,100.015,19151
SGOV,2021-01-19,100.01,100.02,100.01,100.01,125013
SGOV,2021-01-20,100.015,100.02,100.01,100.015,154058
SGOV,2021-01-21,100.018,100.02,100.015,100.015,21647
SGOV,2021-01-22,100.02,100.02,100.01,100.015,63233
SGOV,2021-01-25,100.015,100.02,100.01,100.02,68025
SGOV,2021-01-26,100.015,100.02,100.01,100.02,62516
SGOV,2021-01-27,100.015,100.02,100.0105,100.02,101927
SGOV,2021-01-28,100.02,100.02,100.0107,100.02,21455
SGOV,2021-01-29,100.02,100.02,100.01,100.02,40386
SGOV,2021-02-01,100.012,100.02,100.01,100.015,68821
SGOV,2021-02-02,100.01,100.02,100.01,100.01,54191
SGOV,2021-02-03,100.02,100.02,100.01,100.01,56038
SGOV,2021-02-04,100.02,100.02,100.01,100.01,136884
SGOV,2021-02-05,100.02,100.02,100.01,100.015,71511
SGOV,2021-02-08,100.02,100.02,100.01,100.015,106676
SGOV,2021-02-09,100.02,100.02,100.01,100.01,34121
SGOV,2021-02-10,100.02,100.02,100.01,100.015,47559
SGOV,2021-02-11,100.015,100.02,100.01,100.015,76379
SGOV,2021-02-12,100.02,100.02,100.01,100.015,29717
SGOV,2021-02-16,100.01,100.02,100.01,100.015,28730
SGOV,2021-02-17,100.01,100.02,100.01,100.01,47910
SGOV,2021-02-18,100.02,100.02,100.01,100.015,65675
SGOV,2021-02-19,100.02,100.02,100.01,100.015,25326
SGOV,2021-02-22,100.015,100.02,100.01,100.015,28552
SGOV,2021-02-23,100.01,100.02,100.01,100.015,48183
SGOV,2021-02-24,100.01,100.02,100.01,100.02,67535
SGOV,2021-02-25,100.02,100.02,100.01,100.01,52144
SGOV,2021-02-26,100.015,100.02,100.01,100.015,33680
SGOV,2021-03-01,100.02,100.03,100.02,100.03,19891
SGOV,2021-03-02,100.015,100.03,100.01,100.03,199567
SGOV,2021-03-03,100.03,100.03,100.01,100.01,29518
SGOV,2021-03-04,100.02,100.03,100.01,100.02,16277
SGOV,2021-03-05,100.01,100.025,100.01,100.02,13434
SGOV,2021-03-08,100.01,100.02,100.01,100.02,30035
SGOV,2021-03-09,100.02,100.02,100.0109,100.015,24620
SGOV,2021-03-10,100.02,100.02,100.01,100.02,17773
SGOV,2021-03-11,100.02,100.0277,100.0113,100.015,14567
SGOV,2021-03-12,100.03,100.03,100.01,100.015,19786
SGOV,2021-03-15,100.0157,100.02,100.01,100.02,16829
SGOV,2021-03-16,100.02,100.03,100.02,100.025,12511
SGOV,2021-03-17,100.03,100.03,100.02,100.025,5663
SGOV,2021-03-18,100.03,100.03,100.02,100.02,15925
SGOV,2021-03-19,100.025,100.025,100.02,100.025,12716
SGOV,2021-03-22,100.025,100.03,100.02,100.021,26484
SGOV,2021-03-23,100.025,100.03,100.02,100.028,103173
SGOV,2021-03-24,100.03,100.03,100.02,100.025,41284
SGOV,2021-03-25,100.028,100.0298,100.02,100.02,14452
SGOV,2021-03-26,100.03,100.03,100.02,100.025,20460
SGOV,2021-03-29,100.02,100.03,100.015,100.015,109256
SGOV,2021-03-30,100.025,100.03,100.02,100.025,4316
SGOV,2021-03-31,100.01,100.03,100.01,100.015,67293
SGOV,2021-04-01,100.02,100.03,100.02,100.025,7923
SGOV,2021-04-05,100.02,100.02,100.01,100.02,110626
SGOV,2021-04-06,100.025,100.03,100.02,100.03,24794
SGOV,2021-04-07,100.03,100.03,100.02,100.02,58026
SGOV,2021-04-08,100.03,100.03,100.02,100.03,31434
SGOV,2021-04-09,100.03,100.03,100.02,100.02,13961
SGOV,2021-04-12,100.025,100.03,100.02,100.02,68185
SGOV,2021-04-13,100.03,100.03,100.02,100.025,21220
SGOV,2021-04-14,100.02,100.03,100.02,100.025,38403
SGOV,2021-04-15,100.025,100.03,100.02,100.025,52670
SGOV,2021-04-16,100.02,100.03,100.02,100.03,183391
SGOV,2021-04-19,100.02,100.03,100.02,100.03,199861
SGOV,2021-04-20,100.03,100.03,100.02,100.025,83031
SGOV,2021-04-21,100.03,100.03,100.02,100.02,19720
SGOV,2021-04-22,100.025,100.03,100.02,100.03,31257
SGOV,2021-04-23,100.02,100.03,100.02,100.03,29994
SGOV,2021-04-26,100.03,100.03,100.02,100.02,98107
SGOV,2021-04-27,100.03,100.03,100.02,100.02,47161
SGOV,2021-04-28,100.03,100.03,100.02,100.025,21125
SGOV,2021-04-29,100.02,100.03,100.02,100.03,27758
