symbol,date,open,high,low,close,volume
SHY,2006-07-31,79.96,79.98,79.92,79.94,401900
SHY,2006-08-01,79.69,79.72,79.65,79.7,202700
SHY,2006-08-02,79.7,79.75,79.67,79.7,302400
SHY,2006-08-03,79.72,79.73,79.65,79.69,249400
SHY,2006-08-04,79.75,79.84,79.74,79.76,681400
SHY,2006-08-07,79.77,79.8,79.75,79.79,342700
SHY,2006-08-08,79.78,79.85,79.72,79.83,464800
SHY,2006-08-09,79.84,79.87,79.8,79.86,499900
SHY,2006-08-10,79.87,79.88,79.8,79.84,238600
SHY,2006-08-11,79.81,79.82,79.74,79.77,224100
SHY,2006-08-14,79.78,79.79,79.71,79.73,351600
SHY,2006-08-15,79.84,79.85,79.8,79.84,356800
SHY,2006-08-16,79.94,79.98,79.91,79.97,654800
SHY,2006-08-17,79.96,79.98,79.92,79.96,262500
SHY,2006-08-18,79.98,80.0,79.95,79.99,252900
SHY,2006-08-21,80.03,80.04,79.98,80.04,294200
SHY,2006-08-22,80.04,80.06,80.0,80.03,276500
SHY,2006-08-23,80.02,80.04,79.99,80.03,389100
SHY,2006-08-24,80.03,80.06,80.02,80.06,315800
SHY,2006-08-25,80.07,80.1,80.03,80.08,287700
SHY,2006-08-28,80.09,80.1,80.05,80.1,210100
SHY,2006-08-29,80.08,80.13,80.01,80.13,419000
SHY,2006-08-30,80.13,80.18,80.13,80.18,153400
SHY,2006-08-31,80.22,80.26,80.17,80.25,290200
SHY,2006-09-01,79.96,80.1,79.94,80.05,312800
SHY,2006-09-05,80.0,80.0,79.92,79.97,369900
SHY,2006-09-06,79.95,79.96,79.89,79.96,398200
SHY,2006-09-07,79.98,79.98,79.92,79.96,556300
SHY,2006-09-08,80.0,80.04,79.98,80.01,491500
SHY,2006-09-11,80.03,80.03,79.95,80.0,371900
SHY,2006-09-12,79.97,80.04,79.95,80.04,262500
SHY,2006-09-13,80.04,80.09,80.01,80.05,266300
SHY,2006-09-14,80.06,80.08,79.98,79.98,560200
SHY,2006-09-15,80.08,80.08,79.95,80.02,682900
SHY,2006-09-18,79.97,80.0,79.9,80.0,177000
SHY,2006-09-19,80.1,80.12,80.03,80.11,729500
SHY,2006-09-20,80.16,80.2,80.08,80.14,645500
SHY,2006-09-21,80.16,80.3,80.1,80.28,574400
SHY,2006-09-22,80.33,80.33,80.28,80.3,841000
SHY,2006-09-25,80.39,80.41,80.33,80.39,382000
SHY,2006-09-26,80.4,80.4,80.29,80.35,497800
SHY,2006-09-27,80.41,80.43,80.31,80.36,828800
SHY,2006-09-28,80.39,80.39,80.29,80.39,766900
SHY,2006-09-29,80.4,80.41,80.29,80.31,289900
SHY,2006-10-02,80.1,80.13,80.01,80.11,486500
SHY,2006-10-03,80.14,80.16,80.0803,80.12,384800
SHY,2006-10-04,80.19,80.28,80.16,80.26,438300
SHY,2006-10-05,80.27,80.27,80.13,80.18,409000
SHY,2006-10-06,80.15,80.15,80.0,80.08,1015600
SHY,2006-10-09,80.13,80.15,80.03,80.09,202800
SHY,2006-10-10,80.05,80.06,79.95,79.98,296500
SHY,2006-10-11,80.02,80.06,79.9,79.99,327300
SHY,2006-10-12,79.95,80.03,79.95,80.01,1874600
SHY,2006-10-13,79.94,79.99,79.94,79.98,532800
SHY,2006-10-16,79.93,80.02,79.93,80.02,524200
SHY,2006-10-17,80.07,80.08,79.99,80.03,391900
SHY,2006-10-18,80.04,80.06,79.99,80.04,309300
SHY,2006-10-19,80.05,80.06,79.99,80.03,817100
SHY,2006-10-20,80.06,80.06,80.01,80.06,542100
SHY,2006-10-23,80.02,80.02,79.97,80.02,219900
