symbol,date,open,high,low,close,volume
TLT,2019-08-07,142.4,143.06,139.78,140.03,32582045
TLT,2019-08-08,139.14,140.43,137.98,140.33,14745985
TLT,2019-08-09,140.67,141.55,139.87,140.05,10625972
TLT,2019-08-12,141.72,143.43,141.51,142.97,14094307
TLT,2019-08-13,143.81,143.91,141.95,142.48,16099485
TLT,2019-08-14,145.16,145.73,144.71,145.69,15068949
TLT,2019-08-15,145.95,148.6,145.58,147.31,23732522
TLT,2019-08-16,146.06,146.51,144.84,146.13,17649776
TLT,2019-08-19,143.57,144.66,143.51,144.04,13615286
TLT,2019-08-20,145.28,145.62,144.84,145.53,7451608
TLT,2019-08-21,144.72,145.79,144.29,144.56,9372115
TLT,2019-08-22,144.0,144.7,143.48,143.6,13880305
TLT,2019-08-23,143.52,146.27,143.43,145.96,16194116
TLT,2019-08-26,145.87,146.29,145.29,145.37,12174799
TLT,2019-08-27,146.63,147.72,146.48,147.61,11332754
TLT,2019-08-28,148.78,148.9,147.66,147.8,10088733
TLT,2019-08-29,147.25,147.34,146.13,147.24,8884955
TLT,2019-08-30,146.61,147.48,146.36,147.28,13550909
TLT,2019-09-03,147.09,148.67,146.57,147.21,15662954
TLT,2019-09-04,146.53,147.62,146.48,147.43,7962232
TLT,2019-09-05,145.66,145.8,143.89,144.76,19386357
TLT,2019-09-06,145.26,146.03,145.08,145.79,9466371
TLT,2019-09-09,143.83,144.0,143.19,143.2,15862660
TLT,2019-09-10,142.84,143.29,140.66,140.69,13851422
TLT,2019-09-11,140.4,141.15,140.39,140.44,10941748
TLT,2019-09-12,141.5,141.8,139.06,139.52,19163308
TLT,2019-09-13,138.28,138.71,136.54,136.54,18922161
TLT,2019-09-16,137.88,138.57,137.25,138.28,10971572
TLT,2019-09-17,138.36,139.6,138.02,139.03,9287893
TLT,2019-09-18,139.93,140.66,139.53,139.62,11106841
TLT,2019-09-19,140.76,140.99,139.97,140.04,13434396
TLT,2019-09-20,140.77,141.98,140.44,141.89,13377236
TLT,2019-09-23,142.24,143.16,141.7,141.86,15402596
TLT,2019-09-24,142.42,143.85,142.41,143.57,12947855
TLT,2019-09-25,143.26,143.55,141.14,141.47,14520656
TLT,2019-09-26,142.27,142.99,141.9,142.38,10775214
TLT,2019-09-27,142.32,142.98,142.14,142.73,10387398
TLT,2019-09-30,141.88,143.09,141.84,143.08,8410379
TLT,2019-10-01,141.26,143.91,141.14,143.26,16869140
TLT,2019-10-02,143.46,144.27,143.24,143.61,12896884
TLT,2019-10-03,143.98,145.67,143.92,144.92,13526957
TLT,2019-10-04,145.35,146.03,145.2,145.99,11936986
TLT,2019-10-07,145.16,145.53,144.71,144.78,11751551
TLT,2019-10-08,145.82,145.93,144.62,145.17,14540249
TLT,2019-10-09,144.6,144.61,143.8,144.35,8933140
TLT,2019-10-10,143.12,143.18,141.73,142.2,15057081
TLT,2019-10-11,140.98,141.1,139.71,140.44,28513340
TLT,2019-10-14,141.48,141.51,141.08,141.46,5937726
TLT,2019-10-15,140.67,140.95,139.55,139.75,12663622
TLT,2019-10-16,139.64,140.06,139.35,139.92,8645282
TLT,2019-10-17,139.52,140.38,139.3,139.58,6558397
TLT,2019-10-18,139.81,140.23,139.45,139.58,6456407
