symbol,date,open,high,low,close,volume
USDCHF,2019-08-07,0.97638,0.97973,0.96922,0.97535,369282
USDCHF,2019-08-08,0.97535,0.9787,0.97375,0.97469,228437
USDCHF,2019-08-09,0.97469,0.97541,0.97092,0.97232,172329
USDCHF,2019-08-12,0.97325,0.97538,0.9682,0.9692,210288
USDCHF,2019-08-13,0.9692,0.97682,0.96598,0.97658,308745
USDCHF,2019-08-14,0.97658,0.97705,0.97054,0.97313,324842
USDCHF,2019-08-15,0.97313,0.97766,0.97218,0.9764,408287
USDCHF,2019-08-16,0.9764,0.98092,0.97574,0.9779,285382
USDCHF,2019-08-19,0.97996,0.98212,0.97707,0.98161,161584
USDCHF,2019-08-20,0.98161,0.98167,0.97751,0.97783,167978
USDCHF,2019-08-21,0.97783,0.98311,0.97719,0.98252,163669
USDCHF,2019-08-22,0.98252,0.98448,0.98137,0.98366,174987
USDCHF,2019-08-23,0.98366,0.98772,0.97355,0.97445,231689
USDCHF,2019-08-26,0.97226,0.98164,0.97134,0.97867,322292
USDCHF,2019-08-27,0.97867,0.98373,0.97754,0.9812,208798
USDCHF,2019-08-28,0.9812,0.98285,0.98013,0.98139,218868
USDCHF,2019-08-29,0.98139,0.98752,0.98003,0.98658,201166
USDCHF,2019-08-30,0.98658,0.99178,0.98591,0.98936,205061
USDCHF,2019-09-02,0.98965,0.99195,0.98885,0.99018,104343
USDCHF,2019-09-03,0.99018,0.9929,0.98633,0.98651,199240
USDCHF,2019-09-04,0.98651,0.98843,0.97982,0.98061,175581
USDCHF,2019-09-05,0.98061,0.98733,0.97992,0.98594,201400
USDCHF,2019-09-06,0.98594,0.99175,0.98529,0.98719,189862
USDCHF,2019-09-09,0.98748,0.99231,0.98709,0.99197,145026
USDCHF,2019-09-10,0.99197,0.99317,0.9889,0.99177,154275
USDCHF,2019-09-11,0.99177,0.99435,0.99117,0.99283,156517
USDCHF,2019-09-12,0.99283,0.99467,0.98804,0.99022,287106
USDCHF,2019-09-13,0.99022,0.99109,0.98543,0.9899,164553
USDCHF,2019-09-16,0.9873,0.99402,0.9865,0.99278,157613
USDCHF,2019-09-17,0.99278,0.99687,0.99132,0.99308,169574
USDCHF,2019-09-18,0.99308,0.99837,0.99258,0.99728,177044
