symbol,date,open,high,low,close,volume
VGK,2006-07-31,60.45,60.47,60.25,60.45,42600
VGK,2006-08-01,60.32,60.32,59.57,60.13,113400
VGK,2006-08-02,60.65,60.86,60.45,60.73,129500
VGK,2006-08-03,60.25,60.8,60.05,60.65,323900
VGK,2006-08-04,61.42,61.46,60.77,60.89,103300
VGK,2006-08-07,60.72,60.85,60.53,60.66,43200
VGK,2006-08-08,60.65,61.01,60.2,60.27,75100
VGK,2006-08-09,61.15,61.4,60.63,60.72,75700
VGK,2006-08-10,60.39,60.56,60.0,60.5,65400
VGK,2006-08-11,60.03,60.29,59.9,60.19,80600
VGK,2006-08-14,60.5,60.7699,60.16,60.27,85500
VGK,2006-08-15,61.33,61.61,61.23,61.6,107200
VGK,2006-08-16,61.99,62.15,61.85,62.14,335900
VGK,2006-08-17,62.2,62.2,61.8,61.92,153100
VGK,2006-08-18,62.05,62.1,61.62,62.1,104100
VGK,2006-08-21,62.07,62.35,61.96,62.04,214000
VGK,2006-08-22,61.7,61.85,61.41,61.69,126700
VGK,2006-08-23,61.93,61.97,61.34,61.55,107300
VGK,2006-08-24,61.73,61.88,61.32,61.52,161100
VGK,2006-08-25,61.55,61.59,61.364,61.51,51300
VGK,2006-08-28,61.8,62.06,61.65,62.0,59600
VGK,2006-08-29,62.13,62.37,61.8078,62.37,95600
VGK,2006-08-30,62.83,62.83,62.4701,62.55,101400
VGK,2006-08-31,62.76,62.76,62.25,62.41,66100
VGK,2006-09-01,62.63,62.81,62.4156,62.71,83500
VGK,2006-09-05,62.8,62.8,62.4301,62.72,128700
VGK,2006-09-06,62.2,62.2,61.75,61.84,140000
VGK,2006-09-07,61.61,61.61,60.88,61.15,122800
VGK,2006-09-08,61.1,61.19,60.79,61.15,83800
VGK,2006-09-11,61.05,61.13,60.6,60.96,61300
VGK,2006-09-12,61.45,61.97,61.16,61.86,334700
VGK,2006-09-13,61.8,61.98,61.51,61.93,161800
VGK,2006-09-14,62.05,62.05,61.81,62.03,294100
VGK,2006-09-15,62.1,62.1,61.54,61.7,121200
VGK,2006-09-18,61.66,62.09,61.66,62.02,124500
VGK,2006-09-19,62.0,62.0,61.13,61.43,127200
VGK,2006-09-20,61.9,62.38,61.89,62.3,72400
VGK,2006-09-21,62.8,62.8,62.32,62.57,65500
VGK,2006-09-22,62.8,62.8,62.21,62.34,75800
VGK,2006-09-25,62.45,62.63,61.7298,62.52,47600
VGK,2006-09-26,62.5,62.85,62.32,62.85,203200
VGK,2006-09-27,62.95,63.0,62.76,63.0,103400
VGK,2006-09-28,63.25,63.25,62.8701,63.2,75700
VGK,2006-09-29,62.97,64.0,62.84,63.11,234500
VGK,2006-10-02,63.11,63.35,62.91,63.08,160600
VGK,2006-10-03,62.73,63.23,62.71,62.97,334200
VGK,2006-10-04,63.1,63.68,63.03,63.65,107600
VGK,2006-10-05,63.75,63.75,63.41,63.65,135300
VGK,2006-10-06,63.35,63.35,62.89,63.18,510800
VGK,2006-10-09,63.25,63.36,63.05,63.3,88600
VGK,2006-10-10,63.3,63.33,63.0,63.33,68600
VGK,2006-10-11,63.21,63.6,63.04,63.42,163000
VGK,2006-10-12,63.79,64.11,63.65,64.11,117100
VGK,2006-10-13,64.02,64.15,63.83,64.1,89800
VGK,2006-10-16,64.18,64.39,64.05,64.26,353900
VGK,2006-10-17,64.09,64.09,63.56,63.88,401200
VGK,2006-10-18,64.14,64.3,63.79,63.95,146700
VGK,2006-10-19,64.43,64.68,64.25,64.49,135600
VGK,2006-10-20,64.78,64.89,64.49,64.89,145100
VGK,2006-10-23,64.35,64.85,64.15,64.85,260200
VGK,2006-10-24,64.6,64.82,64.5,64.74,86800
VGK,2006-10-25,64.99,65.35,64.95,65.29,93700
VGK,2006-10-26,65.75,65.81,65.31,65.77,182600
VGK,2006-10-27,65.71,65.71,65.28,65.36,140200
VGK,2006-10-30,65.25,65.4,65.0,65.22,85600
VGK,2006-10-31,65.35,65.58,65.17,65.44,182600
VGK,2006-11-01,66.01,66.08,65.22,65.33,154400
VGK,2006-11-02,65.35,65.89,65.22,65.56,329500
VGK,2006-11-03,65.44,65.62,65.2628,65.4,249300
VGK,2006-11-06,65.96,66.37,65.4,66.28,198200
VGK,2006-11-07,66.83,66.99,66.55,66.57,153400
VGK,2006-11-08,66.5,66.94,66.3432,66.85,115300
VGK,2006-11-09,66.72,66.88,66.53,66.53,263100
VGK,2006-11-10,67.0,67.09,66.79,67.09,179000
VGK,2006-11-13,66.85,66.86,66.64,66.78,184600
VGK,2006-11-14,67.1,67.13,66.39,67.06,138000
VGK,2006-11-15,66.82,67.23,66.7,67.11,705100
VGK,2006-11-16,67.3,67.3,67.0,67.02,166800
VGK,2006-11-17,66.5,66.93,66.3403,66.93,121300
VGK,2006-11-20,66.83,66.99,66.65,66.85,74100
VGK,2006-11-21,67.2,67.32,67.01,67.29,166900
VGK,2006-11-22,67.76,67.78,67.44,67.66,121000
VGK,2006-11-24,67.43,67.76,67.37,67.61,79300
VGK,2006-11-27,67.56,67.56,66.6105,66.69,158300
VGK,2006-11-28,66.77,67.14,66.65,67.14,163000
VGK,2006-11-29,67.7,67.8,67.34,67.66,112100
VGK,2006-11-30,68.05,68.06,67.685,67.9,91900
VGK,2006-12-01,68.14,68.14,67.35,67.66,146200
VGK,2006-12-04,67.7,68.17,67.63,68.17,173300
VGK,2006-12-05,68.4,68.69,68.2,68.69,271600
VGK,2006-12-06,68.34,68.48,68.11,68.24,144600
VGK,2006-12-07,68.98,68.9999,68.6,68.69,372700
VGK,2006-12-08,68.8,68.99,68.46,68.52,127800
VGK,2006-12-11,68.68,69.04,68.585,68.99,169900
VGK,2006-12-12,69.12,69.27,68.8588,69.15,676300
VGK,2006-12-13,69.5,69.61,69.25,69.53,259400
VGK,2006-12-14,69.65,69.9,69.46,69.9,244400
VGK,2006-12-15,70.0,70.03,69.2915,69.39,308400
VGK,2006-12-18,69.82,69.82,69.26,69.5,165600
VGK,2006-12-19,69.47,69.92,69.33,69.88,156100
VGK,2006-12-20,70.07,70.11,69.487,69.51,504100
VGK,2006-12-21,69.6,69.65,69.24,69.36,257000
VGK,2006-12-22,67.88,68.88,67.09,67.38,186100
VGK,2006-12-26,67.39,67.57,67.3,67.4088,136200
VGK,2006-12-27,68.05,68.21,67.8,68.1,96200
VGK,2006-12-28,68.5,68.5,68.02,68.4,303400
VGK,2006-12-29,68.15,68.3499,68.07,68.16,277700
VGK,2007-01-03,69.1,69.28,68.3701,68.5,635400
VGK,2007-01-04,68.3,68.39,68.076,68.37,295800
VGK,2007-01-05,67.85,67.85,67.14,67.5,247600
VGK,2007-01-08,67.5,67.5,67.05,67.27,361800
VGK,2007-01-09,67.55,67.6,66.78,67.02,624300
VGK,2007-01-10,66.78,66.8,66.4245,66.66,199500
VGK,2007-01-11,66.98,67.72,66.81,67.65,223500
VGK,2007-01-12,67.74,68.1,67.67,68.05,227700
VGK,2007-01-16,68.41,68.41,67.85,68.24,327900
VGK,2007-01-17,67.9,68.2499,67.7304,67.95,158000
VGK,2007-01-18,68.5,68.5,67.8,67.87,162500
VGK,2007-01-19,68.1,68.7,68.05,68.61,1318600
VGK,2007-01-22,68.81,69.05,68.1101,68.27,290300
VGK,2007-01-23,68.52,68.96,68.39,68.7,565800
VGK,2007-01-24,69.05,69.24,68.82,69.24,297300
VGK,2007-01-25,69.15,69.2,68.11,68.15,309300
VGK,2007-01-26,68.4,68.4,67.77,68.25,201200
VGK,2007-01-29,68.28,68.54,68.06,68.37,173100
VGK,2007-01-30,68.7,68.84,68.5072,68.82,114700
VGK,2007-01-31,68.45,69.23,68.26,69.23,186700
VGK,2007-02-01,69.6,69.71,69.34,69.68,193100
VGK,2007-02-02,69.61,69.63,69.3782,69.57,150800
VGK,2007-02-05,69.35,69.47,69.15,69.35,198100
VGK,2007-02-06,69.88,69.97,69.54,69.97,306200
VGK,2007-02-07,70.2,70.39,69.94,70.19,185000
VGK,2007-02-08,69.8,70.0,69.5,70.0,195500
VGK,2007-02-09,69.9,69.95,69.31,69.62,308800
VGK,2007-02-12,69.55,69.55,69.15,69.21,173200
VGK,2007-02-13,69.44,69.97,69.44,69.89,231700
VGK,2007-02-14,70.18,70.97,70.18,70.88,154300
VGK,2007-02-15,71.0,71.0,70.65,70.91,121900
VGK,2007-02-16,70.7,70.84,70.5,70.84,125000
VGK,2007-02-20,70.78,71.03,70.4899,70.91,293100
VGK,2007-02-21,70.38,70.47,70.14,70.46,108500
VGK,2007-02-22,70.65,70.74,70.49,70.65,189000
VGK,2007-02-23,70.88,71.03,70.6744,71.03,91600
VGK,2007-02-26,71.39,71.39,70.89,71.1,198600
VGK,2007-02-27,69.6,69.8,67.01,67.63,855300
VGK,2007-02-28,68.44,68.77,67.95,68.37,524100
VGK,2007-03-01,67.05,67.7,66.65,67.44,419200
VGK,2007-03-02,67.1,67.35,66.59,66.75,228200
VGK,2007-03-05,65.63,66.25,65.3,65.6,441800
VGK,2007-03-06,66.4,67.42,66.4,67.39,218300
VGK,2007-03-07,67.3,67.8,67.17,67.65,134900
VGK,2007-03-08,67.97,68.29,67.83,67.9901,187100
VGK,2007-03-09,68.18,68.3745,68.0,68.31,156700
VGK,2007-03-12,68.18,68.651,68.03,68.57,56700
VGK,2007-03-13,68.09,68.29,66.81,66.87,242300
VGK,2007-03-14,66.44,67.12,65.71,67.12,445100
VGK,2007-03-15,66.92,67.4525,66.79,67.39,178900
VGK,2007-03-16,67.7,68.05,67.4798,67.62,128200
VGK,2007-03-19,68.34,68.7,68.14,68.47,58500
VGK,2007-03-20,68.52,69.2525,68.5,69.2499,204200
VGK,2007-03-21,69.75,71.22,69.46,71.02,234200
VGK,2007-03-22,70.85,70.94,70.4255,70.59,158200
VGK,2007-03-23,70.97,70.99,70.77,70.91,263400
VGK,2007-03-26,70.99,71.08,70.25,71.08,141900
VGK,2007-03-27,70.51,70.73,70.33,70.68,96500
VGK,2007-03-28,70.11,70.39,69.94,69.94,139300
VGK,2007-03-29,70.69,70.84,70.4,70.79,95400
VGK,2007-03-30,70.73,71.12,70.67,70.92,222000
VGK,2007-04-02,71.34,71.62,70.95,71.62,272500
VGK,2007-04-03,71.69,72.12,71.61,72.01,115200
VGK,2007-04-04,71.98,72.2246,71.79,72.08,256900
VGK,2007-04-05,72.45,72.81,72.3101,72.81,296600
VGK,2007-04-09,72.73,72.8099,72.34,72.43,324900
VGK,2007-04-10,72.89,73.16,72.71,73.1,106200
VGK,2007-04-11,73.35,73.35,72.46,72.75,663200
VGK,2007-04-12,72.66,73.4,72.41,73.4,140600
VGK,2007-04-13,73.73,73.83,73.37,73.81,172800
VGK,2007-04-16,74.52,74.8,74.4,74.62,151900
VGK,2007-04-17,74.8,74.87,74.46,74.64,379600
VGK,2007-04-18,74.45,74.89,74.25,74.6,265100
VGK,2007-04-19,73.98,74.63,73.77,74.44,550900
VGK,2007-04-20,75.32,75.42,75.036,75.4,342300
VGK,2007-04-23,74.94,75.16,74.77,74.82,309500
VGK,2007-04-24,74.7699,74.92,74.5,74.91,159100
VGK,2007-04-25,75.4599,75.67,75.2,75.62,236500
VGK,2007-04-26,75.35,75.452,74.95,75.19,136900
VGK,2007-04-27,74.98,75.38,74.891,75.29,120500
VGK,2007-04-30,75.32,75.58,75.0,75.0,109200
VGK,2007-05-01,75.29,75.31,74.57,74.99,205900
VGK,2007-05-02,75.05,75.53,74.94,75.48,157100
VGK,2007-05-03,75.45,75.51,75.081,75.4,154800
VGK,2007-05-04,76.16,76.4,76.07,76.4,324900
VGK,2007-05-07,76.4,76.5,76.3,76.44,222800
VGK,2007-05-08,75.52,75.64,75.02,75.64,154100
VGK,2007-05-09,75.47,75.8,75.25,75.8,154400
VGK,2007-05-10,75.15,75.3599,73.88,74.0,478300
VGK,2007-05-11,74.8,75.67,74.62,75.67,215600
VGK,2007-05-14,75.51,75.56,74.95,75.22,443200
VGK,2007-05-15,75.28,76.12,75.25,75.4,251800
VGK,2007-05-16,75.84,75.91,75.2,75.64,186300
VGK,2007-05-17,75.45,75.62,75.16,75.51,225400
VGK,2007-05-18,75.98,76.46,75.86,76.45,226700
VGK,2007-05-21,76.21,76.33,75.82,75.86,278800
VGK,2007-05-22,76.08,76.19,75.8,75.88,157200
VGK,2007-05-23,76.67,76.83,76.2808,76.29,255500
VGK,2007-05-24,76.36,76.45,75.38,75.53,118000
VGK,2007-05-25,75.8,76.13,75.78,76.03,120700
VGK,2007-05-29,76.5,76.5,75.81,75.99,208700
VGK,2007-05-30,75.33,76.35,75.2632,76.35,203700
VGK,2007-05-31,76.5822,76.79,76.4,76.6,179000
VGK,2007-06-01,76.87,77.24,76.87,77.02,448300
VGK,2007-06-04,77.22,77.51,77.2,77.51,201200
VGK,2007-06-05,77.29,77.3,76.45,76.76,212700
VGK,2007-06-06,76.41,76.41,75.409,75.6,339200
VGK,2007-06-07,74.94,75.33,73.67,73.8,345600
VGK,2007-06-08,73.95,74.94,73.84,74.81,119100
VGK,2007-06-11,74.41,75.22,74.36,74.94,197800
VGK,2007-06-12,74.39,74.73,73.65,73.66,143500
VGK,2007-06-13,74.07,74.85,74.07,74.84,199900
VGK,2007-06-14,74.86,75.54,74.82,75.42,200600
VGK,2007-06-15,76.6,76.89,76.471,76.6,205000
VGK,2007-06-18,77.05,77.06,76.61,76.67,151100
VGK,2007-06-19,76.77,77.0,76.5,77.0,194700
VGK,2007-06-20,77.33,77.33,75.9301,76.26,137600
VGK,2007-06-21,75.99,76.71,75.62,76.4299,130800
VGK,2007-06-22,76.0801,76.27,75.26,75.42,326200
VGK,2007-06-25,75.5,76.3,75.27,75.37,139600
VGK,2007-06-26,75.85,75.9399,75.14,75.14,326300
VGK,2007-06-27,74.8,75.7,74.77,75.6,170100
VGK,2007-06-28,75.82,76.37,75.82,75.82,187600
VGK,2007-06-29,76.38,76.67,75.78,76.33,185600
VGK,2007-07-02,76.79,77.34,76.78,77.2,180600
VGK,2007-07-03,77.5,77.79,77.5,77.75,225600
VGK,2007-07-05,77.82,77.94,77.12,77.52,128200
VGK,2007-07-06,77.7,78.15,77.51,78.01,125900
VGK,2007-07-09,78.43,78.5,78.18,78.35,140400
VGK,2007-07-10,77.95,78.09,77.01,77.15,177900
VGK,2007-07-11,77.78,78.2,77.5528,78.2,123000
VGK,2007-07-12,78.537,79.62,78.48,79.51,136100
VGK,2007-07-13,79.49,79.53,79.18,79.32,113700
VGK,2007-07-16,79.26,79.52,78.85,78.85,153600
VGK,2007-07-17,79.1,79.29,78.84,78.9,221000
VGK,2007-07-18,78.69,78.9,77.9271,78.5,149700
VGK,2007-07-19,79.25,79.32,78.61,78.61,196100
VGK,2007-07-20,78.82,78.87,77.58,77.96,138700
VGK,2007-07-23,78.59,78.781,78.25,78.27,139100
VGK,2007-07-24,78.0,78.0,76.52,76.72,224100
VGK,2007-07-25,78.61,78.61,75.9,76.59,149600
VGK,2007-07-26,75.08,75.26,73.03,74.19,485800
VGK,2007-07-27,73.85,74.059,72.65,72.65,294400
VGK,2007-07-30,74.14,74.29,73.26,73.7,384700
VGK,2007-07-31,74.96,75.2646,74.05,74.16,198600
VGK,2007-08-01,74.2,75.27,73.26,74.71,285900
VGK,2007-08-02,74.5,74.79,74.076,74.75,247200
VGK,2007-08-03,74.0,74.47,73.317,73.36,200800
VGK,2007-08-06,73.87,74.47,73.26,74.36,163300
VGK,2007-08-07,73.75,75.08,73.41,74.64,149600
VGK,2007-08-08,75.21,76.1899,75.21,76.12,252700
VGK,2007-08-09,72.9,74.4,72.9,73.21,398800
VGK,2007-08-10,71.8,72.67,71.44,72.351,329500
VGK,2007-08-13,73.17,73.17,72.3,72.43,141200
VGK,2007-08-14,72.82,72.92,71.3,71.4399,744900
VGK,2007-08-15,70.25,71.41,69.7,69.7,392100
VGK,2007-08-16,68.68,69.44,67.26,69.13,659900
VGK,2007-08-17,70.59,71.28,69.68,70.62,243100
VGK,2007-08-20,71.34,71.65,70.11,70.45,321300
VGK,2007-08-21,70.31,70.96,70.29,70.3,248800
VGK,2007-08-22,71.91,72.34,71.5299,72.2999,444600
VGK,2007-08-23,72.865,73.0,71.88,72.18,212200
VGK,2007-08-24,72.71,73.86,72.67,73.73,186600
VGK,2007-08-27,73.61,73.62,73.15,73.29,127500
VGK,2007-08-28,72.37,72.77,71.07,71.29,128000
VGK,2007-08-29,72.16,73.3329,71.9544,73.32,121900
VGK,2007-08-30,72.1888,73.47,72.16,72.86,76800
VGK,2007-08-31,74.41,74.63,73.76,74.36,186100
VGK,2007-09-04,73.8,75.1295,73.37,74.87,185900
VGK,2007-09-05,74.12,74.2,73.54,73.86,100000
VGK,2007-09-06,73.91,74.44,73.45,74.23,433000
VGK,2007-09-07,73.84,73.84,72.72,73.13,148300
VGK,2007-09-10,73.3,73.404,72.226,72.55,102000
VGK,2007-09-11,73.54,74.3,73.48,74.3,108000
VGK,2007-09-12,73.94,74.5,73.7001,74.16,111700
VGK,2007-09-13,74.7408,75.08,74.65,74.74,114300
VGK,2007-09-14,73.54,74.35,73.54,74.12,152500
VGK,2007-09-17,73.37,73.51,72.59,73.12,174000
VGK,2007-09-18,73.88,75.9,73.5465,75.71,183800
VGK,2007-09-19,76.48,76.75,75.9601,76.148,465900
VGK,2007-09-20,76.37,76.76,76.21,76.44,99600
VGK,2007-09-21,76.92,77.2,76.8,77.0,170400
VGK,2007-09-24,77.06,77.17,76.58,76.92,187700
VGK,2007-09-25,75.97,77.0,75.93,77.0,160600
