symbol,date,open,high,low,close,volume
VNQ,2006-07-28,68.25,69.14,68.25,69.11,36900
VNQ,2006-07-31,69.02,69.07,68.42,68.88,50400
VNQ,2006-08-01,68.61,68.67,67.81,68.52,869700
VNQ,2006-08-02,68.54,68.66,68.28,68.39,62800
VNQ,2006-08-03,68.17,69.06,68.17,69.04,36700
VNQ,2006-08-04,69.58,70.17,69.58,70.13,22600
VNQ,2006-08-07,70.17,70.17,69.28,69.44,32500
VNQ,2006-08-08,69.49,69.49,68.26,68.41,60900
VNQ,2006-08-09,68.85,68.85,67.99,67.99,52100
VNQ,2006-08-10,68.1,68.27,67.34,68.042,91500
VNQ,2006-08-11,68.1,68.15,67.35,67.62,38000
VNQ,2006-08-14,68.06,68.84,67.91,68.27,47700
VNQ,2006-08-15,68.87,69.16,68.85,69.05,52200
VNQ,2006-08-16,69.28,69.28,69.09,69.18,43000
VNQ,2006-08-17,69.19,69.39,68.95,69.08,67700
VNQ,2006-08-18,69.38,69.43,68.977,69.39,22700
VNQ,2006-08-21,69.34,69.83,69.24,69.787,49700
VNQ,2006-08-22,69.85,70.33,69.55,70.28,49300
VNQ,2006-08-23,70.52,70.52,69.54,69.74,48400
VNQ,2006-08-24,69.79,70.09,69.6801,70.01,22000
VNQ,2006-08-25,70.08,70.2,69.84,69.96,45400
VNQ,2006-08-28,70.1,70.79,69.93,70.79,39000
VNQ,2006-08-29,70.87,70.87,70.29,70.8,40200
VNQ,2006-08-30,70.9,71.33,70.75,71.22,65800
VNQ,2006-08-31,71.55,71.64,69.32,71.28,128600
VNQ,2006-09-01,71.59,71.59,70.87,70.87,31200
VNQ,2006-09-05,71.14,71.59,70.9,71.59,62900
VNQ,2006-09-06,71.5,71.52,71.16,71.16,39700
VNQ,2006-09-07,71.3,71.3,70.59,70.67,70000
VNQ,2006-09-08,70.68,71.42,70.26,71.34,46200
VNQ,2006-09-11,71.03,71.64,70.79,71.57,40200
VNQ,2006-09-12,71.83,72.52,71.45,72.49,59900
VNQ,2006-09-13,72.65,73.09,72.33,72.9,50100
VNQ,2006-09-14,72.7,72.7,72.19,72.51,78900
VNQ,2006-09-15,72.58,73.18,72.58,73.09,75500
VNQ,2006-09-18,73.05,73.05,72.46,72.57,56500
VNQ,2006-09-19,72.5,73.14,72.5,73.11,34900
VNQ,2006-09-20,73.4,73.59,72.75,72.95,86800
VNQ,2006-09-21,72.85,73.068,71.83,72.14,114700
VNQ,2006-09-22,72.1,72.56,71.65,71.65,93200
VNQ,2006-09-25,71.95,71.97,71.2201,71.76,225200
VNQ,2006-09-26,71.8,71.82,71.44,71.59,45900
VNQ,2006-09-27,71.59,72.31,71.3707,72.22,44300
VNQ,2006-09-28,72.45,72.45,71.75,72.07,75600
VNQ,2006-09-29,72.2,72.38,71.89,71.89,58200
VNQ,2006-10-02,72.13,72.43,71.3,71.86,60700
VNQ,2006-10-03,71.7,72.8195,71.7,72.56,74800
VNQ,2006-10-04,72.65,73.43,72.65,73.4,54500
VNQ,2006-10-05,73.48,74.02,73.48,73.88,82000
