symbol,date,open,high,low,close,volume
XLV,2006-07-31,32.02,32.02,31.83,31.89,462400
XLV,2006-08-01,31.88,31.96,31.72,31.89,3115000
XLV,2006-08-02,32.1,32.27,32.03,32.09,633700
XLV,2006-08-03,31.85,32.04,31.74,31.81,2033400
XLV,2006-08-04,31.95,31.99,31.76,31.82,899700
XLV,2006-08-07,31.76,31.84,31.68,31.72,630800
XLV,2006-08-08,31.76,31.87,31.6426,31.71,1020700
XLV,2006-08-09,31.93,32.05,31.72,31.74,739700
XLV,2006-08-10,31.54,31.8,31.54,31.71,680000
XLV,2006-08-11,31.54,31.68,31.45,31.56,456200
XLV,2006-08-14,31.68,31.88,31.6,31.63,408700
XLV,2006-08-15,31.87,31.94,31.77,31.9,651400
XLV,2006-08-16,32.0,32.18,31.99,32.18,1290600
XLV,2006-08-17,32.15,32.36,32.15,32.26,998300
XLV,2006-08-18,32.2,32.32,32.12,32.31,484900
XLV,2006-08-21,32.28,32.3,32.15,32.2,468900
XLV,2006-08-22,32.12,32.34,32.08,32.3,376200
XLV,2006-08-23,32.33,32.33,32.21,32.28,422000
XLV,2006-08-24,32.46,32.56,32.41,32.5,701200
XLV,2006-08-25,32.45,32.58,32.38,32.52,394300
XLV,2006-08-28,32.55,32.86,32.51,32.73,335000
XLV,2006-08-29,32.77,32.9,32.73,32.88,845800
XLV,2006-08-30,32.94,32.97,32.86,32.9,685700
XLV,2006-08-31,32.91,32.91,32.75,32.8,375900
XLV,2006-09-01,32.8,33.01,32.8,32.97,2468600
XLV,2006-09-05,32.95,33.0,32.82,32.82,805700
XLV,2006-09-06,32.84,32.84,32.62,32.7,1378000
XLV,2006-09-07,32.56,32.63,32.43,32.46,1418700
XLV,2006-09-08,32.54,32.75,32.48,32.72,468700
XLV,2006-09-11,32.72,32.94,32.6,32.93,1016900
XLV,2006-09-12,33.03,33.33,33.01,33.31,1090100
XLV,2006-09-13,33.33,33.34,33.16,33.24,905700
XLV,2006-09-14,33.15,33.23,33.07,33.08,557400
XLV,2006-09-15,33.21,33.29,33.14,33.14,1960100
XLV,2006-09-18,33.14,33.22,33.07,33.13,1559700
XLV,2006-09-19,33.14,33.19,33.01,33.18,693900
XLV,2006-09-20,33.2,33.43,33.18,33.31,716900
XLV,2006-09-21,33.33,33.33,33.05,33.1,572800
