date,equity,combo_c_value,permanent_value
2026-08-14,1000.0,400.0,600.0
2026-08-17,999.53,400.0,599.53
2026-08-18,996.53,400.0,596.53
2026-08-19,1005.11,400.0,605.11
2026-08-20,1003.08,400.0,603.08
2026-08-21,1006.42,400.28,606.14
2026-08-24,1008.31,400.32,607.99
2026-08-25,1010.77,400.32,610.45
2026-08-26,1006.43,398.82,607.61
2026-08-27,1007.64,398.86,608.78
2026-08-28,1003.98,401.06,602.91
2026-08-31,1002.54,401.06,601.47
2026-09-01,994.31,399.95,594.36
2026-09-02,998.48,400.95,597.53
2026-09-03,1003.59,401.32,602.27
2026-09-04,1001.93,401.48,600.46
