date,system,symbol,action,price,size_usd,stop,risk_usd,risk_pct,reason
2026-08-25,TOM,BTCUSD,entry,78982.266,,,,,"turn_of_month_offset5 (provisional, подтвердит ночной прогон)"
2026-08-25,TOM,EURUSD,entry,1.1667,,,,,"turn_of_month_offset5 (provisional, подтвердит ночной прогон)"
2026-08-25,TOM,SPY,entry,766.16,,,,,"turn_of_month_offset5 (provisional, подтвердит ночной прогон)"
2026-08-25,TOM,USDJPY,entry,159.077,,,,,"turn_of_month_offset5 (provisional, подтвердит ночной прогон)"
2026-08-19,RSI2,QQQ,entry,720.39,117.56,695.8778,4.0,1.0,rsi2<10+ema200
2026-08-26,RSI2,QQQ,exit,711.37,,695.8778,4.0,1.0,sma5_cross
2026-08-29,RSI2,EURUSD,entry,1.1658,,,,,"rsi2<10+ema200 (provisional, подтвердит ночной прогон)"
2026-08-26,RSI2,XLE,entry,61.43,105.01,59.0901,4.0,1.0,rsi2<10+ema200
2026-08-28,RSI2,XLE,exit,62.68,,59.0901,4.0,1.0,sma5_cross
2026-08-30,RSI2,EURUSD,entry,1.1658,,,,,"rsi2<10+ema200 (provisional, подтвердит ночной прогон)"
2026-09-01,RSI2,SPY,entry,762.01,,,,,"rsi2<10+ema200 (provisional, подтвердит ночной прогон)"
2026-08-27,TOM,BTCUSD,entry,79026.75,80.22,75086.4884,4.0,1.0,turn_of_month_offset5
2026-08-26,TOM,EURUSD,entry,1.1677,598.13,1.1599,4.0,1.0,turn_of_month_offset5
2026-08-27,TOM,USDJPY,entry,159.25,382.54,157.5848,4.0,1.0,turn_of_month_offset5
2026-09-03,RSI2,EURUSD,exit,1.1609,,1.1507,4.0,1.0,sma5_cross
2026-09-02,RSI2,SPY,entry,762.45,252.64,750.3785,4.0,1.0,rsi2<10+ema200
2026-09-03,RSI2,SPY,exit,773.66,,750.3785,4.0,1.0,sma5_cross
2026-09-03,TOM,BTCUSD,exit,77766.49,,75086.4884,4.0,1.0,scheduled_exit
2026-08-25,TOM,EEM,entry,66.84,106.56,64.3311,4.0,1.0,turn_of_month_offset5
2026-09-03,TOM,EEM,exit,67.47,,64.3311,4.0,1.0,scheduled_exit
2026-09-03,TOM,EURUSD,exit,1.1599,,1.1599,4.0,1.0,stop
2026-08-25,TOM,QQQ,entry,711.22,126.07,688.6549,4.0,1.0,turn_of_month_offset5
2026-09-03,TOM,QQQ,exit,717.67,,688.6549,4.0,1.0,scheduled_exit
2026-09-03,TOM,SPY,exit,773.66,,752.7593,4.0,1.0,scheduled_exit
2026-08-25,TOM,TLT,entry,83.105,246.8,81.7581,4.0,1.0,turn_of_month_offset5
2026-09-03,TOM,TLT,exit,81.7581,,81.7581,4.0,1.0,stop
2026-09-03,TOM,USDJPY,exit,157.5848,,157.5848,4.0,1.0,stop
2026-08-25,TOM,XLE,entry,62.2,105.63,59.8447,4.0,1.0,turn_of_month_offset5
2026-09-03,TOM,XLE,exit,64.62,,59.8447,4.0,1.0,scheduled_exit
