symbol,date,open,high,low,close,volume
AFLT,2013-10-31,56.7,57.43,55.61,57.4,2779400
AFLT,2013-11-01,57.13,57.75,56.64,57.38,2286300
AFLT,2013-11-05,57.5,57.5,56.8,56.85,729000
AFLT,2013-11-06,56.93,57.46,56.5,57.4,1320900
AFLT,2013-11-07,57.31,58.47,56.92,58.45,2112000
AFLT,2013-11-08,57.58,58.11,56.9,57.1,1361500
AFLT,2013-11-11,57.22,57.83,56.68,57.47,1259600
AFLT,2013-11-12,57.49,57.91,57.29,57.88,887500
AFLT,2013-11-13,57.5,58.85,57.32,57.83,2883100
AFLT,2013-11-14,58.25,60.16,57.74,59.51,1796800
AFLT,2013-11-15,60.01,60.47,59.51,59.88,1285200
AFLT,2013-11-18,59.94,60.35,59.47,59.81,996700
AFLT,2013-11-19,59.8,60.18,58.26,58.68,1317300
AFLT,2013-11-20,58.1,58.55,57.46,57.6,1302300
AFLT,2013-11-21,57.97,57.97,56.38,57.78,1284700
AFLT,2013-11-22,57.79,58.63,57.79,58.29,1151600
AFLT,2013-11-25,58.47,59.19,58.15,58.26,839200
AFLT,2013-11-26,58.16,58.36,57.26,57.57,2121700
AFLT,2013-11-27,58.17,58.17,56.7,57.19,2265700
AFLT,2013-11-28,57.32,58.5,57.32,58.44,1295600
AFLT,2013-11-29,58.27,60.5,58.19,60.42,2363400
AFLT,2013-12-02,60.24,64.74,60.05,62.69,4906000
AFLT,2013-12-03,62.75,63.92,60.61,63.12,3190100
AFLT,2013-12-04,62.9,67.49,62.48,67.46,10394800
AFLT,2013-12-05,68.9,69.0,66.21,66.72,3849500
AFLT,2013-12-06,66.75,68.8,66.4,68.8,6598100
AFLT,2013-12-09,69.01,72.55,68.52,72.48,6947300
AFLT,2013-12-10,72.45,74.4,71.2,74.1,4618400
AFLT,2013-12-11,73.13,74.34,72.82,73.09,3249000
AFLT,2013-12-12,72.6,74.0,71.3,73.65,3573200
AFLT,2013-12-13,73.69,77.01,73.21,76.75,7171800
AFLT,2013-12-16,76.6,80.39,76.6,79.66,7016200
AFLT,2013-12-17,80.0,80.25,77.8,79.24,4191300
AFLT,2013-12-18,79.0,79.7,76.6,77.17,5061900
AFLT,2013-12-19,77.8,78.91,74.74,78.0,5901800
AFLT,2013-12-20,78.05,80.3,76.1,79.23,6211000
AFLT,2013-12-23,79.15,82.2,78.55,81.56,4570900
AFLT,2013-12-24,81.63,85.05,81.63,85.0,6281600
AFLT,2013-12-25,84.64,88.49,84.59,85.05,6262600
AFLT,2013-12-26,85.22,86.38,83.55,84.54,4731100
AFLT,2013-12-27,82.43,86.25,82.43,82.5,3836100
AFLT,2013-12-30,82.03,84.94,82.03,83.7,5262600
AFLT,2014-01-06,83.96,84.83,82.6,83.24,2490000
AFLT,2014-01-08,83.7,83.85,82.81,83.41,2345100
AFLT,2014-01-09,84.3,84.82,82.83,82.9,2751400
AFLT,2014-01-10,83.0,83.9,82.1,82.83,3849100
AFLT,2014-01-13,83.25,99.3,82.09,87.87,7404300
AFLT,2014-01-14,87.0,88.99,83.72,84.96,7910200
AFLT,2014-01-15,85.3,86.09,83.61,83.9,5388900
AFLT,2014-01-16,83.5,85.43,83.4,84.8,4117300
AFLT,2014-01-17,84.8,85.19,84.0,84.25,3629900
AFLT,2014-01-20,84.25,85.8,83.92,85.46,3448100
AFLT,2014-01-21,86.2,86.2,80.11,81.35,7934600
AFLT,2014-01-22,80.57,82.45,76.02,78.78,9903800
AFLT,2014-01-23,78.26,81.73,78.26,79.79,4992100
AFLT,2014-01-24,79.55,80.43,77.81,78.7,4305900
AFLT,2014-01-27,77.7,82.39,77.7,81.9,5141500
AFLT,2014-01-28,81.95,83.1,80.08,81.75,3446600
AFLT,2014-01-29,82.08,82.79,79.22,81.38,3340700
AFLT,2014-01-30,81.0,82.32,80.43,81.44,2806800
AFLT,2014-01-31,84.86,84.86,81.0,83.0,2906200
AFLT,2014-02-03,83.53,83.98,79.67,80.0,4761000
AFLT,2014-02-04,78.75,79.12,75.22,76.65,6241600
AFLT,2014-02-05,76.93,78.01,75.0,76.12,6699700
AFLT,2014-02-06,75.73,78.9,75.73,78.9,4932600
AFLT,2014-02-07,79.55,80.5,79.22,79.5,4324400
AFLT,2014-02-10,80.0,80.39,77.78,79.51,2914700
AFLT,2014-02-11,79.16,80.77,79.16,80.7,1913300
AFLT,2014-02-12,81.01,83.49,80.65,82.02,5062700
AFLT,2014-02-13,81.19,82.36,79.88,80.6,3901700
AFLT,2014-02-14,80.45,81.48,79.33,80.28,2766200
AFLT,2014-02-17,80.59,80.96,80.49,80.75,618300
AFLT,2014-02-18,80.74,81.45,79.76,80.0,2795900
AFLT,2014-02-19,82.14,82.14,77.94,78.1,1965100
AFLT,2014-02-20,77.4,78.1,77.03,77.8,2274900
AFLT,2014-02-21,78.04,78.75,77.46,77.88,1468300
AFLT,2014-02-24,77.31,77.56,76.3,76.9,1934400
AFLT,2014-02-25,77.22,77.51,76.5,77.39,1124800
AFLT,2014-02-26,77.51,78.45,77.0,77.6,2172700
AFLT,2014-02-27,77.95,78.22,72.63,72.71,5895700
AFLT,2014-02-28,73.4,73.4,69.62,70.61,5484400
AFLT,2014-03-03,65.68,68.44,58.5,59.0,11263800
AFLT,2014-03-04,59.5,63.37,59.5,60.6,9257400
AFLT,2014-03-05,61.5,63.14,61.0,62.18,6152100
AFLT,2014-03-06,62.74,66.27,60.67,62.4,10299200
