symbol,date,open,high,low,close,volume
ALRS,2013-09-02,33.0,33.197,32.612,33.0,696800
ALRS,2013-09-03,33.148,33.198,32.9,33.198,1257800
ALRS,2013-09-04,33.329,33.5,33.018,33.327,161400
ALRS,2013-09-05,33.343,33.349,33.0,33.34,177200
ALRS,2013-09-06,33.4,33.449,33.06,33.061,370500
ALRS,2013-09-09,33.369,33.372,33.034,33.299,242400
ALRS,2013-09-10,33.365,33.365,33.01,33.01,376400
ALRS,2013-09-11,33.007,33.239,32.7,32.896,362000
ALRS,2013-09-12,32.711,33.1,32.6,32.999,757200
ALRS,2013-09-13,32.859,33.095,32.602,32.678,202200
ALRS,2013-09-16,32.724,33.27,32.595,33.25,41507100
ALRS,2013-09-17,33.241,33.8,33.181,33.748,3411700
ALRS,2013-09-18,33.9,35.4,33.887,35.1,2413900
ALRS,2013-09-19,34.922,35.45,34.651,35.099,973900
ALRS,2013-09-20,35.348,35.348,34.311,34.51,339700
ALRS,2013-09-23,34.845,35.256,34.5,35.115,301900
ALRS,2013-09-24,35.119,35.119,34.812,34.9,353900
ALRS,2013-09-25,34.95,35.5,34.867,35.488,1479100
ALRS,2013-09-26,35.143,35.5,35.024,35.5,1008400
ALRS,2013-09-27,35.401,37.347,35.399,36.8,1252700
ALRS,2013-09-30,36.987,37.55,35.671,36.0,665100
ALRS,2013-10-01,35.559,36.95,35.559,36.255,492600
ALRS,2013-10-02,36.3,39.5,36.3,38.502,2876100
ALRS,2013-10-03,38.799,40.989,38.6,39.0,1938800
ALRS,2013-10-04,38.941,38.942,37.751,38.7,725600
ALRS,2013-10-07,38.7,38.7,37.6,37.652,905600
ALRS,2013-10-08,37.621,37.85,37.518,37.777,714400
ALRS,2013-10-09,37.6,37.776,36.997,37.0,868400
ALRS,2013-10-10,37.0,37.097,36.75,36.88,1944900
ALRS,2013-10-11,36.997,36.997,34.75,34.75,2621700
ALRS,2013-10-14,34.771,35.49,34.752,34.823,929400
ALRS,2013-10-15,35.393,35.398,34.777,35.0,1490900
ALRS,2013-10-16,34.999,35.01,34.855,34.999,530500
ALRS,2013-10-17,34.126,35.469,34.126,35.1,468400
ALRS,2013-10-18,35.1,35.398,35.003,35.244,1079000
ALRS,2013-10-21,35.418,35.48,35.0,35.003,366500
ALRS,2013-10-22,35.39,35.39,34.96,34.96,270000
ALRS,2013-10-23,34.951,34.981,34.58,34.85,790600
ALRS,2013-10-24,34.656,35.0,34.656,34.9,1112900
ALRS,2013-10-25,34.946,35.0,34.58,34.95,1977500
ALRS,2013-10-28,34.95,35.799,34.95,35.25,37784000
ALRS,2013-10-29,35.224,36.153,35.011,36.153,31713200
ALRS,2013-10-30,36.157,38.081,36.053,37.4,29626300
