symbol,date,open,high,low,close,volume
GAZP,2014-06-09,144.0,146.2,143.03,144.4,40347300
GAZP,2014-06-10,144.31,144.76,142.67,144.75,41460990
GAZP,2014-06-11,145.2,146.4,143.9,146.4,39418520
GAZP,2014-06-16,144.0,145.27,142.58,145.2,77165360
GAZP,2014-06-17,145.3,146.37,143.72,144.77,44370530
GAZP,2014-06-18,144.79,146.19,144.43,145.0,33270240
GAZP,2014-06-19,146.4,147.69,145.04,145.2,44670940
GAZP,2014-06-20,145.05,145.88,144.28,145.6,33779020
GAZP,2014-06-23,146.2,147.27,145.07,147.17,33923270
GAZP,2014-06-24,147.65,153.42,147.56,153.25,87546740
GAZP,2014-06-25,152.48,154.21,149.01,149.26,65879300
GAZP,2014-06-26,149.63,150.44,147.02,147.44,53026000
GAZP,2014-06-27,148.0,149.88,147.22,149.39,34563280
GAZP,2014-06-30,149.81,150.18,146.58,148.96,35020610
GAZP,2014-07-01,148.51,149.5,146.65,148.97,39080070
GAZP,2014-07-02,149.09,151.95,148.9,151.95,48839500
GAZP,2014-07-03,152.0,153.66,151.41,152.3,48933580
GAZP,2014-07-04,153.0,153.09,148.25,149.13,38192290
GAZP,2014-07-07,149.1,151.4,149.09,150.31,34302070
GAZP,2014-07-08,150.53,153.53,150.52,151.43,50005770
GAZP,2014-07-09,151.11,151.77,149.01,150.4,44106880
GAZP,2014-07-10,150.8,151.52,147.1,148.79,58690960
GAZP,2014-07-11,148.85,149.25,146.91,148.15,36005010
GAZP,2014-07-14,148.42,148.8,146.51,147.5,38407230
GAZP,2014-07-15,147.8,148.37,146.52,146.52,55159950
GAZP,2014-07-16,140.35,143.1,140.1,142.5,55942320
GAZP,2014-07-17,140.23,141.0,138.23,140.0,61550720
GAZP,2014-07-18,138.0,139.41,136.5,139.26,53377680
GAZP,2014-07-21,140.3,140.44,135.2,136.01,46735750
GAZP,2014-07-22,136.82,138.87,136.05,137.75,35508000
GAZP,2014-07-23,138.2,139.0,135.2,136.29,35700000
GAZP,2014-07-24,136.0,137.36,135.15,136.9,23345280
GAZP,2014-07-25,136.5,136.83,134.22,135.12,35511270
GAZP,2014-07-28,134.54,134.73,130.9,132.0,44904250
GAZP,2014-07-29,132.08,133.73,130.55,131.31,36865680
GAZP,2014-07-30,130.47,135.41,130.1,133.4,42608490
GAZP,2014-07-31,134.12,135.0,131.21,132.0,41187230
GAZP,2014-08-01,130.95,131.99,130.21,131.5,31759700
GAZP,2014-08-04,132.0,132.79,128.25,129.5,44534400
GAZP,2014-08-05,129.99,130.1,126.28,126.57,46432510
GAZP,2014-08-06,126.11,126.5,123.23,124.7,68355310
GAZP,2014-08-07,124.02,128.77,122.79,126.92,64225030
GAZP,2014-08-08,126.48,129.37,126.33,126.55,56280080
GAZP,2014-08-11,128.01,130.45,127.84,128.3,43145400
GAZP,2014-08-12,128.95,129.95,127.24,128.0,38147150
GAZP,2014-08-13,127.8,131.84,127.7,131.0,57387480
GAZP,2014-08-14,131.2,132.49,130.34,131.41,43412620
GAZP,2014-08-15,131.02,133.47,130.62,132.67,42674890
GAZP,2014-08-18,132.82,134.4,132.11,134.29,28598600
GAZP,2014-08-19,134.29,136.4,134.28,136.2,38645630
GAZP,2014-08-20,136.2,136.8,135.16,136.7,22419120
GAZP,2014-08-21,136.51,137.69,135.55,136.49,34863190
GAZP,2014-08-22,136.56,137.2,134.0,135.0,38272800
GAZP,2014-08-25,135.06,136.46,135.0,136.09,16639450
GAZP,2014-08-26,136.19,136.99,134.71,135.0,27154630
GAZP,2014-08-27,135.9,136.67,135.12,135.51,24990540
GAZP,2014-08-28,135.51,135.74,131.94,133.8,47627370
GAZP,2014-08-29,133.5,134.17,131.81,131.95,35728900
GAZP,2014-09-01,132.71,134.75,131.0,132.32,41613580
GAZP,2014-09-02,132.68,133.32,131.34,133.32,25543730
GAZP,2014-09-03,133.42,139.63,133.33,138.26,64491970
GAZP,2014-09-04,138.3,139.29,136.8,138.15,43311610
GAZP,2014-09-05,137.28,140.13,136.36,139.0,37267050
GAZP,2014-09-08,138.79,139.38,136.87,139.0,31454520
GAZP,2014-09-09,139.29,140.82,138.86,139.02,26611960
GAZP,2014-09-10,138.39,139.4,137.62,139.2,20441450
GAZP,2014-09-11,139.69,140.28,136.51,136.65,34559170
GAZP,2014-09-12,136.5,138.56,136.0,137.56,34988310
GAZP,2014-09-15,137.26,138.12,135.35,136.0,40717130
GAZP,2014-09-16,136.01,139.58,135.26,138.56,40431640
GAZP,2014-09-17,138.5,139.34,136.05,137.0,39757700
GAZP,2014-09-18,137.25,138.4,136.51,138.2,29247410
GAZP,2014-09-19,138.0,138.0,134.48,135.99,45103990
GAZP,2014-09-22,135.76,136.83,134.6,135.05,27258240
GAZP,2014-09-23,135.55,137.2,135.47,136.5,29141830
GAZP,2014-09-24,136.99,138.65,136.88,137.8,32271690
GAZP,2014-09-25,138.28,138.96,136.52,136.92,31511120
GAZP,2014-09-26,136.51,137.95,135.71,137.11,34925980
GAZP,2014-09-29,138.0,138.57,135.0,135.77,36985740
GAZP,2014-09-30,136.27,139.13,135.14,137.9,50261030
GAZP,2014-10-01,137.5,139.86,137.12,137.26,37398300
GAZP,2014-10-02,136.8,137.44,133.7,134.25,42243810
GAZP,2014-10-03,134.97,138.07,134.87,135.8,32174540
GAZP,2014-10-06,136.61,139.63,136.61,138.9,41322460
