symbol,date,open,high,low,close,volume
GMKN,2014-06-09,6974.0,7076.0,6971.0,7029.0,212826
GMKN,2014-06-10,7069.0,7069.0,6900.0,6900.0,207612
GMKN,2014-06-11,6895.0,6940.0,6861.0,6940.0,207715
GMKN,2014-06-16,6700.0,6700.0,6548.0,6649.0,520423
GMKN,2014-06-17,6640.0,6682.0,6550.0,6622.0,219261
GMKN,2014-06-18,6614.0,6801.0,6586.0,6780.0,276596
GMKN,2014-06-19,6845.0,6895.0,6797.0,6839.0,188079
GMKN,2014-06-20,6855.0,6924.0,6805.0,6865.0,247349
GMKN,2014-06-23,6887.0,6940.0,6821.0,6899.0,195573
GMKN,2014-06-24,6909.0,6925.0,6848.0,6895.0,191568
GMKN,2014-06-25,6863.0,6906.0,6763.0,6766.0,191597
GMKN,2014-06-26,6773.0,6819.0,6678.0,6720.0,228827
GMKN,2014-06-27,6805.0,6805.0,6655.0,6715.0,120365
GMKN,2014-06-30,6717.0,6758.0,6660.0,6719.0,163975
GMKN,2014-07-01,6721.0,6799.0,6669.0,6798.0,132268
GMKN,2014-07-02,6791.0,6920.0,6791.0,6920.0,204711
GMKN,2014-07-03,6948.0,7020.0,6908.0,7005.0,231628
GMKN,2014-07-04,6995.0,7032.0,6941.0,6971.0,148269
GMKN,2014-07-07,6977.0,7149.0,6948.0,7149.0,184810
GMKN,2014-07-08,7106.0,7319.0,7106.0,7280.0,381218
GMKN,2014-07-09,7254.0,7325.0,7215.0,7316.0,167278
GMKN,2014-07-10,7320.0,7402.0,7184.0,7210.0,317565
GMKN,2014-07-11,7218.0,7275.0,7162.0,7260.0,158768
GMKN,2014-07-14,7265.0,7305.0,7232.0,7263.0,124991
GMKN,2014-07-15,7267.0,7319.0,7220.0,7300.0,204730
GMKN,2014-07-16,7310.0,7390.0,7142.0,7160.0,274249
GMKN,2014-07-17,7025.0,7148.0,6977.0,7135.0,342601
GMKN,2014-07-18,7060.0,7132.0,6968.0,7010.0,280507
GMKN,2014-07-21,7010.0,7010.0,6818.0,6819.0,254739
GMKN,2014-07-22,6871.0,7029.0,6850.0,7009.0,220574
GMKN,2014-07-23,6999.0,7193.0,6994.0,7145.0,206070
GMKN,2014-07-24,7143.0,7220.0,7092.0,7219.0,130980
GMKN,2014-07-25,7186.0,7200.0,6980.0,7039.0,275582
GMKN,2014-07-28,6988.0,7038.0,6901.0,6981.0,194139
GMKN,2014-07-29,7000.0,7116.0,6990.0,7030.0,186122
GMKN,2014-07-30,7000.0,7200.0,6991.0,7083.0,207320
GMKN,2014-07-31,7091.0,7180.0,7017.0,7060.0,163860
GMKN,2014-08-01,7021.0,7072.0,6876.0,6953.0,202172
GMKN,2014-08-04,6965.0,7029.0,6910.0,7000.0,178477
GMKN,2014-08-05,7024.0,7067.0,6851.0,6856.0,217880
GMKN,2014-08-06,6840.0,6937.0,6709.0,6733.0,273368
GMKN,2014-08-07,6664.0,6858.0,6631.0,6800.0,220177
GMKN,2014-08-08,6766.0,6950.0,6750.0,6883.0,189087
GMKN,2014-08-11,6933.0,7028.0,6933.0,6995.0,155984
GMKN,2014-08-12,7004.0,7010.0,6898.0,6917.0,140852
GMKN,2014-08-13,6917.0,7014.0,6889.0,6980.0,236680
GMKN,2014-08-14,7001.0,7044.0,6933.0,6961.0,182079
GMKN,2014-08-15,6975.0,7076.0,6932.0,7025.0,149909
GMKN,2014-08-18,7029.0,7065.0,6996.0,7065.0,92357
GMKN,2014-08-19,7071.0,7313.0,7070.0,7300.0,235034
GMKN,2014-08-20,7310.0,7447.0,7279.0,7447.0,225976
GMKN,2014-08-21,7450.0,7535.0,7382.0,7445.0,249759
GMKN,2014-08-22,7430.0,7438.0,7287.0,7300.0,174863
GMKN,2014-08-25,7278.0,7384.0,7278.0,7342.0,69782
GMKN,2014-08-26,7329.0,7376.0,7225.0,7252.0,147759
GMKN,2014-08-27,7276.0,7320.0,7243.0,7300.0,114514
GMKN,2014-08-28,7295.0,7295.0,7153.0,7280.0,225254
GMKN,2014-08-29,7260.0,7350.0,7230.0,7230.0,221671
GMKN,2014-09-01,7281.0,7357.0,7213.0,7240.0,192938
GMKN,2014-09-02,7275.0,7300.0,7155.0,7177.0,150051
GMKN,2014-09-03,7182.0,7365.0,7086.0,7331.0,392697
GMKN,2014-09-04,7300.0,7400.0,7280.0,7309.0,217143
GMKN,2014-09-05,7304.0,7535.0,7215.0,7521.0,433199
