symbol,date,open,high,low,close,volume
IRAO,2013-07-11,0.01292,0.012925,0.012905,0.01292,75000000
IRAO,2013-07-17,0.0133,0.0133,0.010549,0.010549,12700000
IRAO,2013-07-18,0.013879,0.013879,0.013828,0.013828,65000000
IRAO,2013-07-29,0.012857,0.012857,0.011826,0.012826,4000000
IRAO,2013-07-31,0.0126,0.01263,0.0126,0.01263,800000
IRAO,2013-08-07,0.01235,0.0125,0.01235,0.0125,10700000
IRAO,2013-08-08,0.01254,0.0126,0.01254,0.0126,1700000
IRAO,2013-08-13,0.01305,0.01305,0.01305,0.01305,10000000
IRAO,2013-08-15,0.01292,0.01292,0.012877,0.012877,2200000
IRAO,2013-08-16,0.01273,0.01279,0.01251,0.01251,2400000
IRAO,2013-08-19,0.012592,0.012592,0.012592,0.012592,1700000
IRAO,2013-08-21,0.01243,0.01243,0.01243,0.01243,1100000
IRAO,2013-08-23,0.01257,0.01257,0.01257,0.01257,1100000
IRAO,2013-08-26,0.012301,0.012301,0.012301,0.012301,200000
IRAO,2013-08-27,0.012,0.01225,0.012,0.0122,2400000
IRAO,2013-08-28,0.011703,0.0125,0.011703,0.012036,3200000
IRAO,2013-08-30,0.012198,0.012295,0.01101,0.011794,16700000
IRAO,2013-09-02,0.011869,0.012083,0.011683,0.011707,2120900000
IRAO,2013-09-03,0.011809,0.012045,0.011656,0.011688,4194800000
IRAO,2013-09-04,0.011565,0.011796,0.0115,0.011534,3157800000
IRAO,2013-09-05,0.011652,0.011736,0.011503,0.011666,6314700000
IRAO,2013-09-06,0.011647,0.011699,0.011417,0.011492,6290800000
IRAO,2013-09-09,0.011548,0.011645,0.011467,0.011543,4054700000
IRAO,2013-09-10,0.01149,0.011825,0.01149,0.011665,6862300000
IRAO,2013-09-11,0.011844,0.012144,0.011671,0.011738,19688100000
IRAO,2013-09-12,0.011796,0.011874,0.011451,0.011599,7902500000
IRAO,2013-09-13,0.011503,0.011673,0.011483,0.0116,4651900000
IRAO,2013-09-16,0.0117,0.011798,0.011592,0.011697,4151800000
IRAO,2013-09-17,0.011639,0.011862,0.011615,0.011862,3312800000
IRAO,2013-09-18,0.011881,0.011992,0.011861,0.0119,4219500000
IRAO,2013-09-19,0.012101,0.012148,0.0112,0.0117,9511600000
IRAO,2013-09-20,0.011697,0.011964,0.011655,0.011891,8717200000
IRAO,2013-09-23,0.01192,0.012042,0.01156,0.011597,3941200000
IRAO,2013-09-24,0.011649,0.011719,0.011402,0.011648,5430500000
IRAO,2013-09-25,0.011634,0.011707,0.01156,0.011703,3769500000
IRAO,2013-09-26,0.011674,0.011764,0.011537,0.01159,3719200000
IRAO,2013-09-27,0.012155,0.012155,0.011408,0.011474,4963800000
IRAO,2013-09-30,0.011488,0.011489,0.011077,0.011094,6346200000
IRAO,2013-10-01,0.01107,0.011246,0.01098,0.01103,6355700000
IRAO,2013-10-02,0.011324,0.011324,0.01085,0.010855,5471100000
IRAO,2013-10-03,0.010939,0.010979,0.010736,0.010745,5266100000
IRAO,2013-10-04,0.010955,0.010955,0.010422,0.0105,7452100000
IRAO,2013-10-07,0.010489,0.01053,0.010304,0.010392,4856400000
IRAO,2013-10-08,0.010356,0.0107,0.010345,0.010657,10278300000
IRAO,2013-10-09,0.010649,0.01068,0.010214,0.01025,8271300000
IRAO,2013-10-10,0.010349,0.010518,0.0102,0.01039,11412100000
IRAO,2013-10-11,0.010429,0.010575,0.010242,0.010294,6581100000
IRAO,2013-10-14,0.010352,0.010352,0.0102,0.01025,4026100000
IRAO,2013-10-15,0.01032,0.010399,0.010213,0.010326,9346500000
IRAO,2013-10-16,0.0103,0.010614,0.010297,0.010552,12082800000
IRAO,2013-10-17,0.010692,0.010855,0.010512,0.010525,14936800000
IRAO,2013-10-18,0.010594,0.010697,0.010412,0.010481,8152500000
IRAO,2013-10-21,0.010533,0.010676,0.010527,0.010556,8366500000
IRAO,2013-10-22,0.010566,0.010828,0.010566,0.010621,9889200000
IRAO,2013-10-23,0.010567,0.010649,0.0103,0.010327,10754900000
IRAO,2013-10-24,0.010328,0.01039,0.010113,0.010181,5320000000
IRAO,2013-10-25,0.010181,0.010225,0.009469,0.009731,43094800000
IRAO,2013-10-28,0.00988,0.00988,0.009518,0.009598,11309700000
IRAO,2013-10-29,0.009551,0.009599,0.0094,0.009469,11582500000
IRAO,2013-10-30,0.009494,0.00968,0.009424,0.009535,9803500000
IRAO,2013-10-31,0.009484,0.009484,0.009311,0.00936,7969800000
IRAO,2013-11-01,0.009359,0.009425,0.00926,0.009325,6631700000
IRAO,2013-11-05,0.009327,0.0095,0.009201,0.009259,12981000000
IRAO,2013-11-06,0.0093,0.009344,0.009009,0.009079,10524200000
IRAO,2013-11-07,0.009064,0.009149,0.00889,0.00889,19597000000
IRAO,2013-11-08,0.0088,0.0088,0.0084,0.008411,28291000000
IRAO,2013-11-11,0.008438,0.008538,0.008224,0.008275,14744300000
IRAO,2013-11-12,0.0085,0.008599,0.00812,0.008541,35634800000
IRAO,2013-11-13,0.00847,0.008644,0.007946,0.00797,32436100000
IRAO,2013-11-14,0.0081,0.008345,0.007955,0.008313,26192400000
IRAO,2013-11-15,0.008756,0.008756,0.008177,0.008191,18675500000
IRAO,2013-11-18,0.0082,0.008403,0.008199,0.008261,8079600000
IRAO,2013-11-19,0.008271,0.008374,0.0078,0.007995,26773500000
IRAO,2013-11-20,0.007918,0.007975,0.007623,0.007774,32343000000
IRAO,2013-11-21,0.007701,0.008067,0.007599,0.007932,40240100000
IRAO,2013-11-22,0.007946,0.00806,0.007865,0.007884,17860000000
IRAO,2013-11-25,0.007905,0.007979,0.007555,0.00758,28353900000
IRAO,2013-11-26,0.007589,0.007589,0.007,0.007,110929500000
IRAO,2013-11-27,0.007249,0.007287,0.007011,0.007099,69904000000
IRAO,2013-11-28,0.00714,0.007393,0.006701,0.007352,87591100000
IRAO,2013-11-29,0.007402,0.007893,0.00724,0.007792,101050600000
IRAO,2013-12-02,0.00772,0.008,0.00755,0.008,71887900000
IRAO,2013-12-03,0.007947,0.0082,0.007815,0.008078,78562900000
IRAO,2013-12-04,0.008017,0.008588,0.008017,0.008445,88234900000
IRAO,2013-12-05,0.008423,0.009329,0.008353,0.0089,140119000000
IRAO,2013-12-06,0.008956,0.009494,0.008888,0.009171,100686600000
IRAO,2013-12-09,0.009245,0.009439,0.008861,0.008875,65508700000
IRAO,2013-12-10,0.008938,0.008938,0.00853,0.008659,64043000000
IRAO,2013-12-11,0.008574,0.008876,0.008542,0.008604,36598200000
IRAO,2013-12-12,0.0085,0.008735,0.00841,0.008525,29210600000
IRAO,2013-12-13,0.008568,0.008739,0.00848,0.008644,26328500000
IRAO,2013-12-16,0.008532,0.00934,0.008523,0.009316,50891900000
IRAO,2013-12-17,0.009271,0.01,0.009271,0.009815,135104200000
IRAO,2013-12-18,0.009854,0.010131,0.009513,0.009608,96834400000
IRAO,2013-12-19,0.009811,0.0099,0.00962,0.009758,56310800000
IRAO,2013-12-20,0.0098,0.01005,0.009564,0.01,63615300000
IRAO,2013-12-23,0.010051,0.01024,0.00982,0.01003,51587200000
IRAO,2013-12-24,0.01004,0.010088,0.00985,0.009871,26715800000
IRAO,2013-12-25,0.0099,0.010017,0.009732,0.009834,19848000000
IRAO,2013-12-26,0.009832,0.009963,0.009722,0.009765,18676600000
IRAO,2013-12-27,0.0098,0.009842,0.009626,0.009763,17324400000
IRAO,2013-12-30,0.009702,0.010091,0.009702,0.01,37178900000
IRAO,2014-01-06,0.00995,0.010095,0.009687,0.00973,21433100000
IRAO,2014-01-08,0.009731,0.010059,0.0097,0.009889,17276600000
IRAO,2014-01-09,0.00989,0.01,0.009861,0.009923,9037500000
IRAO,2014-01-10,0.0099,0.00998,0.009857,0.009893,8891000000
IRAO,2014-01-13,0.009889,0.010038,0.0082,0.009676,29646600000
IRAO,2014-01-14,0.009553,0.009553,0.009232,0.00945,36648600000
IRAO,2014-01-15,0.0095,0.00976,0.009353,0.009699,24572200000
IRAO,2014-01-16,0.009791,0.009985,0.00969,0.00975,40150700000
IRAO,2014-01-17,0.009743,0.0107,0.009703,0.010626,100628900000
IRAO,2014-01-20,0.01072,0.011133,0.010451,0.010599,130831800000
IRAO,2014-01-21,0.010632,0.010749,0.01034,0.010513,55406500000
IRAO,2014-01-22,0.01049,0.01073,0.010381,0.010569,44410600000
IRAO,2014-01-23,0.0105,0.011373,0.010478,0.011283,109484800000
IRAO,2014-01-24,0.0112,0.011765,0.01101,0.011393,147093300000
IRAO,2014-01-27,0.0113,0.011644,0.01115,0.011308,65985200000
IRAO,2014-01-28,0.011789,0.011789,0.01133,0.011432,69719700000
IRAO,2014-01-29,0.011607,0.011687,0.0113,0.011336,37288300000
IRAO,2014-01-30,0.011323,0.011473,0.01078,0.01102,64917200000
IRAO,2014-01-31,0.01105,0.01116,0.01053,0.01054,51554100000
IRAO,2014-02-03,0.01052,0.010694,0.01031,0.01054,62039500000
IRAO,2014-02-04,0.010429,0.010595,0.010225,0.010559,35771900000
IRAO,2014-02-05,0.010575,0.010982,0.010575,0.01079,48888100000
IRAO,2014-02-06,0.010886,0.011088,0.010815,0.011015,42244000000
IRAO,2014-02-07,0.01112,0.011497,0.0111,0.01143,55190100000
IRAO,2014-02-10,0.011528,0.01164,0.011308,0.01134,45777200000
IRAO,2014-02-11,0.011368,0.011466,0.011129,0.011415,41616400000
IRAO,2014-02-12,0.0115,0.01157,0.011243,0.01137,37495800000
