symbol,date,open,high,low,close,volume
LSRG,2013-07-15,579.6,579.6,579.6,579.6,5
LSRG,2013-07-16,585.5,592.7,585.5,592.7,50
LSRG,2013-07-17,606.2,824.4,606.2,824.4,14
LSRG,2013-07-19,609.1,609.1,609.1,609.1,43
LSRG,2013-07-22,611.6,622.8,611.6,622.8,3
LSRG,2013-08-29,700.0,700.0,700.0,700.0,1
LSRG,2013-09-02,567.5,581.3,560.2,572.5,3854
LSRG,2013-09-03,573.9,582.3,562.2,565.0,5064
LSRG,2013-09-04,565.0,572.6,555.0,565.0,3528
LSRG,2013-09-05,566.5,581.3,564.1,580.3,15458
LSRG,2013-09-06,575.8,589.0,575.8,580.0,22353
LSRG,2013-09-09,580.0,599.0,580.0,582.0,10032
LSRG,2013-09-10,590.4,598.3,571.1,571.7,7962
LSRG,2013-09-11,578.9,580.5,571.3,572.0,7564
LSRG,2013-09-12,580.0,580.0,565.3,565.6,23338
LSRG,2013-09-13,568.9,570.9,542.5,543.0,16197
LSRG,2013-09-16,549.7,619.3,549.7,573.0,63693
LSRG,2013-09-17,573.0,573.0,565.0,567.0,2525
LSRG,2013-09-18,566.1,570.1,557.0,559.0,6881
LSRG,2013-09-19,566.8,588.7,566.8,587.0,13554
LSRG,2013-09-20,587.4,594.0,566.0,568.8,8397
LSRG,2013-09-23,558.2,572.9,558.2,560.1,3182
LSRG,2013-09-24,565.1,565.5,558.0,563.0,15726
LSRG,2013-09-25,565.0,565.5,555.5,558.1,3020
LSRG,2013-09-26,563.5,569.5,559.0,569.5,9412
LSRG,2013-09-27,570.0,570.0,556.2,568.9,4788
LSRG,2013-09-30,567.0,569.5,561.0,564.0,10750
LSRG,2013-10-01,563.2,571.9,563.2,568.0,1782
LSRG,2013-10-02,565.8,568.0,551.4,558.1,3395
LSRG,2013-10-03,558.3,568.7,545.8,551.3,19848
LSRG,2013-10-04,552.8,558.0,545.9,553.3,5078
LSRG,2013-10-07,552.4,552.4,544.7,548.1,3562
LSRG,2013-10-08,552.0,556.8,547.7,553.0,3405
LSRG,2013-10-09,555.6,564.3,551.7,564.3,5264
LSRG,2013-10-10,565.0,570.1,555.0,569.7,12203
LSRG,2013-10-11,575.0,575.4,556.5,567.9,12197
LSRG,2013-10-14,565.0,577.3,555.5,577.2,8297
LSRG,2013-10-15,577.7,599.3,577.7,599.3,13019
LSRG,2013-10-16,596.0,619.3,587.9,615.0,13675
LSRG,2013-10-17,615.7,624.3,595.3,606.0,6613
LSRG,2013-10-18,601.1,629.2,600.0,625.0,16089
LSRG,2013-10-21,621.0,621.0,598.1,601.0,26699
LSRG,2013-10-22,599.3,609.5,597.7,603.0,3171
LSRG,2013-10-23,599.3,602.1,594.3,595.8,3539
LSRG,2013-10-24,595.0,596.1,585.0,592.6,4646
LSRG,2013-10-25,592.0,597.7,586.1,592.0,6311
LSRG,2013-10-28,594.8,604.3,592.1,601.7,12605
LSRG,2013-10-29,600.3,609.0,595.3,600.9,9675
LSRG,2013-10-30,603.7,609.8,596.0,602.8,8622
LSRG,2013-10-31,597.9,602.7,585.3,585.3,2450
LSRG,2013-11-01,589.2,594.0,580.0,581.6,7978
LSRG,2013-11-05,580.0,585.8,577.4,582.8,2722
LSRG,2013-11-06,586.3,586.3,578.0,580.0,5439
LSRG,2013-11-07,582.9,594.3,578.0,585.3,4348
LSRG,2013-11-08,583.4,583.4,549.7,550.0,60784
LSRG,2013-11-11,551.1,555.5,544.9,546.5,13009
LSRG,2013-11-12,550.2,562.3,544.2,560.1,18176
LSRG,2013-11-13,558.3,564.0,550.5,550.5,8054
LSRG,2013-11-14,562.6,572.0,556.0,570.2,9881
LSRG,2013-11-15,570.3,570.9,551.4,560.0,10706
LSRG,2013-11-18,563.8,567.9,556.0,557.9,3310
LSRG,2013-11-19,561.0,565.5,556.3,560.0,3468
LSRG,2013-11-20,559.0,559.0,553.3,556.0,3516
LSRG,2013-11-21,555.0,558.3,553.1,555.0,20741
LSRG,2013-11-22,555.0,560.4,553.9,560.0,12283
LSRG,2013-11-25,560.9,561.9,534.3,548.0,18021
LSRG,2013-11-26,546.0,550.2,532.0,546.0,19793
LSRG,2013-11-27,546.0,553.0,545.0,552.2,6043
LSRG,2013-11-28,553.5,566.0,553.0,564.0,10906
LSRG,2013-11-29,564.3,574.0,560.5,573.0,18244
LSRG,2013-12-02,573.6,574.3,569.1,572.0,21394
LSRG,2013-12-03,569.3,569.5,557.1,563.9,24901
LSRG,2013-12-04,560.0,566.0,555.2,555.7,7855
LSRG,2013-12-05,561.8,567.2,555.0,558.0,1947
LSRG,2013-12-06,563.4,568.9,556.0,561.0,8219
LSRG,2013-12-09,561.0,566.6,556.1,565.9,4107
LSRG,2013-12-10,565.0,566.0,555.1,556.8,4785
LSRG,2013-12-11,561.0,561.0,545.0,557.4,7501
LSRG,2013-12-12,556.7,566.0,553.0,561.0,12296
LSRG,2013-12-13,563.8,569.5,561.6,568.0,6518
LSRG,2013-12-16,569.0,584.0,566.5,583.7,19477
LSRG,2013-12-17,583.7,586.3,577.4,581.0,2544
LSRG,2013-12-18,581.9,599.3,581.9,598.5,15459
LSRG,2013-12-19,600.1,604.3,586.0,587.9,15577
LSRG,2013-12-20,587.8,587.8,577.9,577.9,12901
LSRG,2013-12-23,582.5,618.9,580.1,611.9,42779
LSRG,2013-12-24,600.8,616.9,599.5,601.6,4047
LSRG,2013-12-25,601.5,612.8,591.8,594.4,1909
LSRG,2013-12-26,591.8,603.7,590.0,602.9,708
LSRG,2013-12-27,600.0,610.0,595.0,606.7,1575
LSRG,2013-12-30,605.7,615.3,600.2,610.8,2484
LSRG,2014-01-06,600.6,606.7,580.2,585.0,10681
LSRG,2014-01-08,583.0,607.9,579.2,598.6,7176
LSRG,2014-01-09,591.5,599.0,585.1,592.0,3811
LSRG,2014-01-10,593.2,593.2,585.0,590.0,18164
LSRG,2014-01-13,590.0,603.9,586.2,602.2,17492
LSRG,2014-01-14,595.0,614.3,590.0,609.5,25061
LSRG,2014-01-15,612.4,627.9,610.2,615.0,20752
LSRG,2014-01-16,620.0,626.9,597.1,597.4,15466
LSRG,2014-01-17,600.0,617.9,595.3,607.0,9004
LSRG,2014-01-20,604.9,611.5,603.5,605.0,44221
LSRG,2014-01-21,605.0,607.1,604.0,605.0,7733
LSRG,2014-01-22,603.1,607.6,600.1,600.6,16912
LSRG,2014-01-23,604.9,606.0,603.5,604.0,11541
LSRG,2014-01-24,604.3,604.5,592.9,596.5,6076
LSRG,2014-01-27,593.0,602.2,553.1,587.5,25413
LSRG,2014-01-28,678.7,678.7,580.1,591.5,7975
LSRG,2014-01-29,591.9,614.0,568.0,578.6,29592
LSRG,2014-01-30,581.3,583.7,557.5,559.0,52842
LSRG,2014-01-31,563.3,572.1,550.0,551.0,30538
LSRG,2014-02-03,551.1,559.0,541.1,544.5,19511
LSRG,2014-02-04,541.4,541.4,527.2,534.6,16080
LSRG,2014-02-05,539.0,552.1,535.8,549.9,44780
LSRG,2014-02-06,551.2,558.0,541.7,555.0,24560
LSRG,2014-02-07,555.5,569.8,550.2,569.8,21893
LSRG,2014-02-10,563.6,570.0,563.5,569.1,8223
LSRG,2014-02-11,567.6,584.0,566.0,580.9,18726
LSRG,2014-02-12,581.4,590.6,578.0,585.6,11599
LSRG,2014-02-13,583.0,595.0,581.6,585.0,35533
LSRG,2014-02-14,589.0,590.3,565.5,589.0,38239
LSRG,2014-02-17,590.7,598.8,585.3,591.5,15922
LSRG,2014-02-18,594.1,598.5,591.5,597.0,7500
LSRG,2014-02-19,599.0,599.2,587.2,590.4,10388
LSRG,2014-02-20,587.5,598.7,583.6,593.9,6201
LSRG,2014-02-21,597.9,600.0,591.5,591.7,4112
LSRG,2014-02-24,591.8,592.0,580.0,580.1,966
LSRG,2014-02-25,587.9,587.9,570.0,577.4,1789
LSRG,2014-02-26,575.0,581.8,567.0,571.0,966
LSRG,2014-02-27,568.8,576.3,554.6,565.0,7865
LSRG,2014-02-28,560.3,569.1,556.0,567.9,2888
LSRG,2014-03-03,549.5,549.5,450.0,465.0,52070
LSRG,2014-03-04,483.4,529.0,460.4,498.3,25961
LSRG,2014-03-05,500.2,500.3,472.3,477.4,54815
LSRG,2014-03-06,490.5,514.8,463.9,468.0,79909
