symbol,date,open,high,low,close,volume
MAGN,2014-06-09,6.84,6.989,6.674,6.835,15012800
MAGN,2014-06-10,6.843,6.857,6.72,6.762,5229600
MAGN,2014-06-11,6.796,6.843,6.731,6.77,3083500
MAGN,2014-06-16,6.755,6.979,6.671,6.848,25659900
MAGN,2014-06-17,6.519,6.955,6.519,6.857,8682700
MAGN,2014-06-18,6.857,6.917,6.774,6.8,4635900
MAGN,2014-06-19,6.888,6.888,6.718,6.773,5620700
MAGN,2014-06-20,6.786,6.786,6.658,6.728,6668400
MAGN,2014-06-23,6.733,6.888,6.594,6.601,8332500
MAGN,2014-06-24,6.601,6.699,6.59,6.699,5763000
MAGN,2014-06-25,6.671,6.671,6.545,6.56,5652900
MAGN,2014-06-26,6.58,6.63,6.521,6.628,4385500
MAGN,2014-06-27,6.65,6.72,6.63,6.67,3482000
MAGN,2014-06-30,6.7,6.799,6.649,6.693,6417200
MAGN,2014-07-01,6.684,6.765,6.665,6.679,6979500
MAGN,2014-07-02,6.696,6.815,6.69,6.798,8693100
MAGN,2014-07-03,6.799,6.849,6.765,6.814,7467100
MAGN,2014-07-04,6.819,6.92,6.666,6.699,6507900
MAGN,2014-07-07,6.73,6.85,6.7,6.775,7188500
MAGN,2014-07-08,6.8,6.869,6.711,6.763,7066800
MAGN,2014-07-09,6.787,6.843,6.712,6.816,8494600
MAGN,2014-07-10,6.82,6.912,6.718,6.744,15308400
MAGN,2014-07-11,6.8,6.89,6.68,6.693,8470700
MAGN,2014-07-14,6.745,6.747,6.602,6.646,4869300
MAGN,2014-07-15,6.668,6.811,6.601,6.8,5986300
MAGN,2014-07-16,6.77,6.97,6.757,6.92,12022000
MAGN,2014-07-17,6.915,6.949,6.778,6.887,18684300
MAGN,2014-07-18,6.78,6.89,6.745,6.82,11664200
MAGN,2014-07-21,6.825,6.839,6.502,6.502,15658100
MAGN,2014-07-22,6.494,6.598,6.474,6.556,11102200
MAGN,2014-07-23,6.578,6.622,6.451,6.463,10391000
MAGN,2014-07-24,6.447,6.718,6.381,6.681,16763400
MAGN,2014-07-25,6.653,6.699,6.568,6.63,10266100
MAGN,2014-07-28,6.592,6.679,6.474,6.49,9248700
MAGN,2014-07-29,6.509,6.641,6.494,6.595,9951000
MAGN,2014-07-30,6.574,6.739,6.475,6.681,13650100
MAGN,2014-07-31,6.681,6.939,6.68,6.78,15488700
MAGN,2014-08-01,6.701,6.849,6.691,6.757,10550100
MAGN,2014-08-04,6.841,6.882,6.777,6.78,9355600
MAGN,2014-08-05,6.804,6.848,6.719,6.758,5648300
MAGN,2014-08-06,6.704,6.748,6.45,6.46,15066000
MAGN,2014-08-07,6.28,6.53,6.215,6.38,17314800
MAGN,2014-08-08,6.384,6.691,6.36,6.627,23039200
MAGN,2014-08-11,6.73,6.849,6.728,6.784,10222500
MAGN,2014-08-12,6.802,6.814,6.692,6.751,5089000
MAGN,2014-08-13,6.648,6.85,6.648,6.794,9154900
MAGN,2014-08-14,6.795,6.839,6.703,6.79,10887400
MAGN,2014-08-15,6.802,6.848,6.757,6.82,7518500
MAGN,2014-08-18,6.798,6.84,6.75,6.789,4928900
MAGN,2014-08-19,6.825,6.899,6.778,6.871,13875900
MAGN,2014-08-20,6.897,7.422,6.868,7.42,46342400
MAGN,2014-08-21,7.49,7.61,7.385,7.418,32041400
MAGN,2014-08-22,7.725,7.725,7.205,7.35,17351000
MAGN,2014-08-25,7.368,7.56,7.368,7.55,7457400
MAGN,2014-08-26,7.555,7.592,7.366,7.396,12323500
MAGN,2014-08-27,7.38,7.526,7.369,7.439,5924600
MAGN,2014-08-28,7.449,7.489,7.28,7.334,20475300
MAGN,2014-08-29,7.284,7.42,7.284,7.347,7285500
MAGN,2014-09-01,7.46,7.46,7.154,7.178,10521500
MAGN,2014-09-02,7.183,7.297,7.101,7.264,6060100
MAGN,2014-09-03,7.264,7.485,7.264,7.459,13355800
MAGN,2014-09-04,7.48,7.533,7.351,7.506,11915800
MAGN,2014-09-05,7.3,7.555,7.3,7.478,8115100
MAGN,2014-09-08,7.51,7.511,7.415,7.464,5632500
MAGN,2014-09-09,7.446,7.579,7.444,7.498,7540200
MAGN,2014-09-10,7.44,7.487,7.4,7.428,4435800
MAGN,2014-09-11,7.4,7.491,7.292,7.353,9027700
MAGN,2014-09-12,7.349,7.625,7.283,7.576,18916400
MAGN,2014-09-15,7.576,7.7,7.53,7.683,14015400
MAGN,2014-09-16,7.681,7.845,7.67,7.8,13261600
MAGN,2014-09-17,7.808,7.844,7.615,7.789,16509600
MAGN,2014-09-18,7.802,7.86,7.71,7.73,9677500
MAGN,2014-09-19,7.75,7.879,7.625,7.879,12009500
MAGN,2014-09-22,7.8,7.824,7.72,7.75,8979800
MAGN,2014-09-23,7.777,7.808,7.66,7.718,7936500
MAGN,2014-09-24,7.752,7.781,7.7,7.75,4417900
MAGN,2014-09-25,7.767,7.81,7.651,7.7,8787000
MAGN,2014-09-26,7.638,7.787,7.638,7.77,5795900
MAGN,2014-09-29,7.775,7.845,7.705,7.8,9909800
MAGN,2014-09-30,7.8,7.88,7.751,7.802,7745600
MAGN,2014-10-01,7.793,7.847,7.63,7.72,10794400
MAGN,2014-10-02,7.72,7.849,7.672,7.815,8290400
MAGN,2014-10-03,7.867,7.963,7.715,7.93,14233500
MAGN,2014-10-06,7.932,8.03,7.918,7.977,8734100
MAGN,2014-10-07,8.029,8.058,7.803,8.0,14812300
MAGN,2014-10-08,8.058,8.058,7.912,8.019,8719900
MAGN,2014-10-09,8.084,8.119,7.958,7.999,9646500
MAGN,2014-10-10,7.97,7.97,7.832,7.904,9896700
MAGN,2014-10-13,7.856,8.02,7.856,8.006,5345800
MAGN,2014-10-14,8.053,8.216,8.001,8.19,10633700
MAGN,2014-10-15,8.201,8.239,8.08,8.166,7366500
MAGN,2014-10-16,8.219,8.219,7.963,8.16,22565100
MAGN,2014-10-17,8.171,8.218,8.04,8.176,11709400
MAGN,2014-10-20,8.135,8.23,8.135,8.188,6613200
MAGN,2014-10-21,8.235,8.288,8.163,8.241,8660400
MAGN,2014-10-22,8.27,8.285,7.975,7.98,8514500
MAGN,2014-10-23,7.946,7.96,7.52,7.654,23387100
MAGN,2014-10-24,7.675,7.956,7.625,7.956,13118200
MAGN,2014-10-27,8.0,8.584,7.998,8.571,31853800
MAGN,2014-10-28,8.58,9.175,8.58,9.15,39875100
MAGN,2014-10-29,9.203,9.467,9.103,9.312,30699600
MAGN,2014-10-30,9.28,9.43,9.187,9.2,23125700
MAGN,2014-10-31,9.251,9.45,9.251,9.417,20620300
