symbol,date,open,high,low,close,volume
MOEX,2013-04-04,47.95,48.65,47.7,48.13,210880
MOEX,2013-04-05,48.15,48.76,47.47,47.69,345780
MOEX,2013-04-08,48.07,48.08,47.51,47.54,227840
MOEX,2013-04-09,47.61,47.8,47.42,47.48,425000
MOEX,2013-04-10,47.37,47.44,46.96,46.96,140100
MOEX,2013-04-11,47.0,47.13,45.73,45.73,482700
MOEX,2013-04-12,45.79,45.88,45.39,45.63,749350
MOEX,2013-04-15,45.73,46.21,45.53,45.59,307500
MOEX,2013-04-16,45.39,45.43,42.65,43.43,380600
MOEX,2013-04-17,43.54,43.76,43.22,43.43,254050
MOEX,2013-04-18,43.28,43.54,42.62,42.63,200200
MOEX,2013-04-19,43.27,43.47,43.03,43.46,92620
MOEX,2013-04-22,43.82,43.85,43.53,43.65,106750
MOEX,2013-04-23,43.66,43.97,43.66,43.95,85000
MOEX,2013-04-24,44.09,44.53,44.09,44.52,102610
MOEX,2013-04-25,44.57,44.64,44.13,44.22,512500
MOEX,2013-04-26,44.37,44.92,44.32,44.68,2676010
MOEX,2013-04-29,44.69,44.76,44.44,44.61,132770
MOEX,2013-04-30,44.6,49.04,44.0,44.91,3503820
MOEX,2013-05-02,44.5,44.59,44.29,44.42,1180540
MOEX,2013-05-03,44.36,44.8,44.26,44.55,910300
MOEX,2013-05-06,45.0,46.8,45.0,46.1,1484670
MOEX,2013-05-07,46.2,47.2,46.2,47.2,838770
MOEX,2013-05-08,47.6,48.7,47.2,48.7,354300
MOEX,2013-05-10,47.8,49.13,47.8,48.6,444110
MOEX,2013-05-13,48.84,49.1,48.74,48.74,168070
MOEX,2013-05-14,48.76,49.25,48.76,48.87,349280
MOEX,2013-05-15,50.08,50.26,49.53,50.26,325170
MOEX,2013-05-16,49.97,50.27,49.95,50.27,192490
MOEX,2013-05-17,50.12,50.12,49.3,49.3,63000
MOEX,2013-05-20,49.2,49.21,48.47,48.72,111000
MOEX,2013-05-21,50.74,51.53,50.26,51.4,1516310
MOEX,2013-05-22,51.44,54.2,51.44,53.75,364310
MOEX,2013-05-23,53.6,53.94,53.55,53.85,883050
MOEX,2013-05-24,53.93,53.94,53.25,53.32,192550
MOEX,2013-05-27,53.44,53.44,52.97,53.29,50000
MOEX,2013-05-28,53.31,53.99,53.31,53.93,72860
MOEX,2013-05-29,52.9,53.88,52.9,53.68,6553290
MOEX,2013-05-30,53.39,53.52,53.05,53.46,247660
MOEX,2013-05-31,53.71,53.77,53.64,53.73,69260
MOEX,2013-06-03,53.51,53.61,52.85,52.85,759330
MOEX,2013-06-04,52.81,53.16,52.31,52.33,153520
MOEX,2013-06-05,52.73,52.73,52.44,52.58,309170
MOEX,2013-06-06,52.63,54.67,52.57,53.19,1084850
MOEX,2013-06-07,53.09,53.73,53.0,53.56,175000
MOEX,2013-06-10,53.6,53.64,53.46,53.6,325530
MOEX,2013-06-11,53.04,53.61,52.49,52.59,420000
MOEX,2013-06-13,51.96,52.15,51.96,52.11,365070
MOEX,2013-06-14,52.0,52.03,51.14,51.14,422500
MOEX,2013-06-17,51.68,54.12,51.43,52.56,285160
MOEX,2013-06-18,52.81,52.86,52.7,52.79,472080
MOEX,2013-06-19,52.88,53.05,51.93,51.98,272560
MOEX,2013-06-20,52.1,52.13,51.06,51.31,374980
MOEX,2013-06-21,50.92,51.16,49.86,50.22,347500
MOEX,2013-06-24,50.33,51.76,49.98,50.71,802020
MOEX,2013-06-25,51.39,52.3,51.36,51.65,1121000
MOEX,2013-06-26,51.89,52.64,51.68,52.17,868430
MOEX,2013-06-27,52.57,53.11,52.22,52.61,1399010
MOEX,2013-06-28,52.98,54.03,52.98,52.98,1433510
MOEX,2013-07-01,53.42,55.0,53.39,53.8,396710
MOEX,2013-07-02,53.72,53.93,53.56,53.82,447670
MOEX,2013-07-03,53.88,53.89,53.41,53.41,396160
MOEX,2013-07-04,53.8,53.89,53.54,53.58,351070
