symbol,date,open,high,low,close,volume
NLMK,2014-06-09,49.59,49.74,49.09,49.42,1740420
NLMK,2014-06-10,49.35,49.35,47.78,48.6,2858080
NLMK,2014-06-11,48.56,49.25,48.2,48.33,1747920
NLMK,2014-06-16,47.9,48.94,46.83,48.3,5256360
NLMK,2014-06-17,48.3,48.89,47.61,48.39,2565250
NLMK,2014-06-18,48.53,49.5,48.2,49.17,2450060
NLMK,2014-06-19,49.6,50.3,48.7,48.97,2394930
NLMK,2014-06-20,49.17,49.17,47.8,47.8,1778640
NLMK,2014-06-23,48.0,48.32,46.29,46.85,2543640
NLMK,2014-06-24,47.02,47.6,46.81,47.46,2674080
NLMK,2014-06-25,47.32,47.32,45.65,45.8,2119910
NLMK,2014-06-26,46.03,46.2,45.52,45.75,1407260
NLMK,2014-06-27,45.0,47.0,44.9,47.0,2929670
NLMK,2014-06-30,47.33,47.67,46.41,47.38,2318460
NLMK,2014-07-01,47.29,47.9,46.9,47.72,1775530
NLMK,2014-07-02,47.72,48.99,47.6,48.8,3193780
NLMK,2014-07-03,48.57,49.87,48.57,49.69,3029540
NLMK,2014-07-04,49.69,49.96,48.66,49.09,2445850
NLMK,2014-07-07,49.14,50.3,48.7,50.1,2148360
NLMK,2014-07-08,50.42,50.92,49.62,49.97,2735300
NLMK,2014-07-09,49.92,50.45,49.3,49.53,1785330
NLMK,2014-07-10,49.58,50.0,48.01,48.4,3045780
NLMK,2014-07-11,48.46,48.98,48.06,48.9,1700610
NLMK,2014-07-14,48.86,49.42,48.45,48.9,1241680
NLMK,2014-07-15,48.9,50.13,48.6,49.47,2223530
NLMK,2014-07-16,49.44,50.7,49.21,49.99,2633430
NLMK,2014-07-17,50.0,50.0,49.05,49.9,2905070
NLMK,2014-07-18,49.18,49.6,48.53,48.79,1923620
NLMK,2014-07-21,48.9,48.91,46.28,46.28,2743290
NLMK,2014-07-22,46.55,48.27,46.55,47.72,2558050
NLMK,2014-07-23,47.86,48.45,47.11,47.36,1454180
NLMK,2014-07-24,47.04,48.0,46.8,47.92,1179190
NLMK,2014-07-25,47.86,47.86,46.9,47.27,1688440
NLMK,2014-07-28,47.34,47.47,45.8,46.2,1670640
NLMK,2014-07-29,46.35,47.85,46.23,47.65,2063050
NLMK,2014-07-30,47.25,49.45,47.22,47.6,2236890
NLMK,2014-07-31,47.53,48.73,47.5,47.5,1930820
NLMK,2014-08-01,47.51,47.73,46.57,47.3,1456370
NLMK,2014-08-04,47.41,48.14,47.39,47.73,1906860
NLMK,2014-08-05,47.8,48.03,47.0,47.0,903880
NLMK,2014-08-06,46.91,47.95,46.13,46.62,2267070
NLMK,2014-08-07,46.42,47.83,46.23,46.83,3224810
NLMK,2014-08-08,46.84,48.69,46.63,48.32,2360780
NLMK,2014-08-11,48.53,50.5,48.52,49.5,2079710
NLMK,2014-08-12,49.14,49.74,48.6,48.99,1330410
NLMK,2014-08-13,48.89,51.35,48.71,51.33,3244390
NLMK,2014-08-14,51.75,51.87,50.46,50.81,3144340
NLMK,2014-08-15,50.5,51.62,50.36,51.4,1512450
NLMK,2014-08-18,51.0,51.61,50.63,51.28,1629420
NLMK,2014-08-19,51.29,53.0,51.29,52.83,1775460
NLMK,2014-08-20,52.97,54.0,52.52,53.93,2038350
NLMK,2014-08-21,54.0,54.54,53.34,53.9,2843590
NLMK,2014-08-22,53.58,54.1,53.09,54.1,1927700
NLMK,2014-08-25,54.0,54.73,53.66,54.29,1105340
NLMK,2014-08-26,54.25,54.43,53.7,53.83,973870
NLMK,2014-08-27,53.96,54.6,53.95,54.08,978110
NLMK,2014-08-28,54.0,54.08,52.62,53.58,5479810
NLMK,2014-08-29,53.47,54.11,52.72,53.26,1649620
NLMK,2014-09-01,53.44,54.05,52.26,52.36,2612950
NLMK,2014-09-02,52.38,52.9,52.0,52.65,1346480
NLMK,2014-09-03,52.67,54.94,52.5,54.39,3757780
NLMK,2014-09-04,54.49,54.95,53.81,54.62,1647820
NLMK,2014-09-05,54.5,55.66,54.38,54.55,1684950
NLMK,2014-09-08,54.55,56.28,54.22,55.19,2286170
NLMK,2014-09-09,55.23,55.95,54.51,54.55,1903960
NLMK,2014-09-10,54.5,54.56,53.92,54.1,1052680
NLMK,2014-09-11,54.25,54.9,53.8,54.0,1986020
NLMK,2014-09-12,54.11,54.96,53.56,54.9,1138460
NLMK,2014-09-15,54.57,55.5,53.9,55.26,3787060
NLMK,2014-09-16,55.33,57.14,55.17,57.05,2900440
NLMK,2014-09-17,57.15,57.69,56.24,57.34,2395230
NLMK,2014-09-18,57.32,57.9,56.65,56.65,1671780
NLMK,2014-09-19,56.72,57.04,56.23,56.34,1531740
NLMK,2014-09-22,56.03,57.0,56.03,56.26,1451470
NLMK,2014-09-23,56.06,56.73,55.76,56.23,1420460
NLMK,2014-09-24,56.49,57.0,56.23,56.26,1332730
NLMK,2014-09-25,56.45,57.29,56.0,56.1,1368510
NLMK,2014-09-26,56.08,56.96,55.55,56.9,1212460
NLMK,2014-09-29,57.0,57.62,56.0,56.22,2382150
NLMK,2014-09-30,56.48,57.7,56.01,57.62,2196040
NLMK,2014-10-01,57.55,58.38,57.11,57.82,1352340
NLMK,2014-10-02,57.445,57.7,56.365,56.93,1704010
NLMK,2014-10-03,56.985,57.7,55.1,55.645,2491450
NLMK,2014-10-06,56.35,56.675,55.32,55.865,1572900
NLMK,2014-10-07,55.905,56.145,54.53,55.0,1850250
