symbol,date,open,high,low,close,volume
PHOR,2013-08-14,623.9,623.9,623.9,623.9,2
PHOR,2013-08-15,621.7,1371.8,621.7,1371.8,30
PHOR,2013-09-02,995.0,995.0,922.0,929.9,4587
PHOR,2013-09-03,929.9,935.9,918.1,928.0,17285
PHOR,2013-09-04,817.6,944.7,817.6,937.7,10996
PHOR,2013-09-05,930.0,947.0,930.0,946.8,4909
PHOR,2013-09-06,944.1,948.8,930.3,944.9,10736
PHOR,2013-09-09,931.0,955.0,928.0,932.0,11373
PHOR,2013-09-10,938.8,959.9,930.7,951.0,7878
PHOR,2013-09-11,954.8,958.0,930.0,938.5,7706
PHOR,2013-09-12,944.7,944.8,921.5,935.3,5304
PHOR,2013-09-13,782.9,964.7,782.9,949.0,8824
PHOR,2013-09-16,944.4,989.5,938.5,976.9,23038
PHOR,2013-09-17,973.1,981.9,960.9,962.0,11383
PHOR,2013-09-18,953.1,973.0,953.1,955.0,8940
PHOR,2013-09-19,977.5,984.0,952.0,957.9,12639
PHOR,2013-09-20,951.0,980.0,951.0,965.0,7945
PHOR,2013-09-23,965.0,980.0,933.3,944.8,4557
PHOR,2013-09-24,941.8,959.0,940.5,957.5,7192
PHOR,2013-09-25,950.2,959.8,940.4,955.2,3863
PHOR,2013-09-26,957.4,979.0,948.2,976.3,9472
PHOR,2013-09-27,966.2,979.6,958.9,976.7,17451
PHOR,2013-09-30,972.9,978.8,968.8,969.3,3953
PHOR,2013-10-01,967.0,997.8,966.7,988.9,3622
PHOR,2013-10-02,986.0,993.6,954.7,966.0,9962
PHOR,2013-10-03,966.7,978.6,959.8,964.0,8087
PHOR,2013-10-04,969.7,977.7,960.2,977.6,4240
PHOR,2013-10-07,979.8,981.8,967.0,967.1,2162
PHOR,2013-10-08,971.5,1005.7,968.2,983.6,26794
PHOR,2013-10-09,980.4,1003.0,979.0,998.5,3321
PHOR,2013-10-10,997.1,1039.3,997.0,1023.0,23668
PHOR,2013-10-11,1029.0,1070.0,1000.0,1020.0,10852
PHOR,2013-10-14,1015.0,1040.8,1015.0,1038.3,7213
PHOR,2013-10-15,1035.0,1060.0,1027.2,1037.8,10244
PHOR,2013-10-16,1040.6,1044.5,1023.6,1033.9,20603
PHOR,2013-10-17,1025.1,1030.0,1008.8,1011.1,7389
PHOR,2013-10-18,1011.2,1015.3,1005.3,1013.9,19731
PHOR,2013-10-21,1010.6,1017.6,1006.0,1006.1,4212
PHOR,2013-10-22,1004.5,1010.0,1000.0,1000.0,8587
PHOR,2013-10-23,998.1,1000.2,971.0,983.0,49074
PHOR,2013-10-24,977.2,989.4,964.9,970.7,5729
PHOR,2013-10-25,972.4,975.0,960.0,964.1,4081
PHOR,2013-10-28,970.8,974.4,958.8,960.2,5931
PHOR,2013-10-29,957.7,970.0,951.1,960.0,7721
PHOR,2013-10-30,961.0,964.1,950.0,964.1,6905
PHOR,2013-10-31,954.0,979.9,954.0,970.0,5532
PHOR,2013-11-01,971.0,995.9,971.0,986.5,3936
