symbol,date,open,high,low,close,volume
PIKK,2013-09-02,64.8,65.0,63.52,64.07,68460
PIKK,2013-09-03,63.63,65.3,63.2,63.42,25100
PIKK,2013-09-04,63.37,63.37,62.1,62.69,74880
PIKK,2013-09-05,62.94,63.45,62.5,63.44,58120
PIKK,2013-09-06,66.7,66.7,62.51,62.51,50660
PIKK,2013-09-09,62.87,65.0,62.62,63.16,49620
PIKK,2013-09-10,63.98,65.93,63.09,63.84,60670
PIKK,2013-09-11,63.58,64.08,63.0,63.01,54270
PIKK,2013-09-12,63.01,63.84,62.07,63.71,49030
PIKK,2013-09-13,63.8,64.5,62.54,63.97,45670
PIKK,2013-09-16,64.32,65.83,63.49,64.55,287790
PIKK,2013-09-17,64.99,65.25,63.77,64.09,20270
PIKK,2013-09-18,63.67,64.01,62.68,63.68,138740
PIKK,2013-09-19,63.23,63.8,63.0,63.02,202290
PIKK,2013-09-20,63.44,63.44,62.74,63.17,71280
PIKK,2013-09-23,64.98,64.98,62.23,62.52,41270
PIKK,2013-09-24,62.61,62.98,59.59,62.2,120160
PIKK,2013-09-25,62.1,63.51,61.55,63.3,1076960
PIKK,2013-09-26,63.29,65.0,63.29,64.27,309480
PIKK,2013-09-27,64.27,64.47,63.63,64.41,179700
PIKK,2013-09-30,63.96,64.55,63.57,63.73,141040
PIKK,2013-10-01,63.69,64.37,63.69,64.15,210980
PIKK,2013-10-02,63.95,64.33,63.5,63.5,84050
PIKK,2013-10-03,63.1,64.1,62.99,63.0,284220
PIKK,2013-10-04,63.47,64.4,63.11,64.0,207610
PIKK,2013-10-07,63.34,64.92,63.0,63.61,218460
PIKK,2013-10-08,64.08,64.3,63.41,63.8,138170
PIKK,2013-10-09,63.67,64.44,63.14,64.3,118870
PIKK,2013-10-10,63.86,64.44,63.11,63.35,93190
PIKK,2013-10-11,63.35,63.9,62.57,63.2,92360
PIKK,2013-10-14,63.59,63.6,62.11,62.99,55780
PIKK,2013-10-15,63.0,63.3,62.7,63.0,130090
PIKK,2013-10-16,62.88,63.29,60.8,61.98,309550
PIKK,2013-10-17,62.0,62.98,61.88,62.04,92810
PIKK,2013-10-18,61.88,63.5,61.2,62.5,163620
PIKK,2013-10-21,62.72,63.5,62.25,63.0,162920
PIKK,2013-10-22,63.0,64.14,62.61,63.5,495340
PIKK,2013-10-23,62.86,63.95,62.85,63.21,302930
PIKK,2013-10-24,63.1,63.75,62.4,63.14,29650
PIKK,2013-10-25,63.48,63.5,62.42,62.47,31760
PIKK,2013-10-28,63.09,63.97,62.43,63.45,71110
PIKK,2013-10-29,63.12,63.5,62.09,63.11,68000
PIKK,2013-10-30,63.72,64.0,62.4,63.34,238980
PIKK,2013-10-31,63.25,63.49,62.48,63.04,32510
PIKK,2013-11-01,63.28,63.97,63.02,63.93,42020
PIKK,2013-11-05,63.61,63.93,62.81,63.0,77970
PIKK,2013-11-06,63.2,63.51,62.44,62.52,149250
PIKK,2013-11-07,62.4,63.29,62.16,62.8,34860
PIKK,2013-11-08,62.42,62.98,62.07,62.55,47710
PIKK,2013-11-11,63.2,63.24,62.6,62.6,37960
PIKK,2013-11-12,62.7,62.7,61.83,62.6,18910
PIKK,2013-11-13,62.37,63.12,61.5,62.02,438460
PIKK,2013-11-14,61.89,63.53,59.95,62.24,597150
PIKK,2013-11-15,62.05,62.61,61.92,62.05,24280
PIKK,2013-11-18,61.88,62.98,61.88,62.55,42370
PIKK,2013-11-19,62.36,62.85,61.71,61.88,106410
PIKK,2013-11-20,62.12,62.12,61.4,61.7,379420
PIKK,2013-11-21,61.64,62.6,60.16,61.71,583080
PIKK,2013-11-22,61.4,63.45,61.4,63.06,96350
PIKK,2013-11-25,63.72,63.95,62.15,62.67,214540
PIKK,2013-11-26,63.86,64.08,62.53,64.0,505890
PIKK,2013-11-27,63.84,64.08,63.28,63.84,626630
PIKK,2013-11-28,64.0,64.51,63.36,64.0,426080
PIKK,2013-11-29,64.0,64.01,62.65,63.9,230360
PIKK,2013-12-02,63.75,64.3,62.23,62.56,81140
PIKK,2013-12-03,63.35,63.35,60.22,60.87,220990
PIKK,2013-12-04,60.5,61.46,59.21,61.1,618990
PIKK,2013-12-05,61.5,62.51,60.51,61.01,526740
PIKK,2013-12-06,61.44,62.1,60.7,61.3,230220
PIKK,2013-12-09,61.0,61.51,60.9,61.3,34240
PIKK,2013-12-10,61.68,61.74,61.0,61.25,87270
PIKK,2013-12-11,62.42,62.42,60.93,61.2,329990
PIKK,2013-12-12,61.0,61.7,60.56,60.99,368350
PIKK,2013-12-13,61.0,64.18,61.0,64.1,1012310
PIKK,2013-12-16,64.05,64.83,63.33,64.25,377200
PIKK,2013-12-17,65.2,67.95,63.9,67.41,601640
PIKK,2013-12-18,67.6,70.45,66.64,70.3,1183010
PIKK,2013-12-19,70.85,72.15,70.0,71.26,966770
PIKK,2013-12-20,71.3,71.31,69.7,70.4,219380
PIKK,2013-12-23,70.4,72.05,70.06,70.9,326160
PIKK,2013-12-24,70.88,71.12,67.69,70.72,97770
PIKK,2013-12-25,70.03,71.77,69.21,70.75,264300
PIKK,2013-12-26,70.1,70.35,69.81,69.81,55890
PIKK,2013-12-27,69.69,70.8,69.51,70.3,55500
PIKK,2013-12-30,70.0,71.5,70.0,70.5,201930
PIKK,2014-01-06,70.13,70.13,67.62,67.7,162070
PIKK,2014-01-08,67.73,69.37,67.1,69.37,67700
PIKK,2014-01-09,68.18,69.32,67.61,68.44,89640
PIKK,2014-01-10,67.94,69.48,67.16,68.61,122010
PIKK,2014-01-13,68.5,71.32,68.06,70.6,98960
PIKK,2014-01-14,69.7,72.45,67.7,72.05,122830
PIKK,2014-01-15,70.01,74.74,69.27,72.5,642090
PIKK,2014-01-16,73.59,73.59,70.07,70.36,184480
PIKK,2014-01-17,72.49,72.49,69.55,69.7,90500
PIKK,2014-01-20,69.61,70.0,68.68,68.89,126600
PIKK,2014-01-21,68.94,69.7,68.05,68.8,99080
PIKK,2014-01-22,69.0,69.73,67.74,67.91,87500
PIKK,2014-01-23,67.99,68.54,66.88,66.88,78920
PIKK,2014-01-24,66.1,67.67,65.15,67.67,46690
PIKK,2014-01-27,67.95,67.95,65.25,65.7,96490
PIKK,2014-01-28,65.75,66.44,65.11,66.24,83060
PIKK,2014-01-29,65.45,67.0,64.51,64.6,185420
PIKK,2014-01-30,66.35,66.35,63.77,64.24,251130
PIKK,2014-01-31,64.56,67.05,63.04,67.0,1137370
PIKK,2014-02-03,66.99,66.99,64.8,65.0,333600
PIKK,2014-02-04,64.88,68.94,64.35,68.5,458100
PIKK,2014-02-05,68.5,72.58,68.31,72.43,2557150
PIKK,2014-02-06,71.86,72.95,70.64,71.55,126550
PIKK,2014-02-07,69.95,76.05,69.95,76.03,510440
PIKK,2014-02-10,75.99,76.79,74.09,76.49,952120
PIKK,2014-02-11,76.49,78.48,75.23,78.3,692890
