symbol,date,open,high,low,close,volume
POSI,2021-12-17,770.0,1238.2,700.0,994.8,461323
POSI,2021-12-20,1000.0,1043.0,960.0,980.0,167540
POSI,2021-12-21,999.4,1000.0,920.0,922.4,65707
POSI,2021-12-22,945.0,945.0,828.0,915.0,168904
POSI,2021-12-23,916.0,944.0,870.2,904.0,26867
POSI,2021-12-24,910.2,928.8,884.0,896.2,18220
POSI,2021-12-27,917.6,917.6,870.0,875.8,29883
POSI,2021-12-28,887.0,898.0,872.0,876.0,19887
POSI,2021-12-29,876.0,889.6,851.0,859.4,17153
POSI,2021-12-30,865.0,868.8,835.2,840.0,30692
POSI,2022-01-03,862.8,868.8,845.0,849.4,21000
POSI,2022-01-04,859.2,859.4,837.2,844.0,24930
POSI,2022-01-05,848.2,848.2,835.2,838.0,11910
POSI,2022-01-06,840.0,844.6,820.0,830.0,14241
POSI,2022-01-10,840.0,847.0,772.0,784.0,84506
POSI,2022-01-11,783.8,795.0,770.0,779.6,31182
POSI,2022-01-12,784.8,803.0,769.6,800.0,38671
POSI,2022-01-13,805.0,809.0,775.0,775.4,21211
POSI,2022-01-14,800.0,810.6,770.0,788.8,22570
POSI,2022-01-17,804.6,809.8,770.0,781.8,14199
POSI,2022-01-18,799.8,799.8,730.0,743.0,19211
POSI,2022-01-19,742.6,777.0,735.4,754.8,13733
POSI,2022-01-20,762.4,779.8,745.0,757.0,8355
POSI,2022-01-21,757.0,757.0,730.0,731.4,8274
POSI,2022-01-24,743.0,765.6,605.0,643.0,71634
POSI,2022-01-25,660.8,686.4,603.8,616.0,36933
POSI,2022-01-26,625.0,635.0,611.0,618.0,28440
POSI,2022-01-27,618.4,760.0,618.0,700.0,46432
POSI,2022-01-28,735.0,800.0,699.0,728.0,51077
POSI,2022-01-31,730.0,770.0,704.0,714.0,15926
POSI,2022-02-01,723.0,740.0,690.0,700.2,17394
POSI,2022-02-02,700.2,718.8,666.0,684.6,10336
POSI,2022-02-03,686.0,691.8,640.8,667.8,19691
POSI,2022-02-04,685.0,696.0,667.8,684.6,8860
POSI,2022-02-07,698.8,705.4,680.0,688.2,5209
POSI,2022-02-08,680.2,698.8,660.0,698.8,6291
POSI,2022-02-09,704.0,729.6,692.4,706.0,10975
POSI,2022-02-10,711.8,711.8,690.0,700.0,4557
POSI,2022-02-11,704.6,709.0,680.0,689.8,5042
POSI,2022-02-14,680.8,705.8,655.2,685.6,8243
POSI,2022-02-15,706.0,711.0,680.2,700.0,5895
POSI,2022-02-16,711.0,712.4,698.2,709.8,9144
POSI,2022-02-17,671.6,704.8,671.6,688.8,12135
POSI,2022-02-18,674.2,720.0,657.0,680.0,6584
POSI,2022-02-21,685.8,718.0,605.0,619.2,22385
POSI,2022-02-22,557.4,630.0,550.0,620.0,24910
POSI,2022-02-24,599.0,599.0,405.0,477.4,25054
POSI,2022-02-25,481.0,599.8,481.0,560.4,19116
POSI,2022-03-28,619.4,783.6,619.4,783.6,134810
POSI,2022-03-29,862.0,1095.8,862.0,1095.8,327041
POSI,2022-03-30,1125.0,1200.0,840.0,970.6,241944
POSI,2022-03-31,1060.0,1060.0,940.0,996.0,123282
POSI,2022-04-01,998.0,1032.8,980.0,1002.2,64348
POSI,2022-04-04,1100.0,1175.0,1012.2,1175.0,303588
POSI,2022-04-05,1199.6,1350.0,1062.2,1187.0,1278485
POSI,2022-04-06,1250.0,1250.0,1068.4,1104.0,407701
POSI,2022-04-07,1103.0,1103.0,1001.4,1063.2,270291
POSI,2022-04-08,1080.0,1096.0,1031.0,1056.6,81825
POSI,2022-04-11,1059.4,1074.8,1010.0,1025.0,91583
POSI,2022-04-12,1035.0,1044.0,925.0,955.0,164592
POSI,2022-04-13,950.0,1037.6,919.0,995.0,295063
POSI,2022-04-14,990.0,1020.0,932.8,958.0,63784
POSI,2022-04-15,958.0,969.0,935.0,944.0,52987
POSI,2022-04-18,944.0,988.0,944.0,947.4,40779
POSI,2022-04-19,948.0,958.8,900.0,925.2,55717
POSI,2022-04-20,940.0,940.8,892.2,910.0,73639
POSI,2022-04-21,910.2,917.0,851.8,858.4,71410
POSI,2022-04-22,863.0,925.0,821.2,898.8,103460
POSI,2022-04-25,916.8,918.8,845.0,860.0,49210
POSI,2022-04-26,872.6,894.0,824.0,881.8,42227
POSI,2022-04-27,897.0,925.0,882.2,917.0,61060
POSI,2022-04-28,920.4,980.0,905.0,912.6,82318
POSI,2022-04-29,940.0,940.0,900.0,917.0,32360
POSI,2022-05-04,970.0,970.0,911.2,926.0,73833
POSI,2022-05-05,915.0,955.0,905.0,935.8,45040
POSI,2022-05-06,945.0,945.0,913.4,926.0,27350
POSI,2022-05-11,930.4,958.8,930.0,950.0,40876
POSI,2022-05-12,961.0,1010.0,947.2,965.6,118738
POSI,2022-05-13,965.6,972.4,910.4,949.0,67136
POSI,2022-05-16,978.0,978.0,942.8,960.0,41495
POSI,2022-05-17,960.2,968.8,955.0,963.6,26511
POSI,2022-05-18,963.6,970.0,921.2,955.0,51926
POSI,2022-05-19,954.0,955.0,932.8,951.0,22929
POSI,2022-05-20,952.0,955.0,915.0,920.0,53884
POSI,2022-05-23,939.8,939.8,886.0,912.2,45016
POSI,2022-05-24,915.8,922.6,896.0,908.0,19463
POSI,2022-05-25,916.0,917.8,886.2,913.0,21092
POSI,2022-05-26,913.0,915.0,892.4,904.0,27596
POSI,2022-05-27,904.0,911.8,895.0,905.6,20374
POSI,2022-05-30,908.4,927.0,900.0,900.6,19280
POSI,2022-05-31,906.0,907.6,871.8,888.0,20941
POSI,2022-06-01,880.0,909.8,880.0,890.4,22332
POSI,2022-06-02,894.8,894.8,880.0,882.2,14885
POSI,2022-06-03,879.4,937.0,866.0,879.8,140176
POSI,2022-06-06,880.0,907.0,853.6,860.0,102012
POSI,2022-06-07,869.6,888.0,843.6,850.0,67330
POSI,2022-06-08,850.0,881.0,850.0,861.8,40611
POSI,2022-06-09,863.2,881.0,854.2,859.0,39277
POSI,2022-06-10,868.4,874.4,841.4,847.0,23290
POSI,2022-06-14,857.0,859.4,839.4,848.6,16124
POSI,2022-06-15,852.0,875.0,841.0,849.6,27795
POSI,2022-06-16,849.8,852.0,842.8,846.0,25800
POSI,2022-06-17,849.0,854.6,837.0,844.4,39800
POSI,2022-06-20,844.6,860.0,841.4,855.0,27834
POSI,2022-06-21,860.6,888.2,860.0,876.0,44983
POSI,2022-06-22,876.8,897.8,864.4,871.4,37063
POSI,2022-06-23,878.0,919.6,870.8,894.8,38287
POSI,2022-06-24,900.0,938.0,895.6,914.0,43468
POSI,2022-06-27,928.8,928.8,872.2,891.6,41158
POSI,2022-06-28,892.0,908.6,885.0,899.2,30233
POSI,2022-06-29,905.0,905.0,874.0,883.0,21342
POSI,2022-06-30,886.8,919.0,850.2,868.0,47477
POSI,2022-07-01,860.4,900.0,851.2,890.0,30874
POSI,2022-07-04,893.0,893.0,860.0,868.4,32944
POSI,2022-07-05,862.0,919.6,862.0,877.0,110445
POSI,2022-07-06,879.0,898.0,851.8,865.0,51934
POSI,2022-07-07,874.8,875.8,855.2,864.0,24088
POSI,2022-07-08,855.2,883.0,850.0,869.6,44514
POSI,2022-07-11,874.0,880.0,860.0,862.2,14343
POSI,2022-07-12,868.8,868.8,841.4,850.0,26320
POSI,2022-07-13,858.0,867.2,853.6,863.6,20401
POSI,2022-07-14,864.8,864.8,854.2,860.0,15019
POSI,2022-07-15,860.0,875.2,856.0,870.0,14735
POSI,2022-07-18,868.0,877.0,854.0,863.8,20963
POSI,2022-07-19,870.2,873.0,857.0,870.0,18859
POSI,2022-07-20,875.0,886.8,866.4,886.8,26279
POSI,2022-07-21,900.0,924.8,877.2,895.0,67950
POSI,2022-07-22,881.6,899.2,878.6,886.4,14876
POSI,2022-07-25,890.6,939.8,882.4,888.8,89060
POSI,2022-07-26,889.0,915.0,889.0,910.0,34489
POSI,2022-07-27,910.0,935.0,907.8,934.8,45282
POSI,2022-07-28,939.8,975.0,930.2,968.2,105944
POSI,2022-07-29,968.2,1000.0,968.2,990.0,108058
POSI,2022-08-01,991.0,1009.8,963.0,988.0,97614
POSI,2022-08-02,999.8,1070.0,965.0,1040.6,136645
POSI,2022-08-03,1064.2,1087.8,1040.0,1057.0,170303
POSI,2022-08-04,1057.6,1071.8,1011.0,1030.0,109181
POSI,2022-08-05,1040.0,1054.8,1000.8,1009.6,71242
POSI,2022-08-08,1015.2,1055.0,1015.2,1040.2,68088
POSI,2022-08-09,1044.8,1069.0,1040.0,1058.0,50808
POSI,2022-08-10,1060.0,1161.8,1045.0,1161.8,193840
POSI,2022-08-11,1161.6,1249.0,1142.0,1170.0,348596
POSI,2022-08-12,1188.0,1200.0,1180.0,1197.0,99118
POSI,2022-08-15,1235.0,1275.0,1077.8,1129.0,550161
POSI,2022-08-16,1139.0,1190.0,1129.0,1151.6,265176
POSI,2022-08-17,1150.0,1189.8,1150.0,1169.8,123898
POSI,2022-08-18,1169.0,1194.0,1141.0,1159.4,75807
POSI,2022-08-19,1159.4,1160.0,1130.2,1144.0,61735
POSI,2022-08-22,1144.0,1159.8,1121.0,1142.0,74031
POSI,2022-08-23,1150.0,1168.8,1143.2,1156.8,51496
POSI,2022-08-24,1156.6,1161.8,1147.0,1150.0,36518
POSI,2022-08-25,1147.0,1158.2,1146.2,1152.0,19083
POSI,2022-08-26,1154.0,1167.0,1145.0,1152.0,23837
POSI,2022-08-29,1153.0,1162.0,1148.0,1158.4,39960
POSI,2022-08-30,1159.0,1180.0,1148.8,1150.0,59247
POSI,2022-08-31,1035.0,1185.0,999.2,1165.0,101855
POSI,2022-09-01,1167.8,1248.8,1165.4,1220.0,190277
POSI,2022-09-02,1222.0,1250.0,1217.6,1220.0,83460
POSI,2022-09-05,1221.0,1282.0,1221.0,1273.0,123304
POSI,2022-09-06,1276.0,1346.0,1213.0,1295.6,362368
POSI,2022-09-07,1298.0,1350.0,1290.2,1347.0,242394
POSI,2022-09-08,1350.0,1372.0,1316.4,1328.0,235211
POSI,2022-09-09,1340.0,1345.0,1310.4,1325.0,59415
POSI,2022-09-12,1320.0,1335.8,1220.0,1323.2,76175
POSI,2022-09-13,1326.0,1330.0,1276.8,1290.2,91181
POSI,2022-09-14,1290.2,1308.0,1250.0,1278.0,100808
POSI,2022-09-15,1278.0,1330.4,1275.0,1315.0,94289
POSI,2022-09-16,1319.0,1339.0,1270.0,1296.0,82413
POSI,2022-09-19,1302.0,1335.0,1260.2,1293.0,165705
POSI,2022-09-20,1308.0,1316.0,1168.8,1208.8,277098
POSI,2022-09-21,1088.0,1235.0,1020.0,1195.2,278183
POSI,2022-09-22,1199.4,1230.0,1170.0,1179.4,161900
POSI,2022-09-23,1167.4,1175.6,1080.4,1104.8,161049
POSI,2022-09-26,1020.0,1100.0,951.0,1023.8,267428
POSI,2022-09-27,1080.0,1115.0,1030.0,1061.8,120694
POSI,2022-09-28,1086.0,1097.0,1042.0,1051.0,80657
POSI,2022-09-29,1070.0,1094.8,986.0,1028.0,168826
POSI,2022-09-30,1028.0,1058.0,970.0,1012.0,172473
POSI,2022-10-03,1035.8,1087.0,1023.8,1081.4,136825
POSI,2022-10-04,1100.0,1115.0,1054.4,1065.8,88493
POSI,2022-10-05,1065.8,1070.6,1017.0,1052.8,90714
POSI,2022-10-06,1060.2,1072.8,1049.0,1060.0,40031
POSI,2022-10-07,1060.0,1060.0,1015.0,1029.0,70479
POSI,2022-10-10,988.0,1048.8,961.0,1036.6,76288
POSI,2022-10-11,1046.2,1079.2,1037.6,1066.4,60526
POSI,2022-10-12,1071.0,1077.2,1056.0,1064.4,53911
POSI,2022-10-13,1072.8,1072.8,1044.4,1052.2,47470
POSI,2022-10-14,1057.8,1064.8,1029.2,1049.0,34940
POSI,2022-10-17,1057.0,1111.0,1052.2,1094.2,117991
POSI,2022-10-18,1096.0,1143.2,1078.2,1121.4,131985
POSI,2022-10-19,1118.0,1118.0,1070.0,1084.2,94931
POSI,2022-10-20,1095.0,1100.0,1084.4,1090.0,52606
POSI,2022-10-21,1084.0,1119.8,1082.0,1107.2,86764
POSI,2022-10-24,1121.4,1139.0,1114.4,1132.0,102696
POSI,2022-10-25,1135.0,1187.0,1135.0,1170.0,115381
POSI,2022-10-26,1192.8,1218.0,1172.8,1191.6,160445
POSI,2022-10-27,1200.0,1232.0,1194.2,1226.6,161000
POSI,2022-10-28,1234.0,1234.0,1175.0,1230.4,141247
POSI,2022-10-31,1240.4,1295.0,1240.0,1275.0,387964
POSI,2022-11-01,1280.2,1300.0,1276.0,1293.0,203481
POSI,2022-11-02,1297.8,1310.0,1237.0,1265.0,190508
