symbol,date,open,high,low,close,volume
ROSN,2014-06-09,238.08,241.79,237.02,240.36,6373420
ROSN,2014-06-10,246.48,246.48,239.65,242.8,5042580
ROSN,2014-06-11,242.41,249.66,242.12,249.66,12959310
ROSN,2014-06-16,249.01,254.87,245.67,253.3,19174760
ROSN,2014-06-17,253.25,257.3,250.1,251.59,7504200
ROSN,2014-06-18,251.52,252.58,249.23,250.87,7890720
ROSN,2014-06-19,253.0,254.23,249.24,249.89,8963490
ROSN,2014-06-20,250.65,251.84,248.07,250.11,6944910
ROSN,2014-06-23,250.28,253.3,250.0,252.3,4943100
ROSN,2014-06-24,253.05,258.3,252.7,257.81,6899670
ROSN,2014-06-25,256.36,257.69,248.74,250.0,6756610
ROSN,2014-06-26,251.25,252.44,248.5,249.24,4648100
ROSN,2014-06-27,249.9,251.24,247.11,249.49,4764260
ROSN,2014-06-30,249.67,250.11,246.35,249.3,3782240
ROSN,2014-07-01,248.95,250.35,247.17,250.16,2410840
ROSN,2014-07-02,250.52,255.29,249.72,255.19,6029760
ROSN,2014-07-03,255.1,258.55,255.1,257.7,5029670
ROSN,2014-07-04,256.85,259.0,253.9,253.9,5432990
ROSN,2014-07-07,244.0,248.99,241.12,248.99,6265420
ROSN,2014-07-08,248.9,254.5,248.64,249.99,7000330
ROSN,2014-07-09,249.0,249.9,245.32,247.95,4485820
ROSN,2014-07-10,248.1,249.72,242.2,244.95,7532330
ROSN,2014-07-11,245.9,246.65,242.61,246.01,4108780
ROSN,2014-07-14,246.48,247.88,241.57,242.0,3311240
ROSN,2014-07-15,242.58,244.44,240.5,241.92,5356490
ROSN,2014-07-16,241.9,245.3,240.73,244.18,4088830
ROSN,2014-07-17,237.0,237.0,229.02,233.7,10709070
ROSN,2014-07-18,229.02,232.18,229.02,231.75,7864560
ROSN,2014-07-21,220.83,231.48,220.83,225.91,5478310
ROSN,2014-07-22,227.76,229.5,226.23,226.76,7344200
ROSN,2014-07-23,229.52,229.52,220.11,221.8,6242370
ROSN,2014-07-24,222.0,222.45,220.21,222.45,5698180
ROSN,2014-07-25,222.38,223.99,219.65,220.84,8196760
ROSN,2014-07-28,220.61,220.97,214.39,218.21,8812750
ROSN,2014-07-29,218.7,221.44,217.06,220.3,6805200
ROSN,2014-07-30,218.95,226.87,217.01,224.0,9399760
ROSN,2014-07-31,224.99,226.72,222.12,223.0,5640440
ROSN,2014-08-01,222.09,224.0,219.42,221.79,5781690
ROSN,2014-08-04,221.33,223.38,219.0,219.9,3908940
ROSN,2014-08-05,221.01,221.78,219.08,220.0,3604190
ROSN,2014-08-06,219.9,223.76,218.55,219.55,5711540
ROSN,2014-08-07,218.79,222.99,218.68,221.0,7628050
ROSN,2014-08-08,221.33,222.55,219.51,219.54,3810580
