symbol,date,open,high,low,close,volume
RTKMP,2013-08-01,78.0,78.0,77.5,77.5,400
RTKMP,2013-08-28,75.4,75.4,75.4,75.4,100
RTKMP,2013-08-29,74.5,74.5,74.5,74.5,100
RTKMP,2013-09-02,76.18,76.18,71.11,71.97,198400
RTKMP,2013-09-03,72.4,73.7,72.01,72.51,220000
RTKMP,2013-09-04,72.7,73.52,71.98,73.25,340400
RTKMP,2013-09-05,73.25,73.98,71.72,72.85,586300
RTKMP,2013-09-06,72.9,73.22,72.3,72.99,653700
RTKMP,2013-09-09,72.85,73.65,72.34,73.04,656100
RTKMP,2013-09-10,73.38,74.74,73.25,73.39,635000
RTKMP,2013-09-11,74.05,74.05,72.9,73.4,680300
RTKMP,2013-09-12,73.59,74.5,72.34,72.49,671100
RTKMP,2013-09-13,72.6,73.2,71.82,72.03,368200
RTKMP,2013-09-16,72.5,72.86,71.83,71.97,565800
RTKMP,2013-09-17,71.96,72.47,71.86,72.05,503000
RTKMP,2013-09-18,72.04,72.23,71.56,71.67,328700
RTKMP,2013-09-19,72.2,72.24,71.33,71.95,791300
RTKMP,2013-09-20,71.94,72.14,70.59,71.47,472100
RTKMP,2013-09-23,71.29,71.68,70.31,70.49,392500
RTKMP,2013-09-24,70.15,70.84,69.4,70.35,583000
RTKMP,2013-09-25,70.54,71.59,70.36,71.16,438900
RTKMP,2013-09-26,70.57,72.0,70.57,71.5,481800
RTKMP,2013-09-27,71.8,71.84,71.14,71.31,262100
RTKMP,2013-09-30,71.24,71.52,70.81,70.98,104700
RTKMP,2013-10-01,71.23,71.26,70.2,71.1,111300
RTKMP,2013-10-02,71.19,71.62,70.64,70.66,844800
RTKMP,2013-10-03,70.98,71.29,70.29,70.58,343400
RTKMP,2013-10-04,70.58,71.07,70.3,71.0,440000
RTKMP,2013-10-07,71.0,71.34,70.94,71.1,608800
RTKMP,2013-10-08,71.27,72.25,71.27,71.84,4595800
RTKMP,2013-10-09,71.98,72.14,71.69,71.85,888900
RTKMP,2013-10-10,71.9,72.33,71.77,72.33,2327200
RTKMP,2013-10-11,72.4,72.99,71.8,72.14,638800
RTKMP,2013-10-14,72.65,72.65,71.8,72.0,395800
RTKMP,2013-10-15,72.05,72.13,71.67,71.99,664500
RTKMP,2013-10-16,71.67,72.15,71.62,72.08,1006500
RTKMP,2013-10-17,72.15,72.15,71.78,71.91,173500
RTKMP,2013-10-18,72.04,72.24,71.66,71.9,485500
RTKMP,2013-10-21,72.04,72.15,71.83,72.06,746200
RTKMP,2013-10-22,72.14,72.14,71.82,71.94,233500
RTKMP,2013-10-23,72.0,72.06,71.72,71.94,463600
RTKMP,2013-10-24,71.82,72.48,71.79,72.15,2785800
RTKMP,2013-10-25,72.26,73.05,72.26,73.04,3750700
RTKMP,2013-10-28,73.1,73.55,72.12,72.51,658100
RTKMP,2013-10-29,72.49,72.5,72.04,72.42,1246200
RTKMP,2013-10-30,72.47,72.65,72.1,72.6,3163600
RTKMP,2013-10-31,72.4,73.47,72.0,73.16,4149500
RTKMP,2013-11-01,72.92,75.7,72.91,75.6,3983600
RTKMP,2013-11-05,75.87,77.9,75.27,76.99,2198700
RTKMP,2013-11-06,77.03,78.13,76.53,77.7,2461000
RTKMP,2013-11-07,77.55,78.16,76.9,77.29,620400
RTKMP,2013-11-08,77.0,77.07,75.72,76.49,762300
RTKMP,2013-11-11,76.75,76.75,75.24,75.4,1503900
RTKMP,2013-11-12,76.02,77.2,75.21,77.01,2174300
RTKMP,2013-11-13,77.07,79.0,76.6,78.99,3804500
RTKMP,2013-11-14,79.08,79.95,78.53,78.9,2332400
RTKMP,2013-11-15,78.0,78.52,74.41,78.5,6659500
RTKMP,2013-11-18,77.57,78.96,77.01,78.29,490900
RTKMP,2013-11-19,78.08,78.43,77.11,77.58,475800
RTKMP,2013-11-20,77.15,77.34,75.65,76.94,469000
RTKMP,2013-11-21,75.63,75.63,74.23,74.31,1381800
RTKMP,2013-11-22,74.42,75.18,74.34,74.48,349300
RTKMP,2013-11-25,74.76,74.9,72.86,72.89,955600
RTKMP,2013-11-26,72.85,73.01,72.26,72.45,615800
RTKMP,2013-11-27,72.42,72.84,71.82,71.91,552600
RTKMP,2013-11-28,75.43,75.43,71.66,71.9,243500
