symbol,date,open,high,low,close,volume
SBER,2013-03-25,96.0,101.14,96.0,98.79,593680
SBER,2013-03-26,98.58,99.31,97.08,97.2,1283550
SBER,2013-03-27,97.9,98.0,95.39,96.75,1261950
SBER,2013-03-28,96.38,98.66,95.72,98.59,1971410
SBER,2013-03-29,98.6,99.09,98.32,98.76,782000
SBER,2013-04-01,98.37,99.43,97.55,98.07,2279650
SBER,2013-04-02,98.12,99.45,98.04,98.93,3555020
SBER,2013-04-03,98.9,99.71,98.69,99.59,3757240
SBER,2013-04-04,98.86,101.13,98.5,99.91,5172930
SBER,2013-04-05,99.88,100.84,98.4,99.38,5229210
SBER,2013-04-08,99.97,100.78,99.83,100.43,5080400
SBER,2013-04-09,101.24,102.62,100.7,102.53,6539720
SBER,2013-04-10,102.79,102.79,99.81,100.56,6477440
SBER,2013-04-11,100.78,100.79,99.45,100.31,9738330
SBER,2013-04-12,99.67,100.14,98.2,98.34,8770130
SBER,2013-04-15,97.68,97.69,95.05,95.48,9476270
SBER,2013-04-16,94.73,96.88,94.73,95.92,8746220
SBER,2013-04-17,96.62,96.62,93.72,94.58,12318170
SBER,2013-04-18,94.7,96.49,94.26,95.35,11438210
SBER,2013-04-19,96.3,96.86,95.67,96.22,10456040
SBER,2013-04-22,97.21,97.95,94.79,95.1,8487550
SBER,2013-04-23,94.44,96.5,94.05,96.46,9918070
SBER,2013-04-24,97.14,98.75,96.51,97.89,10809260
SBER,2013-04-25,98.17,99.35,93.0,96.11,17508370
SBER,2013-04-26,95.87,96.94,95.01,95.6,12505810
SBER,2013-04-29,95.69,96.8,94.7,94.83,9543700
SBER,2013-04-30,94.8,99.3,94.65,99.3,9242730
SBER,2013-05-02,98.75,101.29,98.75,100.84,8247370
SBER,2013-05-03,101.64,103.0,100.33,102.92,6583590
SBER,2013-05-06,103.29,103.29,102.03,102.28,5184770
SBER,2013-05-07,102.14,105.66,101.68,105.14,7598890
SBER,2013-05-08,105.37,105.83,104.23,105.81,7983670
SBER,2013-05-10,105.26,105.86,103.59,103.78,7276960
SBER,2013-05-13,103.55,103.86,101.95,103.34,8107650
SBER,2013-05-14,103.79,104.78,102.86,103.84,13107770
SBER,2013-05-15,104.33,104.39,102.4,103.22,8940580
SBER,2013-05-16,103.27,103.91,102.35,102.45,4241390
SBER,2013-05-17,101.9,105.28,101.8,105.17,5862860
SBER,2013-05-20,105.66,107.13,105.23,106.49,5986790
SBER,2013-05-21,106.21,109.42,105.89,108.9,7682260
SBER,2013-05-22,109.18,111.42,108.93,110.73,12471940
SBER,2013-05-23,108.6,108.6,105.61,105.61,10928200
SBER,2013-05-24,106.25,106.57,102.47,102.97,17144980
SBER,2013-05-27,103.62,103.83,102.15,102.86,9630270
SBER,2013-05-28,103.5,104.97,103.41,104.0,8500810
SBER,2013-05-29,103.29,103.42,99.9,99.9,13256870
SBER,2013-05-30,99.67,100.92,98.83,99.98,16543730
SBER,2013-05-31,100.55,100.61,97.75,99.0,17383700
SBER,2013-06-03,97.85,100.68,96.79,98.8,16609480
SBER,2013-06-04,100.0,101.52,98.71,98.71,7214140
SBER,2013-06-05,98.32,99.28,97.3,97.5,11474200
SBER,2013-06-06,97.29,98.17,96.26,96.91,9679300
SBER,2013-06-07,97.96,99.52,96.95,98.92,12679660
SBER,2013-06-10,99.73,100.63,97.3,97.9,10230620
SBER,2013-06-11,97.16,98.43,94.06,94.7,15916610
SBER,2013-06-13,93.52,93.52,90.47,91.85,17814630
SBER,2013-06-14,92.92,94.0,91.41,93.64,12751180
SBER,2013-06-17,94.2,95.85,93.92,95.74,12357410
SBER,2013-06-18,95.45,96.87,95.12,96.36,9357570
SBER,2013-06-19,96.32,96.55,94.11,94.63,8536010
SBER,2013-06-20,92.99,93.0,91.16,91.56,12178180
SBER,2013-06-21,90.68,93.28,90.68,91.24,12067320
SBER,2013-06-24,90.94,91.73,88.56,88.66,10446770
SBER,2013-06-25,89.25,90.69,89.16,89.74,8425930
SBER,2013-06-26,89.9,92.71,89.36,92.67,8379260
SBER,2013-06-27,92.98,93.74,91.9,93.2,9403380
SBER,2013-06-28,93.62,94.62,92.32,93.5,9615000
SBER,2013-07-01,93.74,95.67,93.11,95.4,7557200
SBER,2013-07-02,95.4,95.75,94.09,94.59,5917590
SBER,2013-07-03,93.69,93.98,92.69,93.18,6582450
