symbol,date,open,high,low,close,volume
SBERP,2013-03-25,75.02,75.05,73.21,73.35,120300
SBERP,2013-03-26,72.64,74.06,71.34,72.3,209100
SBERP,2013-03-27,73.04,73.04,71.85,72.28,76900
SBERP,2013-03-28,72.9,75.16,72.73,75.12,211700
SBERP,2013-03-29,75.28,75.28,74.97,75.11,91800
SBERP,2013-04-01,74.9,75.85,74.63,75.04,208200
SBERP,2013-04-02,74.87,75.44,74.2,74.62,300500
SBERP,2013-04-03,75.09,75.11,74.64,74.64,211800
SBERP,2013-04-04,74.3,75.81,72.36,74.87,836800
SBERP,2013-04-05,74.89,74.89,73.21,73.57,696800
SBERP,2013-04-08,73.99,74.29,72.01,72.7,216600
SBERP,2013-04-09,73.0,73.77,72.48,73.58,812400
SBERP,2013-04-10,72.0,73.0,71.1,71.42,617100
SBERP,2013-04-11,71.52,71.71,69.32,69.32,751600
SBERP,2013-04-12,69.29,69.88,68.32,69.47,314200
SBERP,2013-04-15,68.47,68.49,66.54,67.77,648600
SBERP,2013-04-16,67.08,68.18,67.0,67.59,450700
SBERP,2013-04-17,68.12,68.63,67.48,67.67,339500
SBERP,2013-04-18,67.93,69.72,67.55,68.39,781400
SBERP,2013-04-19,69.27,70.3,68.82,70.3,434800
SBERP,2013-04-22,70.83,71.42,69.65,69.65,395400
SBERP,2013-04-23,69.42,70.05,68.86,70.05,247000
SBERP,2013-04-24,70.7,71.5,70.41,70.53,191900
SBERP,2013-04-25,70.76,72.15,70.66,70.93,699800
SBERP,2013-04-26,70.24,70.74,69.42,70.32,349600
SBERP,2013-04-29,70.45,71.06,69.77,69.87,190200
SBERP,2013-04-30,69.65,72.21,69.1,72.21,425900
SBERP,2013-05-02,72.37,72.62,71.54,72.24,667800
SBERP,2013-05-03,72.8,73.23,71.88,72.77,468200
SBERP,2013-05-06,72.9,73.66,72.9,73.35,470000
SBERP,2013-05-07,73.22,74.91,73.19,74.73,214300
SBERP,2013-05-08,74.88,75.83,74.87,75.83,147300
SBERP,2013-05-10,75.84,75.84,73.05,75.39,333900
SBERP,2013-05-13,74.71,75.81,74.48,75.81,467100
SBERP,2013-05-14,75.43,76.95,75.28,75.57,523300
SBERP,2013-05-15,75.87,75.93,74.7,75.27,402900
SBERP,2013-05-16,75.42,75.56,74.86,75.16,266800
SBERP,2013-05-17,75.36,76.48,74.89,75.91,313500
SBERP,2013-05-20,76.48,77.42,76.07,77.2,211800
