symbol,date,open,high,low,close,volume
SIBN,2014-06-09,148.07,149.49,145.53,148.92,175470
SIBN,2014-06-10,148.84,149.7,148.02,149.11,52330
SIBN,2014-06-11,149.01,154.99,148.9,152.5,174280
SIBN,2014-06-16,152.77,153.25,151.18,153.0,164510
SIBN,2014-06-17,153.0,156.99,153.0,155.5,142370
SIBN,2014-06-18,155.99,157.5,154.37,156.69,230500
SIBN,2014-06-19,156.02,157.5,152.63,153.5,356680
SIBN,2014-06-20,149.03,151.85,148.21,150.61,445940
SIBN,2014-06-23,149.98,152.88,148.3,151.59,159460
SIBN,2014-06-24,150.45,152.25,150.45,151.18,80690
SIBN,2014-06-25,151.0,152.99,149.01,149.23,98790
SIBN,2014-06-26,149.95,150.7,146.02,147.0,233450
SIBN,2014-06-27,146.95,148.9,146.51,147.75,92910
SIBN,2014-06-30,148.73,150.5,147.98,150.5,193680
SIBN,2014-07-01,152.5,152.5,148.53,149.85,128770
SIBN,2014-07-02,150.39,151.88,149.6,151.41,140100
SIBN,2014-07-03,151.34,152.34,148.69,148.69,182050
SIBN,2014-07-04,150.79,150.99,148.8,148.85,99410
SIBN,2014-07-07,150.85,152.29,149.01,151.6,63960
SIBN,2014-07-08,151.8,152.8,150.7,151.58,75290
SIBN,2014-07-09,151.25,151.8,147.05,147.79,116760
SIBN,2014-07-10,147.9,148.99,142.51,143.15,440120
SIBN,2014-07-11,143.5,145.69,142.54,144.5,65760
SIBN,2014-07-14,144.97,145.28,143.0,143.78,104130
SIBN,2014-07-15,144.19,144.64,142.14,142.75,83780
SIBN,2014-07-16,143.06,143.24,141.85,142.0,184980
SIBN,2014-07-17,141.74,141.86,139.03,139.73,78850
SIBN,2014-07-18,138.93,140.87,138.14,139.7,146590
SIBN,2014-07-21,139.74,140.58,138.07,138.21,227570
SIBN,2014-07-22,138.33,139.63,136.51,137.0,287340
SIBN,2014-07-23,137.47,138.29,136.01,136.46,112640
SIBN,2014-07-24,136.08,137.25,136.02,136.83,39390
SIBN,2014-07-25,136.09,138.49,134.37,135.0,155630
SIBN,2014-07-28,134.95,135.58,133.06,133.32,144970
SIBN,2014-07-29,133.44,134.18,131.15,132.74,160920
SIBN,2014-07-30,132.4,135.49,131.66,133.55,163450
SIBN,2014-07-31,133.14,134.68,132.55,133.09,129550
SIBN,2014-08-01,132.62,133.11,132.0,133.11,101710
SIBN,2014-08-04,133.27,133.89,131.79,132.54,120510
SIBN,2014-08-05,132.97,133.27,131.5,132.0,113560
SIBN,2014-08-06,133.97,133.97,129.12,129.23,299800
SIBN,2014-08-07,129.08,131.01,128.05,129.2,224290
SIBN,2014-08-08,129.21,131.48,129.07,129.99,143820
SIBN,2014-08-11,130.83,137.87,130.0,134.76,417830
SIBN,2014-08-12,135.38,141.19,134.55,138.22,658760
SIBN,2014-08-13,138.0,140.5,136.06,140.19,145770
SIBN,2014-08-14,140.75,141.05,138.71,140.28,195750
SIBN,2014-08-15,141.1,141.47,139.5,140.73,67410
SIBN,2014-08-18,140.92,141.14,140.21,140.61,87610
SIBN,2014-08-19,140.92,143.5,140.5,142.4,165620
SIBN,2014-08-20,142.4,147.77,142.4,146.94,230920
SIBN,2014-08-21,147.0,148.99,146.3,146.75,271310
SIBN,2014-08-22,146.28,147.99,145.21,146.46,66380
SIBN,2014-08-25,146.48,146.79,145.54,146.79,37980
SIBN,2014-08-26,146.73,147.99,145.34,146.16,64680
SIBN,2014-08-27,146.88,147.54,146.38,147.18,31680
SIBN,2014-08-28,146.1,149.17,142.13,143.18,164160
SIBN,2014-08-29,142.66,142.99,139.66,141.45,91440
SIBN,2014-09-01,141.95,142.83,141.03,141.87,39400
SIBN,2014-09-02,141.65,143.5,140.0,140.76,79500
SIBN,2014-09-03,140.72,146.0,140.57,145.85,249750
SIBN,2014-09-04,145.69,147.0,143.8,146.97,166510
SIBN,2014-09-05,145.59,147.99,144.31,147.0,353310
SIBN,2014-09-08,146.9,147.47,142.71,143.52,375090
SIBN,2014-09-09,143.57,144.84,143.4,144.17,340790
SIBN,2014-09-10,144.04,146.5,143.0,146.1,232070
SIBN,2014-09-11,146.5,146.84,144.5,144.58,220510
SIBN,2014-09-12,144.41,148.0,143.5,147.18,167250
SIBN,2014-09-15,147.16,147.25,145.3,145.63,113710
SIBN,2014-09-16,145.64,146.6,144.76,146.39,207320
SIBN,2014-09-17,146.19,146.19,143.09,143.69,230970
SIBN,2014-09-18,143.74,144.33,142.13,143.18,280610
SIBN,2014-09-19,143.38,144.15,140.73,140.73,259290
SIBN,2014-09-22,141.02,142.02,140.61,141.08,91290
SIBN,2014-09-23,141.76,142.23,140.8,141.0,66580
SIBN,2014-09-24,141.11,142.25,140.9,141.96,179390
SIBN,2014-09-25,142.01,142.51,141.05,141.05,52400
SIBN,2014-09-26,141.04,142.18,140.92,141.4,115940
SIBN,2014-09-29,142.14,144.5,141.33,142.04,222210
SIBN,2014-09-30,142.08,144.2,142.08,144.2,140820
SIBN,2014-10-01,144.1,144.9,143.1,144.1,67400
SIBN,2014-10-02,144.1,144.4,142.5,144.2,168350
SIBN,2014-10-03,140.8,146.5,140.7,145.3,262440
SIBN,2014-10-06,145.8,147.9,145.5,147.6,118220
SIBN,2014-10-07,147.6,148.2,145.8,147.9,81190
SIBN,2014-10-08,147.9,148.4,146.4,148.0,91230
SIBN,2014-10-09,148.5,149.0,145.7,146.1,142190
