symbol,date,open,high,low,close,volume
SNGS,2014-06-09,27.152,27.33,26.831,26.942,14903900
SNGS,2014-06-10,27.0,27.394,26.7,27.394,15981600
SNGS,2014-06-11,27.37,27.65,27.204,27.559,22255600
SNGS,2014-06-16,27.4,27.635,27.0,27.351,68023500
SNGS,2014-06-17,28.121,28.121,27.313,27.792,24434500
SNGS,2014-06-18,27.842,28.388,27.768,28.184,25750100
SNGS,2014-06-19,28.4,28.474,27.211,27.248,22542500
SNGS,2014-06-20,27.098,27.318,26.763,27.186,18556500
SNGS,2014-06-23,27.275,27.498,27.06,27.275,11518100
SNGS,2014-06-24,27.37,27.825,27.317,27.8,19342600
SNGS,2014-06-25,27.599,27.699,26.7,26.717,19274200
SNGS,2014-06-26,26.855,26.928,26.28,26.5,14867200
SNGS,2014-06-27,26.703,26.73,26.257,26.6,13404200
SNGS,2014-06-30,26.641,26.696,26.111,26.436,13080400
SNGS,2014-07-01,26.968,26.968,26.12,26.673,13177800
SNGS,2014-07-02,26.627,27.484,26.627,27.484,22251100
SNGS,2014-07-03,27.629,27.629,27.169,27.26,8955800
SNGS,2014-07-04,27.728,27.728,26.301,26.595,17264300
SNGS,2014-07-07,26.647,27.143,26.584,27.0,14342100
SNGS,2014-07-08,26.94,27.35,26.752,26.791,16403700
SNGS,2014-07-09,27.271,27.271,26.417,26.99,18315400
SNGS,2014-07-10,27.724,27.724,26.3,26.652,24425600
SNGS,2014-07-11,26.704,27.0,26.471,26.9,16061500
SNGS,2014-07-14,26.99,27.0,26.299,26.38,17191900
SNGS,2014-07-15,25.596,26.219,25.596,26.022,21366100
SNGS,2014-07-16,26.0,26.456,25.551,25.965,22742400
SNGS,2014-07-17,25.55,25.856,25.379,25.59,23377800
SNGS,2014-07-18,25.3,25.568,24.778,24.811,27543100
SNGS,2014-07-21,24.93,24.967,24.452,24.555,28105300
SNGS,2014-07-22,24.6,25.327,24.6,24.851,25969700
SNGS,2014-07-23,24.995,25.103,24.577,24.92,14905700
SNGS,2014-07-24,24.7,25.077,24.653,24.882,18261700
SNGS,2014-07-25,24.975,25.03,24.549,24.86,15945600
SNGS,2014-07-28,24.8,25.0,24.421,24.586,19337000
SNGS,2014-07-29,24.608,24.992,24.577,24.821,18467000
SNGS,2014-07-30,24.775,25.3,24.65,24.792,21345500
SNGS,2014-07-31,24.997,25.018,24.778,24.86,13323300
SNGS,2014-08-01,25.16,25.627,24.601,25.511,16795300
SNGS,2014-08-04,25.5,26.435,25.25,26.435,39351200
SNGS,2014-08-05,26.328,26.328,25.35,25.365,23851900
SNGS,2014-08-06,25.325,25.628,25.0,25.108,30489400
SNGS,2014-08-07,25.001,25.446,24.959,25.072,26964400
SNGS,2014-08-08,25.15,25.592,25.065,25.269,15607600
SNGS,2014-08-11,25.38,25.9,25.38,25.47,13286700
SNGS,2014-08-12,25.586,25.663,25.303,25.355,10203000
SNGS,2014-08-13,25.363,25.955,25.355,25.874,24108900
SNGS,2014-08-14,25.748,26.469,25.73,26.25,24275800
SNGS,2014-08-15,26.25,26.377,26.02,26.116,16951300
SNGS,2014-08-18,26.052,26.255,25.778,26.038,11620200
SNGS,2014-08-19,26.035,26.7,25.974,26.59,16549700
SNGS,2014-08-20,26.59,26.915,26.42,26.859,14487500
SNGS,2014-08-21,26.817,27.2,26.8,27.15,18508500
SNGS,2014-08-22,27.08,27.211,26.523,26.583,17988000
SNGS,2014-08-25,27.015,27.015,26.592,26.65,6654000
SNGS,2014-08-26,26.75,26.765,26.5,26.5,10456900
SNGS,2014-08-27,26.388,26.725,26.3,26.64,14599900
SNGS,2014-08-28,26.64,26.64,25.789,26.2,34274200
SNGS,2014-08-29,26.098,26.483,25.525,25.525,17096400
