symbol,date,open,high,low,close,volume
SNGSP,2014-06-09,27.5,27.59,27.313,27.48,12674200
SNGSP,2014-06-10,27.394,27.58,27.311,27.55,14035900
SNGSP,2014-06-11,27.472,28.15,27.444,28.15,27208800
SNGSP,2014-06-16,28.3,28.3,27.87,28.27,68059900
SNGSP,2014-06-17,28.986,28.986,28.2,28.2,22101600
SNGSP,2014-06-18,28.2,29.1,28.2,29.1,37906800
SNGSP,2014-06-19,29.475,29.475,28.364,28.411,29664000
SNGSP,2014-06-20,28.551,28.551,27.859,27.859,21161600
SNGSP,2014-06-23,28.001,28.489,27.998,28.25,20111600
SNGSP,2014-06-24,26.994,28.979,26.994,28.75,28189100
SNGSP,2014-06-25,28.502,29.099,28.126,28.16,18307800
SNGSP,2014-06-26,28.381,28.59,27.962,28.185,19616400
SNGSP,2014-06-27,28.499,28.499,28.044,28.255,14263700
SNGSP,2014-06-30,27.983,28.283,27.472,28.0,23086700
SNGSP,2014-07-01,27.965,28.08,27.611,27.811,15362300
SNGSP,2014-07-02,27.875,28.22,27.824,28.19,21503300
SNGSP,2014-07-03,28.2,28.493,28.14,28.28,15931500
SNGSP,2014-07-04,28.272,28.384,27.712,27.786,16341700
SNGSP,2014-07-07,28.555,28.555,27.8,28.0,24238300
SNGSP,2014-07-08,28.074,28.42,28.0,28.223,25781900
SNGSP,2014-07-09,28.25,28.667,28.065,28.62,26436500
SNGSP,2014-07-10,28.811,28.946,28.322,28.74,51506600
SNGSP,2014-07-11,28.568,28.848,28.555,28.706,45210400
SNGSP,2014-07-14,28.708,29.02,28.708,28.92,51528700
SNGSP,2014-07-15,26.855,27.058,26.32,26.85,55166400
SNGSP,2014-07-16,26.711,27.2,26.707,27.127,36150800
SNGSP,2014-07-17,25.0,27.027,24.905,26.888,27099200
SNGSP,2014-07-18,26.46,26.85,26.35,26.61,30469900
SNGSP,2014-07-21,26.61,26.684,25.125,25.25,41965100
SNGSP,2014-07-22,25.719,26.298,25.469,26.289,28014900
SNGSP,2014-07-23,26.31,26.5,25.953,26.5,20330500
SNGSP,2014-07-24,26.587,26.587,26.277,26.5,18913700
SNGSP,2014-07-25,26.575,26.78,26.128,26.26,9249700
SNGSP,2014-07-28,26.158,26.158,25.4,25.4,17578400
SNGSP,2014-07-29,25.499,25.721,25.216,25.5,18515400
SNGSP,2014-07-30,25.48,26.477,25.372,26.0,28554700
SNGSP,2014-07-31,26.165,26.684,26.131,26.33,35288700
SNGSP,2014-08-01,26.197,26.264,25.83,26.25,25749100
SNGSP,2014-08-04,26.251,26.63,26.224,26.302,21349600
SNGSP,2014-08-05,26.443,26.449,26.1,26.25,17943900
SNGSP,2014-08-06,26.238,26.477,26.14,26.16,29859000
SNGSP,2014-08-07,26.154,26.22,25.126,25.38,37368700
SNGSP,2014-08-08,25.346,26.1,25.225,25.82,20714700
SNGSP,2014-08-11,26.13,26.454,25.923,26.3,13247100
SNGSP,2014-08-12,26.422,26.64,26.21,26.62,16429800
SNGSP,2014-08-13,26.599,27.99,26.598,27.99,46490000
SNGSP,2014-08-14,28.0,28.33,27.726,28.0,38167800
SNGSP,2014-08-15,28.375,28.375,27.5,27.903,17279600
SNGSP,2014-08-18,27.919,27.931,27.364,27.489,14350100
SNGSP,2014-08-19,27.496,27.649,26.866,26.955,32025800
SNGSP,2014-08-20,26.971,27.274,26.801,27.274,22149400
SNGSP,2014-08-21,27.28,27.91,27.2,27.699,22579600
SNGSP,2014-08-22,27.317,27.837,26.943,27.6,21212900
SNGSP,2014-08-25,27.533,27.796,27.501,27.644,4467300
SNGSP,2014-08-26,27.699,27.883,27.412,27.63,15816700
SNGSP,2014-08-27,27.688,27.95,27.612,27.72,8096900
SNGSP,2014-08-28,27.711,27.746,27.212,27.69,33568700
SNGSP,2014-08-29,27.504,27.682,27.014,27.198,31054900
SNGSP,2014-09-01,27.077,27.4,26.61,26.651,32204500
SNGSP,2014-09-02,26.254,26.784,26.254,26.505,17582500
SNGSP,2014-09-03,26.148,27.37,26.148,27.22,31264400
SNGSP,2014-09-04,27.107,27.7,27.096,27.55,15040300
SNGSP,2014-09-05,27.435,27.832,27.231,27.6,26681400
SNGSP,2014-09-08,27.679,27.747,27.252,27.481,14779200
SNGSP,2014-09-09,27.5,27.869,27.482,27.85,15547400
SNGSP,2014-09-10,27.805,28.219,27.634,28.219,25794000
SNGSP,2014-09-11,28.3,28.439,27.85,28.048,28290900
SNGSP,2014-09-12,28.038,28.689,27.7,28.3,30454400
SNGSP,2014-09-15,28.307,28.675,28.152,28.45,30660000
SNGSP,2014-09-16,28.45,29.09,28.302,29.056,40054300
SNGSP,2014-09-17,29.0,29.447,28.516,28.8,34397700
SNGSP,2014-09-18,28.801,28.9,28.3,28.424,16572300
SNGSP,2014-09-19,28.4,28.545,27.988,28.4,27629900
SNGSP,2014-09-22,28.294,28.371,27.879,27.879,14509800
SNGSP,2014-09-23,28.001,28.49,27.751,28.4,19033200
SNGSP,2014-09-24,28.725,28.799,28.21,28.251,13716900
SNGSP,2014-09-25,27.494,28.74,27.494,28.542,17604000
SNGSP,2014-09-26,28.395,29.139,28.282,28.9,21263800
SNGSP,2014-09-29,28.9,29.199,28.171,28.171,22558200
SNGSP,2014-09-30,28.171,28.304,27.3,27.3,42023100
SNGSP,2014-10-01,27.215,27.615,26.575,26.6,29538700
SNGSP,2014-10-02,26.6,26.99,26.3,26.4,30399000
SNGSP,2014-10-03,26.605,27.085,26.55,26.75,32843500
SNGSP,2014-10-06,26.65,27.52,26.65,27.275,37460200
SNGSP,2014-10-07,27.275,27.51,26.86,26.96,25317000
SNGSP,2014-10-08,27.0,27.15,26.51,26.585,50272100
SNGSP,2014-10-09,26.84,27.105,26.725,26.915,23882800
SNGSP,2014-10-10,26.695,26.9,26.47,26.65,26473300
SNGSP,2014-10-13,26.55,27.2,26.55,27.05,21684800
SNGSP,2014-10-14,27.01,27.395,26.95,27.125,34939000
SNGSP,2014-10-15,27.1,27.22,26.715,26.87,39229300
SNGSP,2014-10-16,26.87,27.12,26.59,26.65,47931300
SNGSP,2014-10-17,26.845,27.17,26.68,26.9,37634400
SNGSP,2014-10-20,27.035,27.23,26.295,26.33,66431300
SNGSP,2014-10-21,26.3,26.85,26.06,26.73,57694500
SNGSP,2014-10-22,26.945,26.945,26.3,26.35,35686200
SNGSP,2014-10-23,26.3,26.69,25.95,26.625,46469500
SNGSP,2014-10-24,26.6,26.97,26.445,26.81,29676400
SNGSP,2014-10-27,27.09,27.785,27.005,27.785,51491200
SNGSP,2014-10-28,27.8,28.3,27.78,28.195,40587200
SNGSP,2014-10-29,28.3,28.85,27.865,28.85,40939700
SNGSP,2014-10-30,28.505,29.24,28.505,29.12,38600100
SNGSP,2014-10-31,29.2,29.495,29.055,29.495,40844100
SNGSP,2014-11-03,29.555,30.47,29.41,30.255,20242500
SNGSP,2014-11-05,30.11,31.35,29.6,31.31,41195800
SNGSP,2014-11-06,31.31,32.37,31.25,31.405,48376800
SNGSP,2014-11-07,31.69,32.25,31.405,32.0,67967400
SNGSP,2014-11-10,32.05,33.1,31.92,32.805,60817300
SNGSP,2014-11-11,33.12,33.67,32.4,33.3,46704700
SNGSP,2014-11-12,33.085,33.5,32.55,32.55,57258800
SNGSP,2014-11-13,32.5,32.6,31.81,31.925,51280200
SNGSP,2014-11-14,31.8,33.15,31.565,32.57,50578300
SNGSP,2014-11-17,32.41,33.44,32.305,32.85,74428000
SNGSP,2014-11-18,33.095,33.905,32.85,33.75,56627200
SNGSP,2014-11-19,34.025,34.98,33.72,34.98,62641500
SNGSP,2014-11-20,35.0,36.7,34.75,35.345,101784800
SNGSP,2014-11-21,35.44,35.75,33.31,34.175,87759900
SNGSP,2014-11-24,34.21,34.385,32.755,33.02,73659800
SNGSP,2014-11-25,32.505,33.77,32.37,33.35,54885900
SNGSP,2014-11-26,33.39,33.92,33.255,33.495,37320400
SNGSP,2014-11-27,33.085,34.24,33.085,33.72,63381600
SNGSP,2014-11-28,33.8,34.395,33.75,34.37,59107500
SNGSP,2014-12-01,34.475,36.945,34.41,36.26,81533200
SNGSP,2014-12-02,36.5,37.975,35.2,37.445,89652600
SNGSP,2014-12-03,37.495,38.0,36.335,37.0,62275000
SNGSP,2014-12-04,36.905,38.295,36.57,36.925,76172300
SNGSP,2014-12-05,37.415,37.415,35.03,35.1,61379300
SNGSP,2014-12-08,35.155,35.99,33.7,33.8,67403700
SNGSP,2014-12-09,33.755,34.685,33.3,34.19,57765900
SNGSP,2014-12-10,34.05,34.94,33.855,33.905,67594900
SNGSP,2014-12-11,34.0,34.67,32.75,33.005,92464000
SNGSP,2014-12-12,33.0,34.37,32.0,32.425,91056000
SNGSP,2014-12-15,32.425,33.495,28.925,29.35,129843100
SNGSP,2014-12-16,28.5,30.65,24.115,27.67,200591800
SNGSP,2014-12-17,28.05,30.0,26.575,28.03,120409700
SNGSP,2014-12-18,28.995,30.845,28.195,30.495,111132200
SNGSP,2014-12-19,30.555,30.795,29.25,29.8,65683400
SNGSP,2014-12-22,30.0,30.895,29.09,29.69,62937300
SNGSP,2014-12-23,29.73,30.55,29.4,29.665,38505700
SNGSP,2014-12-24,29.725,30.3,29.15,30.09,21970700
SNGSP,2014-12-25,30.01,30.22,29.75,29.865,11923600
SNGSP,2014-12-26,29.865,30.45,29.81,30.08,15892700
SNGSP,2014-12-29,30.16,31.05,29.825,30.51,39329100
SNGSP,2014-12-30,29.985,30.395,28.62,29.495,34942400
SNGSP,2015-01-05,29.225,29.865,29.08,29.6,20022900
SNGSP,2015-01-06,29.95,30.2,29.45,30.195,20840600
SNGSP,2015-01-08,30.245,31.6,30.225,31.6,37872400
SNGSP,2015-01-09,31.49,32.925,31.315,32.01,38485200
SNGSP,2015-01-12,32.02,32.615,30.8,31.36,40812400
SNGSP,2015-01-13,31.765,32.36,31.07,32.3,38555400
SNGSP,2015-01-14,32.445,33.31,32.0,32.7,38187500
SNGSP,2015-01-15,32.835,33.735,32.8,32.82,36585700
SNGSP,2015-01-16,32.895,34.45,32.17,34.25,42052000
SNGSP,2015-01-19,34.025,35.73,34.025,34.9,43344400
SNGSP,2015-01-20,34.9,37.1,34.9,36.4,64258300
SNGSP,2015-01-21,36.48,37.775,36.48,36.8,79870200
SNGSP,2015-01-22,36.985,38.25,36.18,38.1,58098000
SNGSP,2015-01-23,38.3,39.765,38.18,39.425,80922600
SNGSP,2015-01-26,39.295,39.4,38.0,38.925,65609700
SNGSP,2015-01-27,38.345,41.45,38.0,41.415,74160100
SNGSP,2015-01-28,41.21,43.1,40.25,40.35,89295100
SNGSP,2015-01-29,40.365,42.4,39.58,40.75,58572300
SNGSP,2015-01-30,41.295,42.5,40.6,41.6,44669600
SNGSP,2015-02-02,42.005,42.57,41.6,41.9,30173000
SNGSP,2015-02-03,42.19,43.57,41.72,42.85,37155600
SNGSP,2015-02-04,43.005,43.28,41.5,41.895,29053600
SNGSP,2015-02-05,41.895,42.81,40.42,42.61,42526300
SNGSP,2015-02-06,42.65,44.0,42.65,43.67,52937400
SNGSP,2015-02-09,43.405,45.1,43.11,43.7,43628200
SNGSP,2015-02-10,43.63,44.885,43.165,44.4,23658000
SNGSP,2015-02-11,44.705,45.0,43.57,43.815,22136800
SNGSP,2015-02-12,44.29,44.535,41.505,42.31,64190500
SNGSP,2015-02-13,42.8,43.07,40.515,41.51,87723400
SNGSP,2015-02-16,41.85,42.395,40.07,41.295,37441300
SNGSP,2015-02-17,41.3,42.2,40.85,41.455,27835900
SNGSP,2015-02-18,41.995,42.35,40.36,40.4,35818500
SNGSP,2015-02-19,40.3,40.9,39.12,40.16,35921600
SNGSP,2015-02-20,40.4,40.5,39.94,40.35,13032500
SNGSP,2015-02-24,39.98,40.855,39.15,39.455,39487400
SNGSP,2015-02-25,39.485,39.7,38.35,38.65,33459200
SNGSP,2015-02-26,38.97,39.84,38.5,39.66,30456400
SNGSP,2015-02-27,39.55,39.815,38.6,38.69,37835100
SNGSP,2015-03-02,39.0,41.48,38.905,41.01,41666900
SNGSP,2015-03-03,41.11,42.42,40.8,42.325,48150400
SNGSP,2015-03-04,42.2,42.42,41.125,41.3,18147700
SNGSP,2015-03-05,41.255,42.55,41.255,42.45,39050200
SNGSP,2015-03-06,42.4,43.025,40.66,41.225,26657700
