symbol,date,open,high,low,close,volume
TATN,2013-07-10,199.18,199.18,199.18,199.18,10
TATN,2013-07-11,198.18,199.17,198.18,199.17,190
TATN,2013-07-12,201.29,201.29,201.29,201.29,100
TATN,2013-07-17,207.3,210.0,206.0,210.0,800
TATN,2013-07-18,208.0,209.99,208.0,209.99,400
TATN,2013-07-19,210.59,214.7,210.0,211.0,2180
TATN,2013-07-22,215.0,215.0,213.0,213.0,400
TATN,2013-07-23,211.2,211.2,210.0,210.0,400
TATN,2013-07-24,207.0,207.0,207.0,207.0,400
TATN,2013-07-25,206.0,206.0,206.0,206.0,200
TATN,2013-07-26,209.0,209.0,203.0,204.0,800
TATN,2013-07-30,205.0,205.5,205.0,205.5,400
TATN,2013-08-01,206.0,206.0,206.0,206.0,200
TATN,2013-08-05,209.0,209.0,209.0,209.0,200
TATN,2013-08-06,205.7,209.0,201.0,201.13,1240
TATN,2013-08-07,189.09,203.0,189.09,203.0,320
TATN,2013-08-08,201.5,201.5,201.5,201.5,200
TATN,2013-08-09,205.0,205.0,203.5,205.0,600
TATN,2013-08-13,208.0,209.8,208.0,209.0,900
TATN,2013-08-14,210.0,212.6,210.0,212.6,450
TATN,2013-08-15,207.6,207.6,204.0,204.0,700
TATN,2013-08-19,204.4,208.0,204.4,208.0,850
TATN,2013-08-20,204.5,207.8,204.5,207.8,420
TATN,2013-08-21,204.21,209.0,204.21,208.0,420
TATN,2013-08-22,210.0,210.0,210.0,210.0,590
TATN,2013-08-26,210.31,210.5,210.31,210.48,40
TATN,2013-08-27,207.09,207.09,204.0,204.0,20550
TATN,2013-08-28,202.1,205.79,201.1,203.53,230
TATN,2013-08-29,203.0,208.76,201.11,206.5,22370
TATN,2013-08-30,204.01,214.69,201.4,201.4,2000
TATN,2013-09-02,209.12,210.6,207.19,207.5,797410
TATN,2013-09-03,207.6,208.88,205.06,207.32,821150
TATN,2013-09-04,206.82,208.0,205.37,207.99,361040
TATN,2013-09-05,206.92,213.65,206.92,213.65,1909150
TATN,2013-09-06,212.84,219.81,212.6,216.92,2236390
TATN,2013-09-09,218.93,221.0,218.24,220.0,1277620
TATN,2013-09-10,220.0,222.89,219.13,221.85,2630450
TATN,2013-09-11,222.22,222.22,218.1,221.64,1399030
TATN,2013-09-12,221.39,221.39,216.75,219.0,1488390
TATN,2013-09-13,218.98,220.88,217.51,219.38,889970
TATN,2013-09-16,221.0,222.37,219.93,221.65,2000230
TATN,2013-09-17,221.09,224.99,219.84,223.0,1780690
TATN,2013-09-18,222.93,223.98,219.57,220.45,1605950
TATN,2013-09-19,223.95,225.0,221.36,223.3,3159990
TATN,2013-09-20,223.12,225.99,222.01,225.62,2299530
TATN,2013-09-23,225.04,225.04,219.08,220.83,2170870
TATN,2013-09-24,219.53,220.97,218.35,219.0,1883610
TATN,2013-09-25,219.3,220.5,216.74,217.34,2126240
TATN,2013-09-26,218.0,220.0,214.1,215.68,2641440
TATN,2013-09-27,218.0,218.0,214.26,216.4,1936960
TATN,2013-09-30,215.94,217.45,210.5,212.92,1859760
TATN,2013-10-01,212.56,214.23,210.27,213.45,1789060
TATN,2013-10-02,214.79,214.79,208.03,208.21,1543510
TATN,2013-10-03,208.93,210.92,208.19,209.05,1748410
TATN,2013-10-04,209.05,211.26,208.31,211.25,1486480
TATN,2013-10-07,210.66,212.59,208.58,210.24,1583940
TATN,2013-10-08,210.46,216.51,210.04,215.18,1928080
TATN,2013-10-09,214.47,215.8,213.31,214.33,1386560
TATN,2013-10-10,211.22,219.5,211.22,218.44,1487440
TATN,2013-10-11,218.72,219.97,215.73,217.81,863710
TATN,2013-10-14,217.81,218.94,216.58,218.83,632780
TATN,2013-10-15,219.0,222.0,219.0,221.99,1562760
TATN,2013-10-16,220.48,221.98,219.77,220.38,1216610
TATN,2013-10-17,220.99,221.73,217.0,219.6,1021580
TATN,2013-10-18,221.33,223.5,218.63,222.96,2412560
TATN,2013-10-21,222.96,223.32,220.01,221.51,915740
TATN,2013-10-22,221.21,221.49,219.06,220.58,980480
TATN,2013-10-23,220.54,220.54,215.45,216.7,1160880
TATN,2013-10-24,216.7,216.7,212.08,212.86,1049430
TATN,2013-10-25,212.86,214.75,211.65,214.13,903120
TATN,2013-10-28,218.7,218.7,214.9,216.49,1115410
TATN,2013-10-29,216.46,218.0,215.05,217.0,761410
TATN,2013-10-30,216.99,219.95,216.95,219.83,959350
TATN,2013-10-31,217.65,221.0,216.11,220.54,1207460
TATN,2013-11-01,220.57,222.9,219.15,220.7,1521400
TATN,2013-11-05,221.39,222.0,218.8,219.18,1057010
TATN,2013-11-06,220.34,220.34,217.32,218.5,1249280
TATN,2013-11-07,218.5,220.22,217.32,219.17,1326580
TATN,2013-11-08,218.74,218.74,213.55,214.28,1982390
TATN,2013-11-11,214.88,215.87,211.02,211.1,1554300
TATN,2013-11-12,211.11,214.23,211.0,211.89,1452990
TATN,2013-11-13,210.47,210.66,206.79,208.0,2181600
TATN,2013-11-14,208.0,211.5,208.0,208.12,1722830
TATN,2013-11-15,210.45,211.59,208.06,208.24,997720
TATN,2013-11-18,209.01,212.42,208.54,211.7,1365550
TATN,2013-11-19,211.7,212.83,211.11,211.99,1038360
TATN,2013-11-20,209.61,211.83,208.0,208.69,1289300
TATN,2013-11-21,207.73,209.95,205.75,208.5,1356650
TATN,2013-11-22,209.3,213.5,209.11,213.41,1279740
TATN,2013-11-25,214.0,214.67,210.88,211.01,1543420
TATN,2013-11-26,211.02,211.99,207.0,207.99,1896720
TATN,2013-11-27,208.2,210.62,204.47,204.48,1468020
TATN,2013-11-28,204.48,208.49,203.81,205.08,1244370
TATN,2013-11-29,205.2,207.17,202.25,203.09,1920330
TATN,2013-12-02,202.44,206.87,202.44,205.35,1174460
TATN,2013-12-03,204.48,204.5,198.57,198.72,2473050
TATN,2013-12-04,199.15,203.35,197.13,199.29,2421040
TATN,2013-12-05,199.46,201.49,195.81,196.74,2239350
TATN,2013-12-06,196.75,198.77,194.53,196.5,1816990
TATN,2013-12-09,197.52,200.15,196.54,199.28,1442650
TATN,2013-12-10,199.4,203.66,199.08,203.66,1543710
TATN,2013-12-11,203.02,203.98,200.3,203.5,877930
TATN,2013-12-12,200.56,202.38,197.83,201.0,2068170
TATN,2013-12-13,201.06,203.83,200.86,201.34,1452510
TATN,2013-12-16,201.32,204.5,201.3,203.22,1501260
TATN,2013-12-17,203.22,206.1,203.22,206.09,1368920
TATN,2013-12-18,206.04,206.79,203.7,204.54,1383760
TATN,2013-12-19,206.28,209.75,205.95,209.03,2161220
TATN,2013-12-20,209.02,209.43,206.25,207.93,1330550
TATN,2013-12-23,208.75,212.33,206.89,210.98,1339180
TATN,2013-12-24,209.21,210.89,208.08,209.88,1100940
TATN,2013-12-25,209.42,211.0,209.02,209.99,421670
TATN,2013-12-26,209.27,210.15,208.4,208.45,583910
TATN,2013-12-27,208.87,208.9,206.07,206.2,595850
TATN,2013-12-30,205.95,209.25,204.0,208.22,806040
TATN,2014-01-06,205.91,205.91,199.23,200.4,1445500
TATN,2014-01-08,200.67,200.87,196.26,197.12,1471720
TATN,2014-01-09,197.15,200.89,196.5,199.11,1532600
TATN,2014-01-10,198.54,200.0,196.23,199.69,1900000
TATN,2014-01-13,199.11,203.0,198.85,201.5,982440
TATN,2014-01-14,199.43,199.43,196.36,197.2,1552360
TATN,2014-01-15,197.75,199.64,197.5,198.41,1205060
TATN,2014-01-16,199.0,199.0,197.14,198.05,1342670
TATN,2014-01-17,197.86,200.2,197.13,199.5,1334530
TATN,2014-01-20,199.0,199.9,198.14,199.19,546230
TATN,2014-01-21,200.32,201.9,199.67,200.39,880320
TATN,2014-01-22,200.41,200.41,198.33,199.2,1323640
TATN,2014-01-23,199.42,203.81,198.75,201.07,1405570
TATN,2014-01-24,200.23,201.66,197.02,198.0,2696840
TATN,2014-01-27,196.79,200.52,196.61,197.36,2726820
TATN,2014-01-28,198.19,198.48,193.28,193.79,2779060
TATN,2014-01-29,195.31,200.69,193.87,197.14,3736180
TATN,2014-01-30,197.21,199.68,195.25,199.21,1812220
TATN,2014-01-31,198.96,199.57,194.27,195.49,2049510
TATN,2014-02-03,196.14,196.33,192.06,192.62,1312310
TATN,2014-02-04,191.22,191.79,188.69,188.96,2073060
TATN,2014-02-05,190.0,194.47,189.22,193.09,1989180
TATN,2014-02-06,193.91,199.9,191.93,199.59,3094510
TATN,2014-02-07,200.45,202.0,198.45,201.89,2370920
TATN,2014-02-10,201.97,203.6,200.35,203.32,1765470
TATN,2014-02-11,203.8,207.49,202.75,207.49,2098900
TATN,2014-02-12,208.09,213.4,207.3,212.66,2645480
TATN,2014-02-13,211.51,212.77,209.24,210.2,2422310
TATN,2014-02-14,210.55,212.58,209.42,212.12,1382500
TATN,2014-02-17,212.79,214.55,210.96,213.12,1340150
TATN,2014-02-18,213.04,216.63,212.5,213.77,1766890
TATN,2014-02-19,213.94,216.0,212.0,214.11,1564030
TATN,2014-02-20,213.04,213.04,207.87,209.29,2499800
TATN,2014-02-21,210.36,212.67,210.05,211.84,1288970
TATN,2014-02-24,217.5,217.5,211.25,214.5,1561640
TATN,2014-02-25,214.5,215.32,208.99,209.48,3822050
TATN,2014-02-26,210.38,210.94,208.51,209.41,3120770
TATN,2014-02-27,210.23,210.7,206.11,208.5,2148640
TATN,2014-02-28,208.21,212.0,206.5,211.19,2474250
TATN,2014-03-03,205.0,206.5,198.33,205.67,5910000
TATN,2014-03-04,206.56,214.4,206.08,207.5,3800290
TATN,2014-03-05,208.61,209.31,199.49,204.92,2888630
TATN,2014-03-06,204.95,206.87,200.5,204.42,2857770
TATN,2014-03-07,205.33,208.51,201.71,205.99,2165710
TATN,2014-03-11,205.3,206.75,201.3,203.34,1990830
TATN,2014-03-12,202.54,203.18,195.87,196.0,2720560
TATN,2014-03-13,197.96,199.0,189.0,189.75,4138430
TATN,2014-03-14,185.96,188.05,180.5,188.0,4794630
TATN,2014-03-17,189.0,196.88,187.61,194.29,4899190
TATN,2014-03-18,195.15,199.0,190.66,197.52,3130690
TATN,2014-03-19,198.43,199.8,191.22,191.98,2828960
