symbol,date,open,high,low,close,volume
VTBR,2013-03-25,0.05181,0.05194,0.05038,0.05043,35450700000
VTBR,2013-03-26,0.05069,0.0525,0.04865,0.0494,5608020000
VTBR,2013-03-27,0.04946,0.04987,0.04766,0.04821,4061610000
VTBR,2013-03-28,0.0477,0.04988,0.0477,0.04979,4234170000
VTBR,2013-03-29,0.05,0.05,0.04954,0.04987,1211060000
VTBR,2013-04-01,0.04945,0.0503,0.04918,0.04924,2362870000
VTBR,2013-04-02,0.04955,0.04984,0.04901,0.04915,3744050000
VTBR,2013-04-03,0.04893,0.05202,0.04825,0.04825,7520910000
VTBR,2013-04-04,0.0481,0.049,0.04726,0.04726,6351970000
VTBR,2013-04-05,0.04761,0.04781,0.04511,0.04693,12474640000
VTBR,2013-04-08,0.04687,0.04842,0.0466,0.04755,10759550000
VTBR,2013-04-09,0.04834,0.04977,0.04774,0.04921,9585380000
VTBR,2013-04-10,0.04905,0.0497,0.04787,0.04813,7662430000
VTBR,2013-04-11,0.0484,0.04848,0.04737,0.04792,14207590000
VTBR,2013-04-12,0.04774,0.04796,0.04658,0.04696,8458320000
VTBR,2013-04-15,0.04682,0.04684,0.0454,0.04565,10690060000
VTBR,2013-04-16,0.0453,0.04676,0.0452,0.04536,12693450000
VTBR,2013-04-17,0.04582,0.04584,0.04359,0.04389,12995680000
VTBR,2013-04-18,0.04382,0.04484,0.04341,0.04352,12514510000
VTBR,2013-04-19,0.04428,0.04428,0.04309,0.0438,13613260000
VTBR,2013-04-22,0.04417,0.0452,0.04404,0.04431,14751940000
VTBR,2013-04-23,0.0445,0.04588,0.04433,0.04588,12436780000
VTBR,2013-04-24,0.04566,0.04733,0.04537,0.0456,16377820000
VTBR,2013-04-25,0.04655,0.04655,0.0439,0.0451,21925760000
VTBR,2013-04-26,0.0451,0.04579,0.04435,0.04546,29042980000
VTBR,2013-04-29,0.0445,0.04746,0.04315,0.04728,73244340000
VTBR,2013-04-30,0.047,0.04977,0.04501,0.04974,37018930000
VTBR,2013-05-02,0.04943,0.04997,0.04738,0.04886,35483620000
VTBR,2013-05-03,0.0487,0.04979,0.04845,0.0491,21816200000
VTBR,2013-05-06,0.04909,0.04989,0.04843,0.04931,31822560000
VTBR,2013-05-07,0.04932,0.05065,0.04901,0.05065,19983530000
VTBR,2013-05-08,0.05001,0.05151,0.05001,0.05085,9438820000
VTBR,2013-05-10,0.05037,0.0511,0.04849,0.04989,9090250000
VTBR,2013-05-13,0.04902,0.04926,0.04669,0.04722,8111120000
VTBR,2013-05-14,0.04709,0.04727,0.0459,0.0459,8886270000
VTBR,2013-05-15,0.04609,0.04609,0.04448,0.0454,11803140000
VTBR,2013-05-16,0.0453,0.04536,0.04402,0.04434,7925770000
VTBR,2013-05-17,0.044,0.04525,0.04365,0.04492,9233810000
VTBR,2013-05-20,0.04602,0.04695,0.0451,0.04652,8249160000
VTBR,2013-05-21,0.046,0.04847,0.0459,0.04805,12403160000
VTBR,2013-05-22,0.0486,0.05012,0.04787,0.04951,10128390000
VTBR,2013-05-23,0.0485,0.0485,0.04682,0.04784,7032300000
VTBR,2013-05-24,0.048,0.04823,0.04655,0.04661,12763250000
VTBR,2013-05-27,0.04713,0.04739,0.04643,0.04655,4642830000
VTBR,2013-05-28,0.0471,0.0479,0.0467,0.04761,4717660000
VTBR,2013-05-29,0.04708,0.04719,0.04565,0.04594,8347810000
VTBR,2013-05-30,0.0457,0.04592,0.04465,0.04583,9178510000
VTBR,2013-05-31,0.04574,0.04633,0.04466,0.04633,13377550000
VTBR,2013-06-03,0.046,0.04758,0.04513,0.04674,7818970000
VTBR,2013-06-04,0.04727,0.04844,0.04727,0.04802,7496090000
VTBR,2013-06-05,0.0477,0.05005,0.0469,0.0472,8407150000
VTBR,2013-06-06,0.04698,0.04801,0.04655,0.04665,6416690000
VTBR,2013-06-07,0.04796,0.04796,0.04669,0.04763,4511780000
VTBR,2013-06-10,0.0481,0.04872,0.04716,0.0477,5144440000
VTBR,2013-06-11,0.04751,0.04797,0.04661,0.04749,5916560000
VTBR,2013-06-13,0.0464,0.04688,0.04597,0.04649,5589090000
VTBR,2013-06-14,0.04694,0.0475,0.04646,0.0475,5589170000
VTBR,2013-06-17,0.04804,0.04858,0.04793,0.04817,4994670000
VTBR,2013-06-18,0.048,0.04929,0.0476,0.04895,4046360000
VTBR,2013-06-19,0.04904,0.04936,0.04861,0.04869,4731970000
VTBR,2013-06-20,0.04798,0.0481,0.0468,0.04692,5468380000
VTBR,2013-06-21,0.0466,0.04817,0.04652,0.0478,4248530000
VTBR,2013-06-24,0.04786,0.04831,0.04704,0.04704,2966070000
VTBR,2013-06-25,0.0473,0.04839,0.04729,0.04803,2515610000
VTBR,2013-06-26,0.04813,0.04929,0.04793,0.04911,2190630000
VTBR,2013-06-27,0.04931,0.04946,0.04721,0.04752,3132650000
VTBR,2013-06-28,0.04745,0.04797,0.04629,0.04696,3602080000
VTBR,2013-07-01,0.04708,0.04773,0.04655,0.04725,4141000000
VTBR,2013-07-02,0.04718,0.04764,0.04654,0.0474,4472460000
VTBR,2013-07-03,0.04722,0.04725,0.04657,0.04695,3358760000
VTBR,2013-07-04,0.04724,0.04763,0.04658,0.04735,2504940000
VTBR,2013-07-05,0.04749,0.04825,0.04724,0.04761,4333370000
VTBR,2013-07-08,0.04729,0.04764,0.04693,0.04719,2645740000
VTBR,2013-07-09,0.04747,0.04768,0.04673,0.04698,3883580000
VTBR,2013-07-10,0.04696,0.04696,0.04552,0.04565,3845290000
VTBR,2013-07-11,0.04628,0.04701,0.04616,0.04699,7406990000
