date,close
2016-01-04,361.11
2016-01-05,362.11
2016-01-06,362.43
2016-01-11,358.08
2016-01-12,353.94
2016-01-13,353.69
2016-01-14,352.28
2016-01-15,350.96
2016-01-18,349.87
2016-01-19,352.37
2016-01-20,349.62
2016-01-21,347.61
2016-01-22,351.0
2016-01-25,351.87
2016-01-26,352.71
2016-01-27,354.89
2016-01-28,357.85
2016-01-29,357.4
2016-02-01,356.34
2016-02-02,354.85
2016-02-03,355.98
2016-02-04,357.54
2016-02-05,357.2
2016-02-08,357.32
2016-02-09,356.07
2016-02-10,356.74
2016-02-11,356.73
2016-02-12,356.66
2016-02-15,359.0
2016-02-16,358.69
2016-02-17,358.85
2016-02-18,360.89
2016-02-19,361.64
2016-02-20,361.83
2016-02-22,362.66
2016-02-24,363.09
2016-02-25,365.58
2016-02-26,366.97
2016-02-29,367.19
2016-03-01,369.79
2016-03-02,371.28
2016-03-03,371.82
2016-03-04,373.04
2016-03-07,373.75
2016-03-09,373.98
2016-03-10,373.69
2016-03-11,372.92
2016-03-14,371.83
2016-03-15,371.34
2016-03-16,371.62
2016-03-17,374.75
2016-03-18,376.94
2016-03-21,376.85
2016-03-22,377.04
2016-03-23,376.56
2016-03-24,374.45
2016-03-25,375.79
2016-03-28,375.89
2016-03-29,375.21
2016-03-30,376.65
2016-03-31,376.88
2016-04-01,376.83
2016-04-04,376.78
2016-04-05,376.0
2016-04-06,376.13
2016-04-07,375.23
2016-04-08,375.75
2016-04-11,376.45
2016-04-12,376.87
2016-04-13,376.95
2016-04-14,376.74
2016-04-15,376.94
2016-04-18,376.56
2016-04-19,377.94
2016-04-20,378.6
2016-04-21,378.69
2016-04-22,378.2
2016-04-25,377.93
2016-04-26,377.99
2016-04-27,378.47
2016-04-28,379.62
2016-04-29,381.46
2016-05-04,381.23
2016-05-05,381.54
2016-05-06,381.65
2016-05-10,381.72
2016-05-11,383.01
2016-05-12,383.91
2016-05-13,384.07
2016-05-16,384.82
2016-05-17,384.55
2016-05-18,384.1
2016-05-19,381.73
2016-05-20,383.61
2016-05-23,383.59
2016-05-24,383.71
2016-05-25,384.51
2016-05-26,384.2
2016-05-27,383.97
2016-05-30,384.25
2016-05-31,384.41
2016-06-01,383.81
2016-06-02,383.03
2016-06-03,383.64
2016-06-06,386.12
2016-06-07,387.05
2016-06-08,387.54
2016-06-09,386.59
2016-06-10,388.32
2016-06-14,387.18
2016-06-15,387.53
2016-06-16,387.31
2016-06-17,387.88
2016-06-20,389.26
2016-06-21,389.69
2016-06-22,390.03
2016-06-23,390.43
2016-06-24,388.51
2016-06-27,390.71
2016-06-28,391.51
2016-06-29,392.29
2016-06-30,393.18
2016-07-01,394.78
2016-07-04,394.06
2016-07-05,393.14
2016-07-06,392.27
2016-07-07,393.31
2016-07-08,392.43
2016-07-11,392.96
2016-07-12,393.82
2016-07-13,393.34
2016-07-14,394.0
2016-07-15,393.91
2016-07-18,393.4
2016-07-19,393.43
2016-07-20,393.38
2016-07-21,393.23
2016-07-22,392.73
2016-07-25,393.19
2016-07-26,392.7
2016-07-27,393.21
2016-07-28,393.8
2016-07-29,394.68
2016-08-01,395.4
2016-08-02,395.02
2016-08-03,394.55
2016-08-04,395.05
2016-08-05,396.56
2016-08-08,396.96
2016-08-09,397.56
2016-08-10,398.29
2016-08-11,398.13
