symbol,live_list,system,param,window,period,n_trades,win_rate,avg_r,total_r,max_dd_r,insufficient_data
AUDUSD,False,A,ADX>=20,wf_1,train,3,33.3,0.13,0.38,-0.05,True
AUDUSD,False,A,ADX>=20,wf_1,test,3,33.3,0.11,0.33,-1.06,True
AUDUSD,False,A,ADX>=25,wf_1,train,3,33.3,-0.07,-0.2,-0.17,True
AUDUSD,False,A,ADX>=25,wf_1,test,1,100.0,1.02,1.02,0.0,True
AUDUSD,False,A,ADX>=30,wf_1,train,2,50.0,0.06,0.13,0.0,True
AUDUSD,False,A,ADX>=30,wf_1,test,1,100.0,0.78,0.78,0.0,True
AUDUSD,False,B,RSI<=25,wf_1,train,3,0.0,-1.0,-3.0,-2.0,True
AUDUSD,False,B,RSI<=25,wf_1,test,6,66.7,0.44,2.64,-1.0,True
AUDUSD,False,B,RSI<=30,wf_1,train,3,0.0,-1.0,-3.0,-2.0,True
AUDUSD,False,B,RSI<=30,wf_1,test,6,66.7,0.44,2.64,-1.0,True
AUDUSD,False,B,RSI<=35,wf_1,train,3,0.0,-1.0,-3.0,-2.0,True
AUDUSD,False,B,RSI<=35,wf_1,test,6,66.7,0.44,2.64,-1.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_1,train,3,0.0,-1.0,-3.0,-2.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_1,test,6,66.7,0.2,1.21,-1.0,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_1,train,3,0.0,-0.83,-2.49,-1.49,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_1,test,6,83.3,0.25,1.48,-1.0,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_1,train,3,0.0,-0.79,-2.37,-1.37,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_1,test,6,83.3,0.14,0.86,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_1,train,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_1,test,3,66.7,0.28,0.85,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_1,train,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_1,test,3,66.7,0.08,0.24,-1.0,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_1,train,1,0.0,-1.0,-1.0,0.0,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_1,test,3,66.7,-0.02,-0.07,-1.0,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_1,train,4,25.0,-0.12,-0.48,-0.46,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_1,test,1,100.0,1.02,1.02,0.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_1,train,2,0.0,-0.6,-1.19,-1.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_1,test,4,75.0,0.1,0.4,-1.0,True
AUDUSD,False,A,ADX>=20,wf_2,train,6,33.3,0.12,0.71,-1.06,True
AUDUSD,False,A,ADX>=20,wf_2,test,1,0.0,-0.56,-0.56,0.0,True
AUDUSD,False,A,ADX>=25,wf_2,train,4,50.0,0.21,0.82,-0.17,True
AUDUSD,False,A,ADX>=25,wf_2,test,1,0.0,-0.74,-0.74,0.0,True
AUDUSD,False,A,ADX>=30,wf_2,train,3,66.7,0.3,0.91,0.0,True
AUDUSD,False,A,ADX>=30,wf_2,test,0,,,,,True
