system,param,period,n_trades,win_rate,avg_r,total_r,max_dd_r,insufficient_data,n_symbols
A,ADX>=20,test,214,31.8,-0.07,-15.81,-25.74,False,19
A,ADX>=20,train,769,34.6,0.08,58.65,-30.41,False,19
A,ADX>=25,test,156,34.6,0.04,5.83,-10.28,False,19
A,ADX>=25,train,564,41.0,0.15,85.85,-25.41,False,19
A,ADX>=30,test,99,37.4,0.04,3.73,-7.38,False,19
A,ADX>=30,train,377,39.8,0.02,7.98,-16.99,False,19
A_relaxed,no_macd_filter,test,189,30.2,0.04,6.64,-8.19,False,19
A_relaxed,no_macd_filter,train,679,35.3,0.13,75.67,-33.21,False,19
B,RSI<=25,test,364,35.7,-0.08,-24.99,-34.5,False,19
B,RSI<=25,train,1157,30.7,-0.23,-234.93,-254.54,False,19
B,RSI<=30,test,364,35.7,-0.08,-24.99,-34.5,False,19
B,RSI<=30,train,1157,30.7,-0.23,-234.93,-254.54,False,19
B,RSI<=35,test,364,35.7,-0.08,-24.99,-34.5,False,19
B,RSI<=35,train,1157,30.7,-0.23,-234.93,-254.54,False,19
B_atr_stop,ATRx1.0,test,352,48.9,-0.03,-8.8,-26.72,False,19
B_atr_stop,ATRx1.0,train,1124,42.9,-0.12,-138.59,-137.84,False,19
B_atr_stop,ATRx1.5,test,342,59.4,-0.01,-3.0,-18.9,False,19
B_atr_stop,ATRx1.5,train,1088,53.8,-0.06,-68.82,-79.3,False,19
B_atr_stop,ATRx2.0,test,339,67.3,0.03,8.82,-10.67,False,19
B_atr_stop,ATRx2.0,train,1086,64.0,0.01,7.98,-26.57,False,19
B_bollinger,ATRx1.0,test,142,43.7,0.21,30.03,-8.12,False,18
B_bollinger,ATRx1.0,train,502,43.2,0.29,143.36,-31.22,False,19
B_bollinger,ATRx1.5,test,138,51.4,0.12,16.83,-6.45,False,18
B_bollinger,ATRx1.5,train,486,48.6,0.12,59.5,-22.96,False,19
B_bollinger,ATRx2.0,test,138,59.4,0.14,19.29,-5.78,False,18
B_bollinger,ATRx2.0,train,486,56.6,0.14,69.53,-16.47,False,19
B_bollinger_relaxed,no_adx_filter,test,229,59.4,0.14,31.97,-5.45,False,19
B_bollinger_relaxed,no_adx_filter,train,788,55.8,0.13,101.58,-12.88,False,19
