,equity
2007-01-01,1000.0
2007-01-02,1000.0
2007-01-03,999.469600626855
2007-01-04,999.3130546852205
2007-01-05,993.7596549354365
2007-01-08,995.4110916778519
2007-01-09,996.2311249104308
2007-01-10,990.9665080026791
2007-01-11,990.732535808806
2007-01-12,994.8033494881267
2007-01-15,993.450962132674
2007-01-16,993.0915498599798
2007-01-17,994.308494363675
2007-01-18,993.6696483752021
2007-01-19,995.3260975935743
2007-01-22,994.5947401032367
2007-01-23,997.6254583771831
2007-01-24,1000.1760779141916
2007-01-25,996.5592149643512
2007-01-26,996.4184739851635
2007-01-29,995.2375602334082
2007-01-30,997.3124370504579
2007-01-31,1000.5919832880916
2007-02-01,1001.6944223710284
2007-02-02,999.8841317433973
2007-02-05,989.056631400008
2007-02-06,991.232161231477
2007-02-07,991.6458679073648
2007-02-08,993.7619212436423
2007-02-09,993.0691194341998
2007-02-12,991.1285783763908
2007-02-13,994.9102084234626
2007-02-14,998.9298032526692
2007-02-15,999.7405613915528
2007-02-16,1000.10540687508
2007-02-19,1000.10540687508
2007-02-20,999.9984686681405
2007-02-21,1004.5206001298045
2007-02-22,1003.1887268779335
2007-02-23,1005.1863922767589
2007-02-26,1007.0697222608806
2007-02-27,992.9534652703242
2007-02-28,996.2449196534367
2007-03-01,989.3965181808392
2007-03-02,983.2436249187049
2007-03-05,963.9561147417644
2007-03-06,969.8051445028153
2007-03-07,972.8170453630978
2007-03-08,974.3678795483681
2007-03-09,971.9941373739512
2007-03-12,973.2265827228202
2007-03-13,969.869351530713
2007-03-14,970.8391065922101
2007-03-15,971.0827224012817
2007-03-16,971.5743434618048
2007-03-19,973.1841492975652
2007-03-20,975.4930354194057
2007-03-21,979.5903146884957
2007-03-22,977.9834771932087
2007-03-23,976.2224049351912
2007-03-26,978.0178285998936
2007-03-27,977.0860165608135
2007-03-28,976.5973266536325
2007-03-29,975.5160415754124
2007-03-30,975.4783442649966
2007-04-02,975.0851741059892
2007-04-03,976.4751565807778
2007-04-04,981.3059512856154
2007-04-05,981.2282183529176
2007-04-06,981.2282183529176
2007-04-09,979.3315385756182
2007-04-10,981.6545215097251
2007-04-11,980.7347823245095
2007-04-12,981.2120291726732
2007-04-13,983.4298642870339
2007-04-16,987.0324669968791
2007-04-17,987.5517054524446
