system,date,equity
A,2006-11-22,1000.0
A,2007-01-03,991.06
A,2007-01-05,989.06
A,2007-01-09,979.62
A,2007-02-15,981.38
A,2007-02-27,983.1
A,2007-03-22,978.91
A,2007-05-22,982.52
A,2007-06-07,977.25
A,2007-07-27,990.24
A,2007-08-13,986.94
A,2007-09-20,978.74
A,2007-10-19,969.6
A,2007-11-08,968.67
A,2007-11-12,966.2
A,2007-12-10,968.6
A,2007-12-14,975.74
A,2007-12-21,970.1
A,2008-01-21,962.27
A,2008-05-01,966.56
A,2008-06-11,960.09
A,2008-07-03,960.11
A,2009-01-21,961.8
A,2009-07-07,955.24
A,2009-10-02,947.45
A,2009-10-28,939.77
A,2009-10-28,945.04
A,2009-10-28,952.92
A,2009-12-07,969.46
A,2010-01-22,969.22
A,2010-04-27,960.88
A,2010-05-05,961.24
A,2010-05-05,961.62
A,2010-05-07,961.62
A,2010-05-14,958.25
A,2010-09-10,969.49
A,2010-11-15,965.46
A,2010-11-16,970.48
A,2011-03-10,993.95
A,2011-03-15,996.56
A,2011-04-12,1020.18
A,2011-05-04,1014.68
A,2011-05-11,1023.63
A,2011-08-02,1016.87
A,2011-10-27,1029.07
A,2012-03-21,1024.23
A,2012-03-22,1018.59
A,2012-04-10,1021.16
A,2012-04-23,1031.29
A,2012-08-07,1028.16
A,2012-10-09,1026.72
A,2012-10-10,1026.17
A,2012-10-23,1019.55
A,2013-02-07,1014.97
A,2013-02-20,1018.34
A,2013-04-03,1021.33
A,2013-05-07,1013.4
A,2013-06-05,1006.56
A,2013-06-05,1188.46
A,2013-06-20,1182.67
A,2013-06-25,1175.13
A,2013-08-30,1176.1
A,2013-10-08,1168.17
A,2013-11-01,1166.57
A,2013-11-07,1158.68
A,2013-12-11,1154.52
A,2014-01-24,1153.53
A,2014-01-24,1155.83
A,2014-03-27,1149.22
A,2014-06-10,1148.3
A,2014-07-31,1145.68
A,2014-07-31,1153.4
A,2014-09-25,1167.09
A,2014-10-15,1168.0
A,2014-12-12,1163.49
A,2014-12-15,1162.8
A,2015-01-05,1153.59
A,2015-01-14,1187.0
A,2015-02-12,1202.45
A,2015-03-11,1195.01
A,2015-03-26,1192.61
A,2015-05-26,1187.11
A,2015-07-08,1179.91
A,2015-12-09,1174.79
A,2015-12-11,1169.09
A,2016-03-11,1167.88
A,2016-04-27,1158.81
A,2016-05-18,1153.4
A,2016-08-30,1146.31
A,2016-09-08,1156.71
A,2016-09-09,1158.11
A,2016-09-13,1151.72
A,2017-01-17,1149.82
A,2017-01-23,1142.15
A,2017-04-13,1171.52
A,2017-05-17,1160.63
A,2017-06-27,1186.11
A,2017-07-06,1174.45
A,2017-07-18,1167.37
A,2017-08-10,1160.5
A,2017-09-27,1174.22
A,2017-11-15,1241.77
A,2018-02-02,1236.79
A,2018-02-05,1247.81
A,2018-02-05,1268.92
A,2018-02-28,1273.44
A,2018-03-01,1260.74
A,2018-03-22,1256.61
A,2018-06-15,1261.69
A,2018-08-10,1254.44
A,2018-10-15,1246.35
A,2019-02-27,1249.78
A,2019-05-10,1253.88
A,2019-05-13,1252.32
A,2019-08-02,1243.42
A,2019-08-02,1237.79
A,2019-09-12,1269.09
A,2019-12-03,1259.11
A,2020-01-27,1244.41
A,2020-01-27,1237.94
A,2020-02-24,1247.34
A,2020-02-25,1267.47
A,2020-03-18,1264.76
A,2020-09-08,1337.34
A,2020-09-18,1332.39
A,2020-09-22,1345.13
A,2020-09-23,1349.83
A,2021-01-15,1347.96
A,2021-01-29,1336.76
A,2021-02-26,1357.54
A,2021-03-04,1360.7
A,2021-04-20,1362.89
A,2021-04-20,1361.87
A,2021-05-12,1356.01
A,2021-06-11,1357.3
A,2021-07-08,1362.13
A,2021-09-20,1363.5
A,2021-11-19,1360.63
A,2021-11-30,1356.78
A,2021-11-30,1356.27
A,2021-12-03,1364.63
A,2022-01-13,1356.66
A,2022-04-25,1370.92
A,2022-06-15,1358.56
A,2022-07-29,1399.17
A,2022-11-10,1398.67
A,2022-12-06,1394.18
A,2023-02-16,1395.66
A,2023-03-03,1391.61
A,2023-03-13,1378.04
A,2023-04-21,1377.49
A,2023-05-08,1365.76
A,2023-05-12,1356.03
A,2023-07-05,1349.13
A,2023-07-12,1345.74
A,2023-08-02,1336.05
A,2023-08-16,1342.58
A,2023-08-16,1367.26
A,2023-10-11,1354.31
A,2023-11-20,1369.69
A,2023-12-06,1360.83
A,2024-01-12,1495.36
A,2024-01-16,1493.98
A,2024-03-07,1493.06
A,2024-03-21,1487.03
A,2024-04-13,1508.72
A,2024-04-15,1536.35
A,2024-04-15,1573.59
A,2024-05-31,1562.7
A,2024-07-12,1593.08
A,2024-07-19,1581.32
A,2024-07-24,1576.27
A,2024-07-24,1574.19
A,2024-07-30,1566.13
A,2024-08-01,1553.55
A,2024-08-02,1536.86
A,2024-09-03,1522.82
A,2024-09-06,1511.49
A,2024-10-03,1521.65
A,2024-10-30,1514.69
A,2024-10-31,1507.29
A,2024-11-27,1497.47
A,2024-12-04,1486.55
A,2024-12-18,1480.56
A,2024-12-25,1467.21
A,2024-12-30,1453.64
A,2024-12-30,1467.2
A,2024-12-31,1456.4
A,2025-01-28,1442.48
A,2025-05-12,1443.42
A,2025-06-21,1459.72
A,2025-07-28,1469.22
A,2025-10-10,1456.26
A,2025-11-05,1446.14
A,2025-11-14,1466.22
A,2025-11-17,1485.72
A,2025-11-20,1528.15
A,2026-01-04,1523.63
A,2026-01-23,1520.32
A,2026-02-18,1516.21
A,2026-03-03,1515.49
A,2026-05-14,1508.75
A,2026-06-26,1515.17
A,2026-07-16,1538.63
A,2026-07-30,1531.79
B,2006-11-23,1000.0
B,2006-12-01,990.0
B,2007-01-11,995.79
B,2007-01-12,988.17
B,2007-01-24,989.91
B,2007-02-21,1000.04
B,2007-03-01,990.04
B,2007-03-05,980.04
