mechanic,category,threshold,n,win_rate,mean_r,t_stat,p_value
loser (отвергнута),climate,0.05,7,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.08,9,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.1,10,0.0,-1.0,-inf,0.0
loser (отвергнута),earthquake,0.05,8,0.0,-1.0,-inf,0.0
loser (отвергнута),earthquake,0.08,9,0.0,-1.0,-inf,0.0
loser (отвергнута),earthquake,0.1,10,0.1,0.0526,0.05,0.9612
loser (отвергнута),economy,0.05,6,0.0,-1.0,-inf,0.0
loser (отвергнута),economy,0.08,6,0.0,-1.0,-inf,0.0
loser (отвергнута),economy,0.1,7,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.05,9,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.08,9,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.1,9,0.0,-1.0,-inf,0.0
loser (отвергнута),natural_disaster,0.05,7,0.0,-1.0,-inf,0.0
loser (отвергнута),natural_disaster,0.08,8,0.0,-1.0,-inf,0.0
loser (отвергнута),natural_disaster,0.1,9,0.1111,0.1696,0.145,0.8883
loser (отвергнута),nuclear,0.05,13,0.0,-1.0,-inf,0.0
loser (отвергнута),nuclear,0.08,13,0.0,-1.0,-inf,0.0
loser (отвергнута),nuclear,0.1,13,0.0,-1.0,-inf,0.0
loser (отвергнута),recession,0.05,3,0.0,-1.0,-inf,0.0
loser (отвергнута),recession,0.08,3,0.0,-1.0,-inf,0.0
loser (отвергнута),recession,0.1,3,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.05,14,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.08,14,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.1,14,0.0,-1.0,-inf,0.0
loser (отвергнута),world,0.05,12,0.0,-1.0,-inf,0.0
loser (отвергнута),world,0.08,12,0.0,-1.0,-inf,0.0
loser (отвергнута),world,0.1,12,0.0,-1.0,-inf,0.0
loser (отвергнута),ALL (pooled),0.05,79,0.0,-1.0,-inf,0.0
loser (отвергнута),ALL (pooled),0.08,83,0.0,-1.0,-inf,0.0
loser (отвергнута),ALL (pooled),0.1,87,0.023,-0.758,-4.456,0.0
favorite (боевая),climate,0.05,7,1.0,0.034,7.274,0.0003
favorite (боевая),climate,0.08,9,1.0,0.0612,7.518,0.0001
favorite (боевая),climate,0.1,10,1.0,0.0895,18.528,0.0
favorite (боевая),earthquake,0.05,8,1.0,0.0313,4.924,0.0017
favorite (боевая),earthquake,0.08,9,1.0,0.0465,4.934,0.0011
favorite (боевая),earthquake,0.1,10,0.9,-0.0387,-0.36,0.7272
favorite (боевая),economy,0.05,6,1.0,0.0347,8.406,0.0004
favorite (боевая),economy,0.08,6,1.0,0.047,4.471,0.0066
favorite (боевая),economy,0.1,7,1.0,0.0801,7.631,0.0003
favorite (боевая),geopolitics,0.05,9,1.0,0.0303,4.817,0.0013
favorite (боевая),geopolitics,0.08,9,1.0,0.055,4.776,0.0014
favorite (боевая),geopolitics,0.1,9,1.0,0.0737,6.498,0.0002
favorite (боевая),natural_disaster,0.05,7,1.0,0.0291,4.233,0.0055
favorite (боевая),natural_disaster,0.08,8,1.0,0.0444,4.263,0.0037
favorite (боевая),natural_disaster,0.1,9,0.8889,-0.05,-0.419,0.6861
favorite (боевая),nuclear,0.05,13,1.0,0.0217,4.11,0.0014
favorite (боевая),nuclear,0.08,13,1.0,0.0296,3.343,0.0059
favorite (боевая),nuclear,0.1,13,1.0,0.0319,3.165,0.0081
favorite (боевая),recession,0.05,3,1.0,0.0471,inf,0.0
favorite (боевая),recession,0.08,3,1.0,0.0564,8.368,0.014
favorite (боевая),recession,0.1,3,1.0,0.0737,5.446,0.0321
favorite (боевая),war,0.05,14,1.0,0.0394,12.378,0.0
favorite (боевая),war,0.08,14,1.0,0.0624,10.368,0.0
favorite (боевая),war,0.1,14,1.0,0.0759,8.962,0.0
favorite (боевая),world,0.05,12,1.0,0.0323,7.603,0.0
favorite (боевая),world,0.08,12,1.0,0.0532,6.015,0.0001
favorite (боевая),world,0.1,12,1.0,0.0724,6.92,0.0
favorite (боевая),ALL (pooled),0.05,79,1.0,0.0321,17.779,0.0
favorite (боевая),ALL (pooled),0.08,83,1.0,0.0502,15.758,0.0
favorite (боевая),ALL (pooled),0.1,87,0.977,0.0442,2.501,0.0143
