mechanic,category,threshold,n,win_rate,mean_r,t_stat,p_value
loser (отвергнута),climate,0.05,8,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.08,9,0.0,-1.0,-inf,0.0
loser (отвергнута),climate,0.1,10,0.1,0.1765,0.15,0.8841
loser (отвергнута),geopolitics,0.05,2,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.08,2,0.0,-1.0,-inf,0.0
loser (отвергнута),geopolitics,0.1,2,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.05,7,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.08,7,0.0,-1.0,-inf,0.0
loser (отвергнута),war,0.1,7,0.0,-1.0,-inf,0.0
loser (отвергнута),weather,0.05,8,0.0,-1.0,-inf,0.0
loser (отвергнута),weather,0.08,9,0.0,-1.0,-inf,0.0
loser (отвергнута),weather,0.1,10,0.1,0.1765,0.15,0.8841
loser (отвергнута),ALL (pooled),0.05,25,0.0,-1.0,-inf,0.0
loser (отвергнута),ALL (pooled),0.08,27,0.0,-1.0,-inf,0.0
loser (отвергнута),ALL (pooled),0.1,29,0.069,-0.1886,-0.335,0.7402
favorite (боевая),climate,0.05,8,1.0,0.0404,10.467,0.0
favorite (боевая),climate,0.08,9,1.0,0.0735,20.786,0.0
favorite (боевая),climate,0.1,10,0.9,-0.0209,-0.192,0.8522
favorite (боевая),geopolitics,0.05,2,1.0,0.0469,9.019,0.0703
favorite (боевая),geopolitics,0.08,2,1.0,0.0716,9.232,0.0687
favorite (боевая),geopolitics,0.1,2,1.0,0.0814,4.635,0.1353
favorite (боевая),war,0.05,7,1.0,0.0463,60.056,0.0
favorite (боевая),war,0.08,7,1.0,0.072,20.502,0.0
favorite (боевая),war,0.1,7,1.0,0.0872,13.404,0.0
favorite (боевая),weather,0.05,8,1.0,0.0404,10.467,0.0
favorite (боевая),weather,0.08,9,1.0,0.0735,20.786,0.0
favorite (боевая),weather,0.1,10,0.9,-0.0209,-0.192,0.8522
favorite (боевая),ALL (pooled),0.05,25,1.0,0.0426,23.566,0.0
favorite (боевая),ALL (pooled),0.08,27,1.0,0.0729,39.037,0.0
favorite (боевая),ALL (pooled),0.1,29,0.931,0.0123,0.235,0.816
