market,offset,period,n,win_rate,mean_r,total_r,p,n_live,mean_r_live
US_pool,4,test,5086,52.4,0.046,236.36,0.0002613072535617701,1554,0.050646440602478734
US_pool,4,train,52174,53.6,0.053,2757.76,6.876451711416407e-44,15905,0.05863911136154316
US_pool,5,test,5067,52.8,0.06,303.27,6.30746625307698e-06,1549,0.059450671862374085
US_pool,5,train,52174,53.1,0.053,2783.27,1.9530368382627826e-41,15905,0.05578216664742991
US_pool,6,test,5061,52.4,0.051,256.97,0.00024290835852859842,1545,0.04334075350634325
US_pool,6,train,51832,53.3,0.053,2758.27,2.6527706337586784e-37,15810,0.052666763649077346
MOEX,4,test,4426,53.6,0.107,472.01,6.227511738657457e-12,0,
MOEX,4,train,28131,54.8,0.147,4135.51,3.0415359139844497e-139,0,
MOEX,5,test,4410,51.0,0.097,425.76,5.908353555212409e-09,0,
MOEX,5,train,28107,53.3,0.144,4056.34,1.6880350297184683e-114,0,
MOEX,6,test,4392,50.8,0.101,443.61,3.6599463967836902e-09,0,
MOEX,6,train,28078,52.8,0.145,4081.19,1.7591785055462765e-108,0,
